CAUSE,FEMALE KILLED,FEMALE INJURED,CASES,STATE/UT,TOTAL INJURED,MALE KILLED,MALE INJURED,YEAR,TOTAL KILLED
OTHER,158,0,559,RAJASTHAN,0,440,0,2009,598
RAILWAY ACCIDENTS,53,0,368,RAJASTHAN,0,318,0,2009,371
DROWNING,359,2,1228,RAJASTHAN,6,989,4,2009,1348
FALLS,139,0,644,RAJASTHAN,0,511,0,2009,650
FIRE,445,8,772,RAJASTHAN,29,341,21,2009,786
SUDDEN DEATHS,103,7,886,RAJASTHAN,12,771,5,2009,874
POISONING,528,1,1630,RAJASTHAN,1,1212,0,2009,1740
ELECTROCUTION,2,0,6,SIKKIM,0,4,0,2009,6
GAS CYLINDER/STOVE BURST,0,0,0,SIKKIM,0,0,0,2009,0
FIRE-ARMS,0,0,0,SIKKIM,0,0,0,2009,0
SUDDEN DEATHS(HEART ATTACKS),0,0,0,SIKKIM,0,0,0,2009,0
EPILEPTIC FITS/GIDDINESS,0,0,2,SIKKIM,0,2,0,2009,2
ABORTIONS/CHILD BIRTH,0,0,0,SIKKIM,0,0,0,2009,0
INFLUENCE OF ALCOHOL,2,0,3,SIKKIM,0,1,0,2009,3
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,0,SIKKIM,0,0,0,2009,0
SNAKE BITE/ANIMAL BITE,0,0,0,SIKKIM,0,0,0,2009,0
OTHER,2,0,8,SIKKIM,0,6,0,2009,8
RAILWAY ACCIDENTS,0,0,0,SIKKIM,0,0,0,2009,0
DROWNING,5,0,30,SIKKIM,0,25,0,2009,30
FALLS,3,0,48,SIKKIM,0,45,0,2009,48
FIRE,5,0,7,SIKKIM,0,2,0,2009,7
SUDDEN DEATHS,2,0,5,SIKKIM,0,3,0,2009,5
POISONING,2,0,8,SIKKIM,0,6,0,2009,8
ELECTROCUTION,84,1,467,TAMIL NADU,4,406,3,2009,490
GAS CYLINDER/STOVE BURST,587,2,695,TAMIL NADU,6,169,4,2009,756
FIRE-ARMS,0,0,0,TAMIL NADU,0,0,0,2009,0
SUDDEN DEATHS(HEART ATTACKS),185,0,0,TAMIL NADU,0,1041,0,2009,1226
EPILEPTIC FITS/GIDDINESS,62,0,1125,TAMIL NADU,3,220,3,2009,282
ABORTIONS/CHILD BIRTH,28,1,252,TAMIL NADU,1,0,0,2009,28
INFLUENCE OF ALCOHOL,13,0,13,TAMIL NADU,0,186,0,2009,199
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,89,0,115,TAMIL NADU,0,205,0,2009,294
SNAKE BITE/ANIMAL BITE,250,0,5,TAMIL NADU,0,394,0,2009,644
OTHER,505,0,589,TAMIL NADU,0,931,0,2009,1436
RAILWAY ACCIDENTS,333,4,1613,TAMIL NADU,13,1496,9,2009,1829
DROWNING,338,1,1403,TAMIL NADU,3,1264,2,2009,1602
FALLS,15,0,58,TAMIL NADU,2,56,2,2009,71
FIRE,1708,32,1887,TAMIL NADU,66,807,34,2009,2515
SUDDEN DEATHS,288,1,1390,TAMIL NADU,4,1447,3,2009,1735
POISONING,983,0,1243,TAMIL NADU,0,1838,0,2009,2821
ELECTROCUTION,4,0,34,TRIPURA,0,31,0,2009,35
GAS CYLINDER/STOVE BURST,0,0,0,TRIPURA,0,0,0,2009,0
FIRE-ARMS,0,0,0,TRIPURA,0,0,0,2009,0
SUDDEN DEATHS(HEART ATTACKS),13,0,52,TRIPURA,0,39,0,2009,52
EPILEPTIC FITS/GIDDINESS,0,0,2,TRIPURA,0,2,0,2009,2
ABORTIONS/CHILD BIRTH,2,0,2,TRIPURA,0,0,0,2009,2
INFLUENCE OF ALCOHOL,0,0,12,TRIPURA,0,12,0,2009,12
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2,0,2,TRIPURA,0,0,0,2009,2
SNAKE BITE/ANIMAL BITE,0,0,0,TRIPURA,0,0,0,2009,0
OTHER,0,0,0,TRIPURA,0,0,0,2009,0
RAILWAY ACCIDENTS,3,0,8,TRIPURA,0,10,0,2009,13
DROWNING,17,0,61,TRIPURA,0,47,0,2009,64
FALLS,0,0,13,TRIPURA,0,13,0,2009,13
FIRE,15,0,29,TRIPURA,0,14,0,2009,29
SUDDEN DEATHS,15,0,68,TRIPURA,0,53,0,2009,68
POISONING,2,0,3,TRIPURA,0,1,0,2009,3
ELECTROCUTION,77,19,515,UTTAR PRADESH,76,427,57,2009,504
GAS CYLINDER/STOVE BURST,83,24,114,UTTAR PRADESH,31,28,7,2009,111
FIRE-ARMS,158,95,1200,UTTAR PRADESH,547,818,452,2009,976
SUDDEN DEATHS(HEART ATTACKS),34,3,246,UTTAR PRADESH,9,211,6,2009,245
EPILEPTIC FITS/GIDDINESS,14,3,57,UTTAR PRADESH,11,41,8,2009,55
ABORTIONS/CHILD BIRTH,48,5,48,UTTAR PRADESH,5,0,0,2009,48
INFLUENCE OF ALCOHOL,9,2,178,UTTAR PRADESH,36,165,34,2009,174
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,233,19,557,UTTAR PRADESH,53,311,34,2009,544
SNAKE BITE/ANIMAL BITE,24,6,115,UTTAR PRADESH,19,85,13,2009,109
OTHER,77,14,280,UTTAR PRADESH,88,195,74,2009,272
RAILWAY ACCIDENTS,495,48,2673,UTTAR PRADESH,62,2330,14,2009,2825
DROWNING,251,36,953,UTTAR PRADESH,121,665,85,2009,916
FALLS,61,18,379,UTTAR PRADESH,85,309,67,2009,370
FIRE,730,104,1194,UTTAR PRADESH,225,326,121,2009,1056
SUDDEN DEATHS,105,13,529,UTTAR PRADESH,61,417,48,2009,522
POISONING,342,43,1057,UTTAR PRADESH,229,681,186,2009,1023
ELECTROCUTION,5,3,46,UTTARAKHAND,7,38,4,2009,43
GAS CYLINDER/STOVE BURST,21,3,28,UTTARAKHAND,7,5,4,2009,26
FIRE-ARMS,0,0,18,UTTARAKHAND,0,18,0,2009,18
SUDDEN DEATHS(HEART ATTACKS),27,0,126,UTTARAKHAND,0,99,0,2009,126
EPILEPTIC FITS/GIDDINESS,6,0,10,UTTARAKHAND,0,7,0,2009,13
ABORTIONS/CHILD BIRTH,7,0,7,UTTARAKHAND,0,0,0,2009,7
INFLUENCE OF ALCOHOL,0,1,21,UTTARAKHAND,2,20,1,2009,20
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,46,2,90,UTTARAKHAND,2,52,0,2009,98
SNAKE BITE/ANIMAL BITE,2,0,7,UTTARAKHAND,1,4,1,2009,6
OTHER,7,0,27,UTTARAKHAND,0,20,0,2009,27
RAILWAY ACCIDENTS,8,0,58,UTTARAKHAND,0,50,0,2009,58
DROWNING,57,7,144,UTTARAKHAND,15,122,8,2009,179
FALLS,17,6,86,UTTARAKHAND,9,70,3,2009,87
FIRE,40,7,85,UTTARAKHAND,28,25,21,2009,65
SUDDEN DEATHS,40,1,164,UTTARAKHAND,2,126,1,2009,166
POISONING,57,2,132,UTTARAKHAND,3,82,1,2009,139
ELECTROCUTION,24,4,99,WEST BENGAL,16,75,12,2009,99
GAS CYLINDER/STOVE BURST,53,21,68,WEST BENGAL,25,5,4,2009,58
FIRE-ARMS,1,1,53,WEST BENGAL,17,44,16,2009,45
SUDDEN DEATHS(HEART ATTACKS),170,54,846,WEST BENGAL,195,479,141,2009,649
EPILEPTIC FITS/GIDDINESS,2,0,4,WEST BENGAL,2,0,2,2009,2
ABORTIONS/CHILD BIRTH,31,0,31,WEST BENGAL,0,0,0,2009,31
INFLUENCE OF ALCOHOL,1,0,96,WEST BENGAL,45,47,45,2009,48
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,110,12,231,WEST BENGAL,33,119,21,2009,229
SNAKE BITE/ANIMAL BITE,93,41,222,WEST BENGAL,109,119,68,2009,212
OTHER,361,51,829,WEST BENGAL,144,502,93,2009,863
RAILWAY ACCIDENTS,529,1,2602,WEST BENGAL,4,2075,3,2009,2604
DROWNING,175,29,477,WEST BENGAL,89,396,60,2009,571
FALLS,27,4,135,WEST BENGAL,23,124,19,2009,151
FIRE,279,75,581,WEST BENGAL,195,120,120,2009,399
SUDDEN DEATHS,204,54,977,WEST BENGAL,242,526,188,2009,730
POISONING,617,114,1391,WEST BENGAL,317,823,203,2009,1440
ELECTROCUTION,0,0,1,A & N ISLANDS,0,1,0,2009,1
GAS CYLINDER/STOVE BURST,0,0,0,A & N ISLANDS,0,0,0,2009,0
FIRE-ARMS,0,0,0,A & N ISLANDS,0,0,0,2009,0
SUDDEN DEATHS(HEART ATTACKS),2,0,18,A & N ISLANDS,0,16,0,2009,18
EPILEPTIC FITS/GIDDINESS,0,0,0,A & N ISLANDS,0,0,0,2009,0
ABORTIONS/CHILD BIRTH,0,0,0,A & N ISLANDS,0,0,0,2009,0
INFLUENCE OF ALCOHOL,0,0,0,A & N ISLANDS,0,0,0,2009,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,1,A & N ISLANDS,0,1,0,2009,1
SNAKE BITE/ANIMAL BITE,0,0,1,A & N ISLANDS,0,1,0,2009,1
OTHER,0,0,1,A & N ISLANDS,0,1,0,2009,1
RAILWAY ACCIDENTS,0,0,0,A & N ISLANDS,0,0,0,2009,0
DROWNING,2,0,27,A & N ISLANDS,0,29,0,2009,31
FALLS,2,0,24,A & N ISLANDS,0,22,0,2009,24
FIRE,19,0,21,A & N ISLANDS,0,2,0,2009,21
SUDDEN DEATHS,2,0,18,A & N ISLANDS,0,16,0,2009,18
POISONING,0,0,3,A & N ISLANDS,0,3,0,2009,3
ELECTROCUTION,1,0,6,CHANDIGARH,0,5,0,2009,6
GAS CYLINDER/STOVE BURST,5,0,10,CHANDIGARH,0,5,0,2009,10
FIRE-ARMS,0,0,1,CHANDIGARH,0,1,0,2009,1
SUDDEN DEATHS(HEART ATTACKS),1,0,35,CHANDIGARH,0,34,0,2009,35
EPILEPTIC FITS/GIDDINESS,1,0,1,CHANDIGARH,0,0,0,2009,1
ABORTIONS/CHILD BIRTH,1,0,1,CHANDIGARH,0,0,0,2009,1
INFLUENCE OF ALCOHOL,1,0,15,CHANDIGARH,0,14,0,2009,15
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,0,CHANDIGARH,0,0,0,2009,0
SNAKE BITE/ANIMAL BITE,0,0,1,CHANDIGARH,0,1,0,2009,1
OTHER,2,0,6,CHANDIGARH,0,4,0,2009,6
RAILWAY ACCIDENTS,0,0,0,CHANDIGARH,0,0,0,2009,0
DROWNING,0,0,1,CHANDIGARH,0,1,0,2009,1
FALLS,0,0,13,CHANDIGARH,0,13,0,2009,13
FIRE,5,0,17,CHANDIGARH,0,12,0,2009,17
SUDDEN DEATHS,4,0,52,CHANDIGARH,0,48,0,2009,52
POISONING,2,0,8,CHANDIGARH,0,6,0,2009,8
ELECTROCUTION,1,0,11,D & N HAVELI,0,10,0,2009,11
GAS CYLINDER/STOVE BURST,10,0,13,D & N HAVELI,0,3,0,2009,13
FIRE-ARMS,0,0,0,D & N HAVELI,0,0,0,2009,0
SUDDEN DEATHS(HEART ATTACKS),4,0,20,D & N HAVELI,0,16,0,2009,20
EPILEPTIC FITS/GIDDINESS,0,0,2,D & N HAVELI,0,2,0,2009,2
ABORTIONS/CHILD BIRTH,0,0,0,D & N HAVELI,0,0,0,2009,0
INFLUENCE OF ALCOHOL,0,0,5,D & N HAVELI,0,5,0,2009,5
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,0,D & N HAVELI,0,0,0,2009,0
SNAKE BITE/ANIMAL BITE,3,0,10,D & N HAVELI,0,7,0,2009,10
OTHER,0,0,0,D & N HAVELI,0,0,0,2009,0
RAILWAY ACCIDENTS,0,0,0,D & N HAVELI,0,0,0,2009,0
DROWNING,4,0,13,D & N HAVELI,0,10,0,2009,14
FALLS,1,0,16,D & N HAVELI,0,15,0,2009,16
FIRE,10,0,13,D & N HAVELI,0,3,0,2009,13
SUDDEN DEATHS,4,0,27,D & N HAVELI,0,23,0,2009,27
POISONING,3,0,10,D & N HAVELI,0,7,0,2009,10
ELECTROCUTION,0,0,5,DAMAN & DIU,0,5,0,2009,5
GAS CYLINDER/STOVE BURST,0,0,0,DAMAN & DIU,0,0,0,2009,0
FIRE-ARMS,0,0,0,DAMAN & DIU,0,0,0,2009,0
SUDDEN DEATHS(HEART ATTACKS),0,0,6,DAMAN & DIU,0,6,0,2009,6
EPILEPTIC FITS/GIDDINESS,0,0,3,DAMAN & DIU,0,3,0,2009,3
ABORTIONS/CHILD BIRTH,0,0,0,DAMAN & DIU,0,0,0,2009,0
INFLUENCE OF ALCOHOL,0,0,0,DAMAN & DIU,0,0,0,2009,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,0,DAMAN & DIU,0,0,0,2009,0
SNAKE BITE/ANIMAL BITE,0,0,0,DAMAN & DIU,0,0,0,2009,0
OTHER,0,0,0,DAMAN & DIU,0,0,0,2009,0
RAILWAY ACCIDENTS,0,0,0,DAMAN & DIU,0,0,0,2009,0
DROWNING,1,0,17,DAMAN & DIU,0,16,0,2009,17
FALLS,0,0,8,DAMAN & DIU,0,8,0,2009,8
FIRE,4,0,6,DAMAN & DIU,0,2,0,2009,6
SUDDEN DEATHS,0,0,9,DAMAN & DIU,0,9,0,2009,9
POISONING,0,0,0,DAMAN & DIU,0,0,0,2009,0
ELECTROCUTION,18,0,169,DELHI(UT),16,145,16,2009,163
GAS CYLINDER/STOVE BURST,69,11,98,DELHI(UT),41,28,30,2009,97
FIRE-ARMS,7,2,81,DELHI(UT),47,39,45,2009,46
SUDDEN DEATHS(HEART ATTACKS),22,0,242,DELHI(UT),1,223,1,2009,245
EPILEPTIC FITS/GIDDINESS,6,0,27,DELHI(UT),0,21,0,2009,27
ABORTIONS/CHILD BIRTH,18,0,18,DELHI(UT),0,0,0,2009,18
INFLUENCE OF ALCOHOL,5,0,151,DELHI(UT),0,155,0,2009,160
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,12,0,51,DELHI(UT),0,40,0,2009,52
SNAKE BITE/ANIMAL BITE,3,0,6,DELHI(UT),0,3,0,2009,6
OTHER,55,0,166,DELHI(UT),4,112,4,2009,167
RAILWAY ACCIDENTS,99,26,1331,DELHI(UT),380,852,354,2009,951
DROWNING,16,0,95,DELHI(UT),0,85,0,2009,101
FALLS,88,4,442,DELHI(UT),32,341,28,2009,429
FIRE,230,15,369,DELHI(UT),71,173,56,2009,403
SUDDEN DEATHS,51,0,438,DELHI(UT),1,399,1,2009,450
POISONING,72,0,248,DELHI(UT),5,177,5,2009,249
ELECTROCUTION,0,0,0,LAKSHADWEEP,0,0,0,2009,0
GAS CYLINDER/STOVE BURST,0,0,0,LAKSHADWEEP,0,0,0,2009,0
FIRE-ARMS,0,0,0,LAKSHADWEEP,0,0,0,2009,0
SUDDEN DEATHS(HEART ATTACKS),0,0,0,LAKSHADWEEP,0,0,0,2009,0
EPILEPTIC FITS/GIDDINESS,0,0,0,LAKSHADWEEP,0,0,0,2009,0
ABORTIONS/CHILD BIRTH,0,0,0,LAKSHADWEEP,0,0,0,2009,0
INFLUENCE OF ALCOHOL,0,0,0,LAKSHADWEEP,0,0,0,2009,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,0,LAKSHADWEEP,0,0,0,2009,0
SNAKE BITE/ANIMAL BITE,0,0,0,LAKSHADWEEP,0,0,0,2009,0
OTHER,0,0,0,LAKSHADWEEP,0,0,0,2009,0
RAILWAY ACCIDENTS,0,0,0,LAKSHADWEEP,0,0,0,2009,0
DROWNING,2,0,4,LAKSHADWEEP,0,3,0,2009,5
FALLS,0,0,0,LAKSHADWEEP,0,0,0,2009,0
FIRE,1,0,1,LAKSHADWEEP,0,0,0,2009,1
SUDDEN DEATHS,0,0,0,LAKSHADWEEP,0,0,0,2009,0
POISONING,0,0,0,LAKSHADWEEP,0,0,0,2009,0
ELECTROCUTION,6,0,42,PUDUCHERRY,4,32,4,2009,38
GAS CYLINDER/STOVE BURST,0,0,0,PUDUCHERRY,0,0,0,2009,0
FIRE-ARMS,0,0,0,PUDUCHERRY,0,0,0,2009,0
SUDDEN DEATHS(HEART ATTACKS),1,0,52,PUDUCHERRY,0,51,0,2009,52
EPILEPTIC FITS/GIDDINESS,24,0,187,PUDUCHERRY,0,163,0,2009,187
ABORTIONS/CHILD BIRTH,0,0,0,PUDUCHERRY,0,0,0,2009,0
INFLUENCE OF ALCOHOL,8,0,210,PUDUCHERRY,0,202,0,2009,210
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,3,PUDUCHERRY,0,3,0,2009,3
SNAKE BITE/ANIMAL BITE,7,0,10,PUDUCHERRY,0,3,0,2009,10
OTHER,1,0,5,PUDUCHERRY,0,4,0,2009,5
RAILWAY ACCIDENTS,0,0,5,PUDUCHERRY,0,5,0,2009,5
DROWNING,6,0,89,PUDUCHERRY,0,83,0,2009,89
FALLS,6,0,51,PUDUCHERRY,4,41,4,2009,47
FIRE,34,1,46,PUDUCHERRY,2,10,1,2009,44
SUDDEN DEATHS,33,0,449,PUDUCHERRY,0,416,0,2009,449
POISONING,8,0,18,PUDUCHERRY,0,10,0,2009,18
