CASES,FEMALE KILLED,STATE/UT,TOTAL INJURED,YEAR,CAUSE,MALE INJURED,TOTAL KILLED,MALE KILLED,FEMALE INJURED
308,46,PUNJAB,0,2003,TOTAL DROWNING,0,308,262,0
152,14,PUNJAB,0,2003,TOTAL FALLS,0,152,138,0
347,164,PUNJAB,23,2003,TOTAL FIRE,14,324,160,9
394,31,PUNJAB,0,2003,TOTAL SUDDEN DEATHS,0,394,363,0
549,130,PUNJAB,0,2003,TOTAL POISONING,0,549,419,0
364,44,RAJASTHAN,0,2003,ELECTROCUTION,0,370,326,0
91,69,RAJASTHAN,1,2003,GAS CYLINDER/STOVE BURST,0,92,23,1
6,0,RAJASTHAN,0,2003,FIRE-ARMS,0,6,6,0
461,87,RAJASTHAN,0,2003,SUDDEN DEATHS(HEART ATTACKS),0,461,374,0
174,23,RAJASTHAN,0,2003,EPILEPTIC FITS/GIDDINESS,0,176,153,0
24,24,RAJASTHAN,0,2003,ABORTIONS/CHILD BIRTH,0,24,0,0
211,0,RAJASTHAN,1,2003,INFLUENCE OF ALCOHOL,1,210,210,0
1018,337,RAJASTHAN,6,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,4,1023,686,2
73,23,RAJASTHAN,0,2003,SNAKE BITE/ANIMAL BITE,0,73,50,0
112,31,RAJASTHAN,0,2003,OTHER,0,113,82,0
264,34,RAJASTHAN,0,2003,OTHER RAILWAY ACCIDENTS,0,265,231,0
1411,350,RAJASTHAN,1,2003,TOTAL DROWNING,1,1471,1121,0
596,136,RAJASTHAN,3,2003,TOTAL FALLS,3,593,457,0
638,384,RAJASTHAN,2,2003,TOTAL FIRE,1,647,263,1
870,134,RAJASTHAN,1,2003,TOTAL SUDDEN DEATHS,1,871,737,0
1206,391,RAJASTHAN,9,2003,TOTAL POISONING,7,1218,827,2
2,0,SIKKIM,0,2003,ELECTROCUTION,0,2,2,0
2,0,SIKKIM,0,2003,GAS CYLINDER/STOVE BURST,0,2,2,0
0,0,SIKKIM,0,2003,FIRE-ARMS,0,0,0,0
1,0,SIKKIM,0,2003,SUDDEN DEATHS(HEART ATTACKS),0,1,1,0
0,0,SIKKIM,0,2003,EPILEPTIC FITS/GIDDINESS,0,0,0,0
0,0,SIKKIM,0,2003,ABORTIONS/CHILD BIRTH,0,0,0,0
9,0,SIKKIM,0,2003,INFLUENCE OF ALCOHOL,0,9,9,0
2,0,SIKKIM,0,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,2,2,0
0,0,SIKKIM,0,2003,SNAKE BITE/ANIMAL BITE,0,0,0,0
1,1,SIKKIM,0,2003,OTHER,0,1,0,0
0,0,SIKKIM,0,2003,OTHER RAILWAY ACCIDENTS,0,0,0,0
20,5,SIKKIM,0,2003,TOTAL DROWNING,0,20,15,0
21,4,SIKKIM,0,2003,TOTAL FALLS,0,21,17,0
9,6,SIKKIM,0,2003,TOTAL FIRE,0,9,3,0
10,0,SIKKIM,0,2003,TOTAL SUDDEN DEATHS,0,10,10,0
3,1,SIKKIM,0,2003,TOTAL POISONING,0,3,2,0
261,35,TAMIL NADU,9,2003,ELECTROCUTION,9,260,225,0
567,460,TAMIL NADU,14,2003,GAS CYLINDER/STOVE BURST,3,570,110,11
0,0,TAMIL NADU,0,2003,FIRE-ARMS,0,0,0,0
610,85,TAMIL NADU,0,2003,SUDDEN DEATHS(HEART ATTACKS),0,611,526,0
98,25,TAMIL NADU,5,2003,EPILEPTIC FITS/GIDDINESS,5,98,73,0
21,21,TAMIL NADU,0,2003,ABORTIONS/CHILD BIRTH,0,21,0,0
95,0,TAMIL NADU,0,2003,INFLUENCE OF ALCOHOL,0,95,95,0
175,52,TAMIL NADU,0,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,169,117,0
368,110,TAMIL NADU,0,2003,SNAKE BITE/ANIMAL BITE,0,370,260,0
1141,360,TAMIL NADU,6,2003,OTHER,4,1154,794,2
0,0,TAMIL NADU,0,2003,OTHER RAILWAY ACCIDENTS,0,0,0,0
833,233,TAMIL NADU,25,2003,TOTAL DROWNING,17,841,608,8
407,56,TAMIL NADU,9,2003,TOTAL FALLS,6,399,343,3
1481,1025,TAMIL NADU,32,2003,TOTAL FIRE,12,1489,464,20
824,131,TAMIL NADU,5,2003,TOTAL SUDDEN DEATHS,5,825,694,0
1689,523,TAMIL NADU,94,2003,TOTAL POISONING,92,1714,1191,2
10,1,TRIPURA,0,2003,ELECTROCUTION,0,10,9,0
1,1,TRIPURA,0,2003,GAS CYLINDER/STOVE BURST,0,1,0,0
1,0,TRIPURA,0,2003,FIRE-ARMS,0,1,1,0
0,0,TRIPURA,0,2003,SUDDEN DEATHS(HEART ATTACKS),0,0,0,0
0,0,TRIPURA,0,2003,EPILEPTIC FITS/GIDDINESS,0,0,0,0
0,0,TRIPURA,0,2003,ABORTIONS/CHILD BIRTH,0,0,0,0
0,0,TRIPURA,0,2003,INFLUENCE OF ALCOHOL,0,0,0,0
0,0,TRIPURA,0,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,0,0
0,0,TRIPURA,0,2003,SNAKE BITE/ANIMAL BITE,0,0,0,0
0,0,TRIPURA,0,2003,OTHER,0,0,0,0
0,0,TRIPURA,0,2003,OTHER RAILWAY ACCIDENTS,0,0,0,0
32,7,TRIPURA,0,2003,TOTAL DROWNING,0,32,25,0
2,0,TRIPURA,0,2003,TOTAL FALLS,0,2,2,0
8,2,TRIPURA,0,2003,TOTAL FIRE,0,8,6,0
0,0,TRIPURA,0,2003,TOTAL SUDDEN DEATHS,0,0,0,0
0,0,TRIPURA,0,2003,TOTAL POISONING,0,0,0,0
328,53,UTTAR PRADESH,50,2003,ELECTROCUTION,38,345,292,12
122,103,UTTAR PRADESH,19,2003,GAS CYLINDER/STOVE BURST,8,124,21,11
1689,181,UTTAR PRADESH,819,2003,FIRE-ARMS,675,1218,1037,144
190,38,UTTAR PRADESH,60,2003,SUDDEN DEATHS(HEART ATTACKS),56,198,160,4
54,13,UTTAR PRADESH,3,2003,EPILEPTIC FITS/GIDDINESS,3,51,38,0
45,41,UTTAR PRADESH,3,2003,ABORTIONS/CHILD BIRTH,0,41,0,3
121,4,UTTAR PRADESH,13,2003,INFLUENCE OF ALCOHOL,13,117,113,0
552,186,UTTAR PRADESH,52,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,29,574,388,23
40,14,UTTAR PRADESH,2,2003,SNAKE BITE/ANIMAL BITE,2,52,38,0
190,69,UTTAR PRADESH,31,2003,OTHER,20,187,118,11
2321,389,UTTAR PRADESH,71,2003,OTHER RAILWAY ACCIDENTS,48,2386,1997,23
473,160,UTTAR PRADESH,69,2003,TOTAL DROWNING,54,561,401,15
217,58,UTTAR PRADESH,43,2003,TOTAL FALLS,32,224,166,11
874,605,UTTAR PRADESH,158,2003,TOTAL FIRE,80,901,296,78
410,96,UTTAR PRADESH,79,2003,TOTAL SUDDEN DEATHS,72,407,311,7
836,274,UTTAR PRADESH,112,2003,TOTAL POISONING,63,860,586,49
22,4,UTTARAKHAND,1,2003,ELECTROCUTION,1,22,18,0
11,8,UTTARAKHAND,0,2003,GAS CYLINDER/STOVE BURST,0,11,3,0
28,2,UTTARAKHAND,3,2003,FIRE-ARMS,3,32,30,0
45,3,UTTARAKHAND,0,2003,SUDDEN DEATHS(HEART ATTACKS),0,45,42,0
7,0,UTTARAKHAND,0,2003,EPILEPTIC FITS/GIDDINESS,0,7,7,0
3,3,UTTARAKHAND,0,2003,ABORTIONS/CHILD BIRTH,0,3,0,0
14,0,UTTARAKHAND,0,2003,INFLUENCE OF ALCOHOL,0,14,14,0
118,43,UTTARAKHAND,1,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,1,117,74,0
5,1,UTTARAKHAND,0,2003,SNAKE BITE/ANIMAL BITE,0,5,4,0
27,14,UTTARAKHAND,1,2003,OTHER,1,26,12,0
33,4,UTTARAKHAND,3,2003,OTHER RAILWAY ACCIDENTS,3,33,29,0
77,15,UTTARAKHAND,0,2003,TOTAL DROWNING,0,79,64,0
73,11,UTTARAKHAND,1,2003,TOTAL FALLS,1,73,62,0
78,44,UTTARAKHAND,2,2003,TOTAL FIRE,2,81,37,0
69,6,UTTARAKHAND,0,2003,TOTAL SUDDEN DEATHS,0,69,63,0
151,58,UTTARAKHAND,2,2003,TOTAL POISONING,2,149,91,0
108,20,WEST BENGAL,28,2003,ELECTROCUTION,18,99,79,10
54,29,WEST BENGAL,25,2003,GAS CYLINDER/STOVE BURST,6,32,3,19
66,6,WEST BENGAL,20,2003,FIRE-ARMS,17,52,46,3
441,106,WEST BENGAL,34,2003,SUDDEN DEATHS(HEART ATTACKS),18,407,301,16
1,0,WEST BENGAL,0,2003,EPILEPTIC FITS/GIDDINESS,0,1,1,0
22,20,WEST BENGAL,2,2003,ABORTIONS/CHILD BIRTH,0,20,0,2
53,2,WEST BENGAL,15,2003,INFLUENCE OF ALCOHOL,12,39,37,3
82,32,WEST BENGAL,63,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,44,81,49,19
231,64,WEST BENGAL,30,2003,SNAKE BITE/ANIMAL BITE,26,211,147,4
336,147,WEST BENGAL,52,2003,OTHER,30,320,173,22
2217,510,WEST BENGAL,1,2003,OTHER RAILWAY ACCIDENTS,0,2218,1708,1
407,109,WEST BENGAL,53,2003,TOTAL DROWNING,33,407,298,20
342,58,WEST BENGAL,83,2003,TOTAL FALLS,57,271,213,26
401,171,WEST BENGAL,148,2003,TOTAL FIRE,88,310,139,60
517,128,WEST BENGAL,51,2003,TOTAL SUDDEN DEATHS,30,467,339,21
650,243,WEST BENGAL,146,2003,TOTAL POISONING,101,612,369,45
0,0,A & N ISLANDS,0,2003,ELECTROCUTION,0,0,0,0
0,0,A & N ISLANDS,0,2003,GAS CYLINDER/STOVE BURST,0,0,0,0
0,0,A & N ISLANDS,0,2003,FIRE-ARMS,0,0,0,0
19,7,A & N ISLANDS,0,2003,SUDDEN DEATHS(HEART ATTACKS),0,19,12,0
1,0,A & N ISLANDS,0,2003,EPILEPTIC FITS/GIDDINESS,0,1,1,0
0,0,A & N ISLANDS,0,2003,ABORTIONS/CHILD BIRTH,0,0,0,0
12,0,A & N ISLANDS,0,2003,INFLUENCE OF ALCOHOL,0,12,12,0
0,0,A & N ISLANDS,0,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,0,0
1,0,A & N ISLANDS,0,2003,SNAKE BITE/ANIMAL BITE,0,1,1,0
0,0,A & N ISLANDS,0,2003,OTHER,0,0,0,0
0,0,A & N ISLANDS,0,2003,OTHER RAILWAY ACCIDENTS,0,0,0,0
40,13,A & N ISLANDS,0,2003,TOTAL DROWNING,0,43,30,0
12,1,A & N ISLANDS,0,2003,TOTAL FALLS,0,12,11,0
28,20,A & N ISLANDS,0,2003,TOTAL FIRE,0,28,8,0
32,7,A & N ISLANDS,0,2003,TOTAL SUDDEN DEATHS,0,32,25,0
1,0,A & N ISLANDS,0,2003,TOTAL POISONING,0,1,1,0
6,1,CHANDIGARH,1,2003,ELECTROCUTION,0,7,6,1
14,10,CHANDIGARH,0,2003,GAS CYLINDER/STOVE BURST,0,14,4,0
1,0,CHANDIGARH,0,2003,FIRE-ARMS,0,1,1,0
41,1,CHANDIGARH,0,2003,SUDDEN DEATHS(HEART ATTACKS),0,41,40,0
1,0,CHANDIGARH,0,2003,EPILEPTIC FITS/GIDDINESS,0,1,1,0
4,4,CHANDIGARH,0,2003,ABORTIONS/CHILD BIRTH,0,4,0,0
21,0,CHANDIGARH,0,2003,INFLUENCE OF ALCOHOL,0,21,21,0
4,3,CHANDIGARH,0,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,7,4,0
0,0,CHANDIGARH,0,2003,SNAKE BITE/ANIMAL BITE,0,0,0,0
14,6,CHANDIGARH,0,2003,OTHER,0,15,9,0
0,0,CHANDIGARH,0,2003,OTHER RAILWAY ACCIDENTS,0,0,0,0
9,0,CHANDIGARH,0,2003,TOTAL DROWNING,0,9,9,0
15,3,CHANDIGARH,0,2003,TOTAL FALLS,0,15,12,0
26,20,CHANDIGARH,0,2003,TOTAL FIRE,0,26,6,0
67,5,CHANDIGARH,0,2003,TOTAL SUDDEN DEATHS,0,67,62,0
18,9,CHANDIGARH,0,2003,TOTAL POISONING,0,22,13,0
6,0,D & N HAVELI,0,2003,ELECTROCUTION,0,6,6,0
0,0,D & N HAVELI,0,2003,GAS CYLINDER/STOVE BURST,0,0,0,0
0,0,D & N HAVELI,0,2003,FIRE-ARMS,0,0,0,0
18,2,D & N HAVELI,0,2003,SUDDEN DEATHS(HEART ATTACKS),0,18,16,0
0,0,D & N HAVELI,0,2003,EPILEPTIC FITS/GIDDINESS,0,0,0,0
0,0,D & N HAVELI,0,2003,ABORTIONS/CHILD BIRTH,0,0,0,0
0,0,D & N HAVELI,0,2003,INFLUENCE OF ALCOHOL,0,0,0,0
0,0,D & N HAVELI,0,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,0,0
2,1,D & N HAVELI,0,2003,SNAKE BITE/ANIMAL BITE,0,2,1,0
0,0,D & N HAVELI,0,2003,OTHER,0,0,0,0
0,0,D & N HAVELI,0,2003,OTHER RAILWAY ACCIDENTS,0,0,0,0
15,3,D & N HAVELI,0,2003,TOTAL DROWNING,0,16,13,0
12,1,D & N HAVELI,0,2003,TOTAL FALLS,0,12,11,0
3,1,D & N HAVELI,0,2003,TOTAL FIRE,0,3,2,0
18,2,D & N HAVELI,0,2003,TOTAL SUDDEN DEATHS,0,18,16,0
2,1,D & N HAVELI,0,2003,TOTAL POISONING,0,2,1,0
2,0,DAMAN & DIU,0,2003,ELECTROCUTION,0,2,2,0
0,0,DAMAN & DIU,0,2003,GAS CYLINDER/STOVE BURST,0,0,0,0
0,0,DAMAN & DIU,0,2003,FIRE-ARMS,0,0,0,0
8,1,DAMAN & DIU,0,2003,SUDDEN DEATHS(HEART ATTACKS),0,8,7,0
1,0,DAMAN & DIU,0,2003,EPILEPTIC FITS/GIDDINESS,0,1,1,0
0,0,DAMAN & DIU,0,2003,ABORTIONS/CHILD BIRTH,0,0,0,0
2,0,DAMAN & DIU,0,2003,INFLUENCE OF ALCOHOL,0,2,2,0
1,1,DAMAN & DIU,0,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,1,0,0
0,0,DAMAN & DIU,0,2003,SNAKE BITE/ANIMAL BITE,0,0,0,0
1,0,DAMAN & DIU,0,2003,OTHER,0,1,1,0
0,0,DAMAN & DIU,0,2003,OTHER RAILWAY ACCIDENTS,0,0,0,0
15,1,DAMAN & DIU,0,2003,TOTAL DROWNING,0,15,14,0
3,0,DAMAN & DIU,0,2003,TOTAL FALLS,0,3,3,0
3,2,DAMAN & DIU,0,2003,TOTAL FIRE,0,5,3,0
11,1,DAMAN & DIU,0,2003,TOTAL SUDDEN DEATHS,0,11,10,0
2,1,DAMAN & DIU,0,2003,TOTAL POISONING,0,2,1,0
194,23,DELHI(UT),10,2003,ELECTROCUTION,8,197,174,2
153,117,DELHI(UT),11,2003,GAS CYLINDER/STOVE BURST,6,157,40,5
38,8,DELHI(UT),19,2003,FIRE-ARMS,18,27,19,1
193,15,DELHI(UT),0,2003,SUDDEN DEATHS(HEART ATTACKS),0,193,178,0
19,5,DELHI(UT),0,2003,EPILEPTIC FITS/GIDDINESS,0,19,14,0
11,11,DELHI(UT),0,2003,ABORTIONS/CHILD BIRTH,0,11,0,0
64,2,DELHI(UT),0,2003,INFLUENCE OF ALCOHOL,0,64,62,0
74,21,DELHI(UT),18,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,18,78,57,0
8,3,DELHI(UT),0,2003,SNAKE BITE/ANIMAL BITE,0,8,5,0
118,50,DELHI(UT),0,2003,OTHER,0,118,68,0
807,111,DELHI(UT),0,2003,OTHER RAILWAY ACCIDENTS,0,818,707,0
148,18,DELHI(UT),0,2003,TOTAL DROWNING,0,150,132,0
307,56,DELHI(UT),6,2003,TOTAL FALLS,6,314,258,0
403,256,DELHI(UT),19,2003,TOTAL FIRE,13,421,165,6
287,33,DELHI(UT),0,2003,TOTAL SUDDEN DEATHS,0,287,254,0
206,78,DELHI(UT),21,2003,TOTAL POISONING,19,210,132,2
0,0,LAKSHADWEEP,0,2003,ELECTROCUTION,0,0,0,0
0,0,LAKSHADWEEP,0,2003,GAS CYLINDER/STOVE BURST,0,0,0,0
0,0,LAKSHADWEEP,0,2003,FIRE-ARMS,0,0,0,0
0,0,LAKSHADWEEP,0,2003,SUDDEN DEATHS(HEART ATTACKS),0,0,0,0
0,0,LAKSHADWEEP,0,2003,EPILEPTIC FITS/GIDDINESS,0,0,0,0
0,0,LAKSHADWEEP,0,2003,ABORTIONS/CHILD BIRTH,0,0,0,0
0,0,LAKSHADWEEP,0,2003,INFLUENCE OF ALCOHOL,0,0,0,0
0,0,LAKSHADWEEP,0,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,0,0
0,0,LAKSHADWEEP,0,2003,SNAKE BITE/ANIMAL BITE,0,0,0,0
0,0,LAKSHADWEEP,0,2003,OTHER,0,0,0,0
0,0,LAKSHADWEEP,0,2003,OTHER RAILWAY ACCIDENTS,0,0,0,0
0,0,LAKSHADWEEP,0,2003,TOTAL DROWNING,0,0,0,0
0,0,LAKSHADWEEP,0,2003,TOTAL FALLS,0,0,0,0
0,0,LAKSHADWEEP,0,2003,TOTAL FIRE,0,0,0,0
0,0,LAKSHADWEEP,0,2003,TOTAL SUDDEN DEATHS,0,0,0,0
0,0,LAKSHADWEEP,0,2003,TOTAL POISONING,0,0,0,0
27,5,PUDUCHERRY,0,2003,ELECTROCUTION,0,27,22,0
0,0,PUDUCHERRY,0,2003,GAS CYLINDER/STOVE BURST,0,0,0,0
0,0,PUDUCHERRY,0,2003,FIRE-ARMS,0,0,0,0
47,7,PUDUCHERRY,0,2003,SUDDEN DEATHS(HEART ATTACKS),0,47,40,0
10,2,PUDUCHERRY,0,2003,EPILEPTIC FITS/GIDDINESS,0,10,8,0
0,0,PUDUCHERRY,0,2003,ABORTIONS/CHILD BIRTH,0,0,0,0
124,5,PUDUCHERRY,0,2003,INFLUENCE OF ALCOHOL,0,124,119,0
2,1,PUDUCHERRY,0,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,2,1,0
11,4,PUDUCHERRY,0,2003,SNAKE BITE/ANIMAL BITE,0,11,7,0
6,1,PUDUCHERRY,0,2003,OTHER,0,6,5,0
0,0,PUDUCHERRY,0,2003,OTHER RAILWAY ACCIDENTS,0,0,0,0
65,8,PUDUCHERRY,0,2003,TOTAL DROWNING,0,71,63,0
27,4,PUDUCHERRY,0,2003,TOTAL FALLS,0,27,23,0
49,36,PUDUCHERRY,0,2003,TOTAL FIRE,0,49,13,0
181,14,PUDUCHERRY,0,2003,TOTAL SUDDEN DEATHS,0,181,167,0
19,6,PUDUCHERRY,0,2003,TOTAL POISONING,0,19,13,0
