STATE/UT,CASES,MALE INJURED,TOTAL INJURED,TOTAL KILLED,FEMALE KILLED,YEAR,FEMALE INJURED,CAUSE,MALE KILLED
PUNJAB,423,0,0,423,373,2004,0,TOTAL DROWNING,50
PUNJAB,122,0,0,122,9,2004,0,TOTAL FALLS,113
PUNJAB,290,0,0,290,164,2004,0,TOTAL FIRE,126
PUNJAB,473,0,0,473,46,2004,0,TOTAL SUDDEN DEATHS,427
PUNJAB,686,0,0,686,188,2004,0,TOTAL POISONING,498
RAJASTHAN,370,0,0,382,46,2004,0,ELECTROCUTION,336
RAJASTHAN,101,1,2,101,72,2004,1,GAS CYLINDER/STOVE BURST,29
RAJASTHAN,3,0,0,4,0,2004,0,FIRE-ARMS,4
RAJASTHAN,409,0,0,409,67,2004,0,SUDDEN DEATHS(HEART ATTACKS),342
RAJASTHAN,79,0,0,79,21,2004,0,EPILEPTIC FITS/GIDDINESS,58
RAJASTHAN,35,0,0,35,35,2004,0,ABORTIONS/CHILD BIRTH,0
RAJASTHAN,183,0,0,183,3,2004,0,INFLUENCE OF ALCOHOL,180
RAJASTHAN,1101,0,0,1115,354,2004,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,761
RAJASTHAN,93,2,2,93,18,2004,0,SNAKE BITE/ANIMAL BITE,75
RAJASTHAN,84,0,0,84,27,2004,0,OTHER,57
RAJASTHAN,278,0,0,315,42,2004,0,OTHER RAILWAY ACCIDENTS,273
RAJASTHAN,1293,7,9,1350,388,2004,2,TOTAL DROWNING,962
RAJASTHAN,571,0,0,573,116,2004,0,TOTAL FALLS,457
RAJASTHAN,732,4,6,743,440,2004,2,TOTAL FIRE,303
RAJASTHAN,706,0,0,706,126,2004,0,TOTAL SUDDEN DEATHS,580
RAJASTHAN,1290,2,2,1305,399,2004,0,TOTAL POISONING,906
SIKKIM,9,0,0,9,0,2004,0,ELECTROCUTION,9
SIKKIM,7,0,0,7,6,2004,0,GAS CYLINDER/STOVE BURST,1
SIKKIM,2,0,0,2,0,2004,0,FIRE-ARMS,2
SIKKIM,10,0,0,10,3,2004,0,SUDDEN DEATHS(HEART ATTACKS),7
SIKKIM,4,0,0,4,1,2004,0,EPILEPTIC FITS/GIDDINESS,3
SIKKIM,0,0,0,0,0,2004,0,ABORTIONS/CHILD BIRTH,0
SIKKIM,5,0,0,5,0,2004,0,INFLUENCE OF ALCOHOL,5
SIKKIM,0,0,0,0,0,2004,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0
SIKKIM,0,0,0,0,0,2004,0,SNAKE BITE/ANIMAL BITE,0
SIKKIM,33,0,0,33,6,2004,0,OTHER,27
SIKKIM,0,0,0,0,0,2004,0,OTHER RAILWAY ACCIDENTS,0
SIKKIM,10,0,0,10,3,2004,0,TOTAL DROWNING,7
SIKKIM,26,0,0,26,3,2004,0,TOTAL FALLS,23
SIKKIM,9,0,0,9,6,2004,0,TOTAL FIRE,3
SIKKIM,19,0,0,19,4,2004,0,TOTAL SUDDEN DEATHS,15
SIKKIM,33,0,0,33,6,2004,0,TOTAL POISONING,27
TAMIL NADU,272,1,2,276,46,2004,1,ELECTROCUTION,230
TAMIL NADU,704,48,63,722,587,2004,15,GAS CYLINDER/STOVE BURST,135
TAMIL NADU,4,2,4,0,0,2004,2,FIRE-ARMS,0
TAMIL NADU,613,23,32,608,93,2004,9,SUDDEN DEATHS(HEART ATTACKS),515
TAMIL NADU,109,0,0,110,31,2004,0,EPILEPTIC FITS/GIDDINESS,79
TAMIL NADU,10,0,0,10,10,2004,0,ABORTIONS/CHILD BIRTH,0
TAMIL NADU,116,6,6,112,3,2004,0,INFLUENCE OF ALCOHOL,109
TAMIL NADU,230,6,14,224,69,2004,8,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,155
TAMIL NADU,316,9,17,300,108,2004,8,SNAKE BITE/ANIMAL BITE,192
TAMIL NADU,930,3,5,933,325,2004,2,OTHER,608
TAMIL NADU,0,0,0,0,0,2004,0,OTHER RAILWAY ACCIDENTS,0
TAMIL NADU,945,11,12,1012,247,2004,1,TOTAL DROWNING,765
TAMIL NADU,378,29,30,378,48,2004,1,TOTAL FALLS,330
TAMIL NADU,1732,63,95,1789,1240,2004,32,TOTAL FIRE,549
TAMIL NADU,848,29,38,840,137,2004,9,TOTAL SUDDEN DEATHS,703
TAMIL NADU,1529,18,36,1513,520,2004,18,TOTAL POISONING,993
TRIPURA,2,0,0,2,0,2004,0,ELECTROCUTION,2
TRIPURA,0,0,0,0,0,2004,0,GAS CYLINDER/STOVE BURST,0
TRIPURA,2,0,0,2,0,2004,0,FIRE-ARMS,2
TRIPURA,31,0,0,31,10,2004,0,SUDDEN DEATHS(HEART ATTACKS),21
TRIPURA,0,0,0,0,0,2004,0,EPILEPTIC FITS/GIDDINESS,0
TRIPURA,2,0,0,2,2,2004,0,ABORTIONS/CHILD BIRTH,0
TRIPURA,3,0,0,3,0,2004,0,INFLUENCE OF ALCOHOL,3
TRIPURA,127,0,0,127,62,2004,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,65
TRIPURA,0,0,0,0,0,2004,0,SNAKE BITE/ANIMAL BITE,0
TRIPURA,0,0,0,0,0,2004,0,OTHER,0
TRIPURA,0,0,0,0,0,2004,0,OTHER RAILWAY ACCIDENTS,0
TRIPURA,68,0,0,69,31,2004,0,TOTAL DROWNING,38
TRIPURA,10,0,0,10,3,2004,0,TOTAL FALLS,7
TRIPURA,17,0,0,18,10,2004,0,TOTAL FIRE,8
TRIPURA,36,0,0,36,12,2004,0,TOTAL SUDDEN DEATHS,24
TRIPURA,127,0,0,127,62,2004,0,TOTAL POISONING,65
UTTAR PRADESH,414,82,102,386,61,2004,20,ELECTROCUTION,325
UTTAR PRADESH,150,20,47,127,91,2004,27,GAS CYLINDER/STOVE BURST,36
UTTAR PRADESH,2342,936,1079,1590,234,2004,143,FIRE-ARMS,1356
UTTAR PRADESH,259,17,18,250,41,2004,1,SUDDEN DEATHS(HEART ATTACKS),209
UTTAR PRADESH,65,0,0,79,26,2004,0,EPILEPTIC FITS/GIDDINESS,53
UTTAR PRADESH,69,0,0,69,69,2004,0,ABORTIONS/CHILD BIRTH,0
UTTAR PRADESH,109,21,24,120,5,2004,3,INFLUENCE OF ALCOHOL,115
UTTAR PRADESH,527,43,68,501,239,2004,25,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,262
UTTAR PRADESH,66,3,4,70,20,2004,1,SNAKE BITE/ANIMAL BITE,50
UTTAR PRADESH,284,32,50,265,102,2004,18,OTHER,163
UTTAR PRADESH,2450,131,158,2470,416,2004,27,OTHER RAILWAY ACCIDENTS,2054
UTTAR PRADESH,557,73,105,613,177,2004,32,TOTAL DROWNING,436
UTTAR PRADESH,225,42,61,191,44,2004,19,TOTAL FALLS,147
UTTAR PRADESH,920,136,260,872,586,2004,124,TOTAL FIRE,286
UTTAR PRADESH,502,38,42,518,141,2004,4,TOTAL SUDDEN DEATHS,377
UTTAR PRADESH,932,88,135,890,368,2004,47,TOTAL POISONING,522
UTTARAKHAND,24,1,1,28,6,2004,0,ELECTROCUTION,22
UTTARAKHAND,16,1,1,15,10,2004,0,GAS CYLINDER/STOVE BURST,5
UTTARAKHAND,19,1,2,17,1,2004,1,FIRE-ARMS,16
UTTARAKHAND,47,0,0,47,11,2004,0,SUDDEN DEATHS(HEART ATTACKS),36
UTTARAKHAND,9,0,0,9,1,2004,0,EPILEPTIC FITS/GIDDINESS,8
UTTARAKHAND,3,0,1,2,2,2004,1,ABORTIONS/CHILD BIRTH,0
UTTARAKHAND,16,0,0,16,0,2004,0,INFLUENCE OF ALCOHOL,16
UTTARAKHAND,113,1,1,113,29,2004,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,84
UTTARAKHAND,5,1,1,4,1,2004,0,SNAKE BITE/ANIMAL BITE,3
UTTARAKHAND,18,3,3,15,5,2004,0,OTHER,10
UTTARAKHAND,10,0,0,10,2,2004,0,OTHER RAILWAY ACCIDENTS,8
UTTARAKHAND,89,1,2,91,24,2004,1,TOTAL DROWNING,67
UTTARAKHAND,77,2,3,82,14,2004,1,TOTAL FALLS,68
UTTARAKHAND,74,5,5,73,47,2004,0,TOTAL FIRE,26
UTTARAKHAND,75,0,1,74,14,2004,1,TOTAL SUDDEN DEATHS,60
UTTARAKHAND,136,5,5,132,35,2004,0,TOTAL POISONING,97
WEST BENGAL,117,27,32,122,23,2004,5,ELECTROCUTION,99
WEST BENGAL,121,6,20,104,65,2004,14,GAS CYLINDER/STOVE BURST,39
WEST BENGAL,42,25,30,47,5,2004,5,FIRE-ARMS,42
WEST BENGAL,656,134,192,469,108,2004,58,SUDDEN DEATHS(HEART ATTACKS),361
WEST BENGAL,3,1,1,2,0,2004,0,EPILEPTIC FITS/GIDDINESS,2
WEST BENGAL,20,0,2,18,18,2004,2,ABORTIONS/CHILD BIRTH,0
WEST BENGAL,93,22,23,70,4,2004,1,INFLUENCE OF ALCOHOL,66
WEST BENGAL,138,16,30,132,56,2004,14,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,76
WEST BENGAL,174,16,23,159,54,2004,7,SNAKE BITE/ANIMAL BITE,105
WEST BENGAL,1167,45,64,1142,481,2004,19,OTHER,661
WEST BENGAL,1185,0,0,1185,326,2004,0,OTHER RAILWAY ACCIDENTS,859
WEST BENGAL,466,119,196,412,112,2004,77,TOTAL DROWNING,300
WEST BENGAL,193,28,35,173,38,2004,7,TOTAL FALLS,135
WEST BENGAL,573,68,113,548,324,2004,45,TOTAL FIRE,224
WEST BENGAL,772,157,218,559,130,2004,61,TOTAL SUDDEN DEATHS,429
WEST BENGAL,1493,82,122,1442,594,2004,40,TOTAL POISONING,848
A & N ISLANDS,4,0,0,4,0,2004,0,ELECTROCUTION,4
A & N ISLANDS,12,0,0,12,11,2004,0,GAS CYLINDER/STOVE BURST,1
A & N ISLANDS,0,0,0,0,0,2004,0,FIRE-ARMS,0
A & N ISLANDS,37,0,0,37,7,2004,0,SUDDEN DEATHS(HEART ATTACKS),30
A & N ISLANDS,0,0,0,0,0,2004,0,EPILEPTIC FITS/GIDDINESS,0
A & N ISLANDS,1,0,0,1,1,2004,0,ABORTIONS/CHILD BIRTH,0
A & N ISLANDS,0,0,0,0,0,2004,0,INFLUENCE OF ALCOHOL,0
A & N ISLANDS,0,0,0,0,0,2004,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0
A & N ISLANDS,1,0,0,1,0,2004,0,SNAKE BITE/ANIMAL BITE,1
A & N ISLANDS,3,0,0,3,2,2004,0,OTHER,1
A & N ISLANDS,0,0,0,0,0,2004,0,OTHER RAILWAY ACCIDENTS,0
A & N ISLANDS,33,0,0,34,6,2004,0,TOTAL DROWNING,28
A & N ISLANDS,7,0,0,7,2,2004,0,TOTAL FALLS,5
A & N ISLANDS,22,0,0,23,19,2004,0,TOTAL FIRE,4
A & N ISLANDS,38,0,0,38,8,2004,0,TOTAL SUDDEN DEATHS,30
A & N ISLANDS,4,0,0,4,2,2004,0,TOTAL POISONING,2
CHANDIGARH,9,0,0,9,3,2004,0,ELECTROCUTION,6
CHANDIGARH,7,0,0,7,6,2004,0,GAS CYLINDER/STOVE BURST,1
CHANDIGARH,0,0,0,0,0,2004,0,FIRE-ARMS,0
CHANDIGARH,42,0,0,42,2,2004,0,SUDDEN DEATHS(HEART ATTACKS),40
CHANDIGARH,3,0,0,3,0,2004,0,EPILEPTIC FITS/GIDDINESS,3
CHANDIGARH,3,0,0,3,3,2004,0,ABORTIONS/CHILD BIRTH,0
CHANDIGARH,13,0,0,13,0,2004,0,INFLUENCE OF ALCOHOL,13
CHANDIGARH,2,0,0,2,1,2004,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,1
CHANDIGARH,0,0,0,0,0,2004,0,SNAKE BITE/ANIMAL BITE,0
CHANDIGARH,16,0,0,16,4,2004,0,OTHER,12
CHANDIGARH,0,0,0,0,0,2004,0,OTHER RAILWAY ACCIDENTS,0
CHANDIGARH,6,0,0,6,4,2004,0,TOTAL DROWNING,2
CHANDIGARH,22,0,0,22,5,2004,0,TOTAL FALLS,17
CHANDIGARH,25,0,0,25,16,2004,0,TOTAL FIRE,9
CHANDIGARH,61,0,0,61,5,2004,0,TOTAL SUDDEN DEATHS,56
CHANDIGARH,18,0,0,18,5,2004,0,TOTAL POISONING,13
D & N HAVELI,5,0,0,5,0,2004,0,ELECTROCUTION,5
D & N HAVELI,8,0,0,8,1,2004,0,GAS CYLINDER/STOVE BURST,7
D & N HAVELI,0,0,0,0,0,2004,0,FIRE-ARMS,0
D & N HAVELI,14,0,0,14,0,2004,0,SUDDEN DEATHS(HEART ATTACKS),14
D & N HAVELI,0,0,0,0,0,2004,0,EPILEPTIC FITS/GIDDINESS,0
D & N HAVELI,1,0,0,1,1,2004,0,ABORTIONS/CHILD BIRTH,0
D & N HAVELI,4,0,0,4,0,2004,0,INFLUENCE OF ALCOHOL,4
D & N HAVELI,0,0,0,0,0,2004,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0
D & N HAVELI,6,0,0,6,1,2004,0,SNAKE BITE/ANIMAL BITE,5
D & N HAVELI,0,0,0,0,0,2004,0,OTHER,0
D & N HAVELI,0,0,0,0,0,2004,0,OTHER RAILWAY ACCIDENTS,0
D & N HAVELI,12,0,0,12,3,2004,0,TOTAL DROWNING,9
D & N HAVELI,14,0,0,14,2,2004,0,TOTAL FALLS,12
D & N HAVELI,10,0,0,10,1,2004,0,TOTAL FIRE,9
D & N HAVELI,19,0,0,19,1,2004,0,TOTAL SUDDEN DEATHS,18
D & N HAVELI,6,0,0,6,1,2004,0,TOTAL POISONING,5
DAMAN & DIU,4,2,2,4,0,2004,0,ELECTROCUTION,4
DAMAN & DIU,4,0,0,4,3,2004,0,GAS CYLINDER/STOVE BURST,1
DAMAN & DIU,0,0,0,0,0,2004,0,FIRE-ARMS,0
DAMAN & DIU,11,0,0,11,1,2004,0,SUDDEN DEATHS(HEART ATTACKS),10
DAMAN & DIU,0,0,0,0,0,2004,0,EPILEPTIC FITS/GIDDINESS,0
DAMAN & DIU,0,0,0,0,0,2004,0,ABORTIONS/CHILD BIRTH,0
DAMAN & DIU,1,0,0,1,0,2004,0,INFLUENCE OF ALCOHOL,1
DAMAN & DIU,0,0,0,0,0,2004,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0
DAMAN & DIU,0,0,0,0,0,2004,0,SNAKE BITE/ANIMAL BITE,0
DAMAN & DIU,0,0,0,0,0,2004,0,OTHER,0
DAMAN & DIU,0,0,0,0,0,2004,0,OTHER RAILWAY ACCIDENTS,0
DAMAN & DIU,11,0,0,11,1,2004,0,TOTAL DROWNING,10
DAMAN & DIU,6,0,0,6,0,2004,0,TOTAL FALLS,6
DAMAN & DIU,9,0,0,9,8,2004,0,TOTAL FIRE,1
DAMAN & DIU,12,0,0,12,1,2004,0,TOTAL SUDDEN DEATHS,11
DAMAN & DIU,0,0,0,0,0,2004,0,TOTAL POISONING,0
DELHI(UT),151,8,8,153,18,2004,0,ELECTROCUTION,135
DELHI(UT),130,7,7,133,103,2004,0,GAS CYLINDER/STOVE BURST,30
DELHI(UT),52,20,23,31,5,2004,3,FIRE-ARMS,26
DELHI(UT),174,1,3,173,18,2004,2,SUDDEN DEATHS(HEART ATTACKS),155
DELHI(UT),21,0,0,21,2,2004,0,EPILEPTIC FITS/GIDDINESS,19
DELHI(UT),17,0,0,17,17,2004,0,ABORTIONS/CHILD BIRTH,0
DELHI(UT),85,0,0,86,1,2004,0,INFLUENCE OF ALCOHOL,85
DELHI(UT),80,37,95,79,25,2004,58,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,54
DELHI(UT),14,0,0,14,2,2004,0,SNAKE BITE/ANIMAL BITE,12
DELHI(UT),127,0,0,138,53,2004,0,OTHER,85
DELHI(UT),761,0,0,761,86,2004,0,OTHER RAILWAY ACCIDENTS,675
DELHI(UT),95,2,2,96,12,2004,0,TOTAL DROWNING,84
DELHI(UT),288,9,10,296,46,2004,1,TOTAL FALLS,250
DELHI(UT),428,32,32,449,253,2004,0,TOTAL FIRE,196
DELHI(UT),297,1,3,297,38,2004,2,TOTAL SUDDEN DEATHS,259
DELHI(UT),229,40,102,239,82,2004,62,TOTAL POISONING,157
LAKSHADWEEP,0,0,0,0,0,2004,0,ELECTROCUTION,0
LAKSHADWEEP,0,0,0,0,0,2004,0,GAS CYLINDER/STOVE BURST,0
LAKSHADWEEP,0,0,0,0,0,2004,0,FIRE-ARMS,0
LAKSHADWEEP,0,0,0,0,0,2004,0,SUDDEN DEATHS(HEART ATTACKS),0
LAKSHADWEEP,0,0,0,0,0,2004,0,EPILEPTIC FITS/GIDDINESS,0
LAKSHADWEEP,0,0,0,0,0,2004,0,ABORTIONS/CHILD BIRTH,0
LAKSHADWEEP,0,0,0,0,0,2004,0,INFLUENCE OF ALCOHOL,0
LAKSHADWEEP,0,0,0,0,0,2004,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0
LAKSHADWEEP,0,0,0,0,0,2004,0,SNAKE BITE/ANIMAL BITE,0
LAKSHADWEEP,0,0,0,0,0,2004,0,OTHER,0
LAKSHADWEEP,0,0,0,0,0,2004,0,OTHER RAILWAY ACCIDENTS,0
LAKSHADWEEP,0,0,0,0,0,2004,0,TOTAL DROWNING,0
LAKSHADWEEP,0,0,0,0,0,2004,0,TOTAL FALLS,0
LAKSHADWEEP,0,0,0,0,0,2004,0,TOTAL FIRE,0
LAKSHADWEEP,0,0,0,0,0,2004,0,TOTAL SUDDEN DEATHS,0
LAKSHADWEEP,0,0,0,0,0,2004,0,TOTAL POISONING,0
PUDUCHERRY,22,0,0,22,5,2004,0,ELECTROCUTION,17
PUDUCHERRY,0,0,0,0,0,2004,0,GAS CYLINDER/STOVE BURST,0
PUDUCHERRY,0,0,0,0,0,2004,0,FIRE-ARMS,0
PUDUCHERRY,65,0,0,65,8,2004,0,SUDDEN DEATHS(HEART ATTACKS),57
PUDUCHERRY,68,0,0,68,11,2004,0,EPILEPTIC FITS/GIDDINESS,57
PUDUCHERRY,0,0,0,0,0,2004,0,ABORTIONS/CHILD BIRTH,0
PUDUCHERRY,132,0,0,132,1,2004,0,INFLUENCE OF ALCOHOL,131
PUDUCHERRY,3,0,0,3,2,2004,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,1
PUDUCHERRY,14,0,0,14,6,2004,0,SNAKE BITE/ANIMAL BITE,8
PUDUCHERRY,6,0,0,6,4,2004,0,OTHER,2
PUDUCHERRY,0,0,0,0,0,2004,0,OTHER RAILWAY ACCIDENTS,0
PUDUCHERRY,84,0,0,81,15,2004,0,TOTAL DROWNING,66
PUDUCHERRY,53,0,0,53,5,2004,0,TOTAL FALLS,48
PUDUCHERRY,40,0,0,40,28,2004,0,TOTAL FIRE,12
PUDUCHERRY,265,0,0,265,20,2004,0,TOTAL SUDDEN DEATHS,245
PUDUCHERRY,23,0,0,23,12,2004,0,TOTAL POISONING,11
