FEMALE INJURED,CASES,TOTAL KILLED,CAUSE,MALE INJURED,MALE KILLED,STATE/UT,YEAR,TOTAL INJURED,FEMALE KILLED
0,235,235,TOTAL DROWNING,0,200,PUNJAB,2001,0,35
0,64,63,TOTAL FALLS,1,59,PUNJAB,2001,1,4
5,367,360,TOTAL FIRE,2,116,PUNJAB,2001,7,244
0,367,367,TOTAL SUDDEN DEATHS,0,349,PUNJAB,2001,0,18
0,590,590,TOTAL POISONING,0,442,PUNJAB,2001,0,148
0,360,366,ELECTROCUTION,0,322,RAJASTHAN,2001,0,44
5,125,125,GAS CYLINDER/STOVE BURST,3,36,RAJASTHAN,2001,8,89
0,7,7,FIRE-ARMS,0,7,RAJASTHAN,2001,0,0
0,329,329,SUDDEN DEATHS(HEART ATTACKS),0,288,RAJASTHAN,2001,0,41
0,231,231,EPILEPTIC FITS/GIDDINESS,0,192,RAJASTHAN,2001,0,39
0,26,26,ABORTIONS/CHILD BIRTH,0,0,RAJASTHAN,2001,0,26
0,152,152,INFLUENCE OF ALCOHOL,0,150,RAJASTHAN,2001,0,2
0,714,717,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,439,RAJASTHAN,2001,0,278
0,73,73,SNAKE BITE/ANIMAL BITE,0,55,RAJASTHAN,2001,0,18
0,163,163,OTHER,0,116,RAJASTHAN,2001,0,47
5,449,451,OTHER RAILWAY ACCIDENTS,6,351,RAJASTHAN,2001,11,100
0,1324,1371,TOTAL DROWNING,0,938,RAJASTHAN,2001,0,433
0,440,447,TOTAL FALLS,0,364,RAJASTHAN,2001,0,83
5,773,778,TOTAL FIRE,3,294,RAJASTHAN,2001,8,484
0,738,738,TOTAL SUDDEN DEATHS,0,630,RAJASTHAN,2001,0,108
0,955,959,TOTAL POISONING,0,616,RAJASTHAN,2001,0,343
0,3,3,ELECTROCUTION,0,3,SIKKIM,2001,0,0
0,0,0,GAS CYLINDER/STOVE BURST,0,0,SIKKIM,2001,0,0
0,0,0,FIRE-ARMS,0,0,SIKKIM,2001,0,0
0,0,0,SUDDEN DEATHS(HEART ATTACKS),0,0,SIKKIM,2001,0,0
0,0,0,EPILEPTIC FITS/GIDDINESS,0,0,SIKKIM,2001,0,0
0,0,0,ABORTIONS/CHILD BIRTH,0,0,SIKKIM,2001,0,0
0,1,1,INFLUENCE OF ALCOHOL,0,1,SIKKIM,2001,0,0
0,4,5,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,1,1,SIKKIM,2001,1,4
0,0,0,SNAKE BITE/ANIMAL BITE,0,0,SIKKIM,2001,0,0
0,0,0,OTHER,0,0,SIKKIM,2001,0,0
0,0,0,OTHER RAILWAY ACCIDENTS,0,0,SIKKIM,2001,0,0
0,8,4,TOTAL DROWNING,5,4,SIKKIM,2001,5,0
0,29,31,TOTAL FALLS,2,26,SIKKIM,2001,2,5
0,0,0,TOTAL FIRE,0,0,SIKKIM,2001,0,0
0,1,1,TOTAL SUDDEN DEATHS,0,1,SIKKIM,2001,0,0
0,4,5,TOTAL POISONING,1,1,SIKKIM,2001,1,4
1,226,232,ELECTROCUTION,3,206,TAMIL NADU,2001,4,26
43,684,747,GAS CYLINDER/STOVE BURST,14,116,TAMIL NADU,2001,57,631
0,1,0,FIRE-ARMS,1,0,TAMIL NADU,2001,1,0
0,645,645,SUDDEN DEATHS(HEART ATTACKS),0,553,TAMIL NADU,2001,0,92
0,89,89,EPILEPTIC FITS/GIDDINESS,0,76,TAMIL NADU,2001,0,13
0,6,6,ABORTIONS/CHILD BIRTH,0,0,TAMIL NADU,2001,0,6
0,45,61,INFLUENCE OF ALCOHOL,0,57,TAMIL NADU,2001,0,4
5,425,439,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2,285,TAMIL NADU,2001,7,154
0,447,449,SNAKE BITE/ANIMAL BITE,0,289,TAMIL NADU,2001,0,160
6,2076,2161,OTHER,12,1357,TAMIL NADU,2001,18,804
0,5,5,OTHER RAILWAY ACCIDENTS,0,4,TAMIL NADU,2001,0,1
3,942,1014,TOTAL DROWNING,5,707,TAMIL NADU,2001,8,307
10,383,394,TOTAL FALLS,13,348,TAMIL NADU,2001,23,46
59,2059,2147,TOTAL FIRE,43,655,TAMIL NADU,2001,102,1492
0,785,801,TOTAL SUDDEN DEATHS,0,686,TAMIL NADU,2001,0,115
11,2952,3149,TOTAL POISONING,14,2023,TAMIL NADU,2001,25,1126
0,9,9,ELECTROCUTION,0,6,TRIPURA,2001,0,3
0,5,5,GAS CYLINDER/STOVE BURST,0,0,TRIPURA,2001,0,5
0,0,0,FIRE-ARMS,0,0,TRIPURA,2001,0,0
0,4,4,SUDDEN DEATHS(HEART ATTACKS),0,3,TRIPURA,2001,0,1
0,0,0,EPILEPTIC FITS/GIDDINESS,0,0,TRIPURA,2001,0,0
0,2,2,ABORTIONS/CHILD BIRTH,0,0,TRIPURA,2001,0,2
0,4,4,INFLUENCE OF ALCOHOL,0,3,TRIPURA,2001,0,1
0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,TRIPURA,2001,0,0
0,0,0,SNAKE BITE/ANIMAL BITE,0,0,TRIPURA,2001,0,0
0,14,25,OTHER,0,16,TRIPURA,2001,0,9
0,0,0,OTHER RAILWAY ACCIDENTS,0,0,TRIPURA,2001,0,0
0,46,46,TOTAL DROWNING,0,28,TRIPURA,2001,0,18
0,34,34,TOTAL FALLS,0,31,TRIPURA,2001,0,3
0,15,19,TOTAL FIRE,0,8,TRIPURA,2001,0,11
0,10,10,TOTAL SUDDEN DEATHS,0,6,TRIPURA,2001,0,4
0,15,27,TOTAL POISONING,0,18,TRIPURA,2001,0,9
20,320,355,ELECTROCUTION,54,283,UTTAR PRADESH,2001,74,72
14,95,87,GAS CYLINDER/STOVE BURST,8,20,UTTAR PRADESH,2001,22,67
173,2501,1935,FIRE-ARMS,1476,1698,UTTAR PRADESH,2001,1649,237
0,123,134,SUDDEN DEATHS(HEART ATTACKS),1,111,UTTAR PRADESH,2001,1,23
0,67,73,EPILEPTIC FITS/GIDDINESS,0,58,UTTAR PRADESH,2001,0,15
0,35,35,ABORTIONS/CHILD BIRTH,0,0,UTTAR PRADESH,2001,0,35
1,121,120,INFLUENCE OF ALCOHOL,20,120,UTTAR PRADESH,2001,21,0
20,402,417,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,22,262,UTTAR PRADESH,2001,42,155
1,65,64,SNAKE BITE/ANIMAL BITE,2,24,UTTAR PRADESH,2001,3,40
10,238,251,OTHER,24,146,UTTAR PRADESH,2001,34,105
1436,1359,1382,OTHER RAILWAY ACCIDENTS,77,1154,UTTAR PRADESH,2001,1513,228
12,533,612,TOTAL DROWNING,37,445,UTTAR PRADESH,2001,49,167
5,172,201,TOTAL FALLS,17,160,UTTAR PRADESH,2001,22,41
50,823,841,TOTAL FIRE,58,262,UTTAR PRADESH,2001,108,579
1,346,362,TOTAL SUDDEN DEATHS,21,289,UTTAR PRADESH,2001,22,73
34,780,830,TOTAL POISONING,55,515,UTTAR PRADESH,2001,89,315
0,20,23,ELECTROCUTION,0,23,UTTARAKHAND,2001,0,0
15,54,52,GAS CYLINDER/STOVE BURST,7,12,UTTARAKHAND,2001,22,40
0,25,25,FIRE-ARMS,2,24,UTTARAKHAND,2001,2,1
0,37,37,SUDDEN DEATHS(HEART ATTACKS),0,35,UTTARAKHAND,2001,0,2
0,8,8,EPILEPTIC FITS/GIDDINESS,0,7,UTTARAKHAND,2001,0,1
0,2,2,ABORTIONS/CHILD BIRTH,0,0,UTTARAKHAND,2001,0,2
0,23,23,INFLUENCE OF ALCOHOL,0,23,UTTARAKHAND,2001,0,0
5,98,98,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,3,64,UTTARAKHAND,2001,8,34
0,3,3,SNAKE BITE/ANIMAL BITE,0,1,UTTARAKHAND,2001,0,2
3,40,41,OTHER,6,24,UTTARAKHAND,2001,9,17
0,8,8,OTHER RAILWAY ACCIDENTS,0,7,UTTARAKHAND,2001,0,1
6,58,63,TOTAL DROWNING,8,51,UTTARAKHAND,2001,14,12
2,40,41,TOTAL FALLS,4,36,UTTARAKHAND,2001,6,5
25,142,140,TOTAL FIRE,20,42,UTTARAKHAND,2001,45,98
0,70,70,TOTAL SUDDEN DEATHS,0,65,UTTARAKHAND,2001,0,5
8,141,142,TOTAL POISONING,9,89,UTTARAKHAND,2001,17,53
2,79,88,ELECTROCUTION,7,77,WEST BENGAL,2001,9,11
46,193,135,GAS CYLINDER/STOVE BURST,34,15,WEST BENGAL,2001,80,120
0,27,28,FIRE-ARMS,0,26,WEST BENGAL,2001,0,2
13,372,329,SUDDEN DEATHS(HEART ATTACKS),30,242,WEST BENGAL,2001,43,87
5,73,61,EPILEPTIC FITS/GIDDINESS,7,35,WEST BENGAL,2001,12,26
4,17,13,ABORTIONS/CHILD BIRTH,0,0,WEST BENGAL,2001,4,13
10,95,63,INFLUENCE OF ALCOHOL,28,59,WEST BENGAL,2001,38,4
29,109,96,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,35,44,WEST BENGAL,2001,64,52
6,434,423,SNAKE BITE/ANIMAL BITE,5,231,WEST BENGAL,2001,11,192
54,926,840,OTHER,74,448,WEST BENGAL,2001,128,392
37,2497,2448,OTHER RAILWAY ACCIDENTS,56,1933,WEST BENGAL,2001,93,515
15,415,415,TOTAL DROWNING,52,298,WEST BENGAL,2001,67,117
7,138,109,TOTAL FALLS,35,77,WEST BENGAL,2001,42,32
127,826,691,TOTAL FIRE,171,248,WEST BENGAL,2001,298,443
32,557,466,TOTAL SUDDEN DEATHS,65,336,WEST BENGAL,2001,97,130
89,1469,1359,TOTAL POISONING,114,723,WEST BENGAL,2001,203,636
0,3,3,ELECTROCUTION,0,2,A & N ISLANDS,2001,0,1
0,0,0,GAS CYLINDER/STOVE BURST,0,0,A & N ISLANDS,2001,0,0
0,0,0,FIRE-ARMS,0,0,A & N ISLANDS,2001,0,0
0,10,10,SUDDEN DEATHS(HEART ATTACKS),0,10,A & N ISLANDS,2001,0,0
0,0,0,EPILEPTIC FITS/GIDDINESS,0,0,A & N ISLANDS,2001,0,0
0,0,0,ABORTIONS/CHILD BIRTH,0,0,A & N ISLANDS,2001,0,0
0,0,0,INFLUENCE OF ALCOHOL,0,0,A & N ISLANDS,2001,0,0
0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,A & N ISLANDS,2001,0,0
0,0,0,SNAKE BITE/ANIMAL BITE,0,0,A & N ISLANDS,2001,0,0
0,1,6,OTHER,0,3,A & N ISLANDS,2001,0,3
0,0,0,OTHER RAILWAY ACCIDENTS,0,0,A & N ISLANDS,2001,0,0
0,27,28,TOTAL DROWNING,0,24,A & N ISLANDS,2001,0,4
0,5,5,TOTAL FALLS,0,5,A & N ISLANDS,2001,0,0
0,27,27,TOTAL FIRE,0,5,A & N ISLANDS,2001,0,22
0,10,10,TOTAL SUDDEN DEATHS,0,10,A & N ISLANDS,2001,0,0
0,1,6,TOTAL POISONING,0,3,A & N ISLANDS,2001,0,3
0,19,19,ELECTROCUTION,0,16,CHANDIGARH,2001,0,3
0,20,20,GAS CYLINDER/STOVE BURST,0,4,CHANDIGARH,2001,0,16
0,0,0,FIRE-ARMS,0,0,CHANDIGARH,2001,0,0
0,46,46,SUDDEN DEATHS(HEART ATTACKS),0,44,CHANDIGARH,2001,0,2
0,0,0,EPILEPTIC FITS/GIDDINESS,0,0,CHANDIGARH,2001,0,0
0,1,1,ABORTIONS/CHILD BIRTH,0,0,CHANDIGARH,2001,0,1
0,14,14,INFLUENCE OF ALCOHOL,0,14,CHANDIGARH,2001,0,0
0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,CHANDIGARH,2001,0,0
0,0,0,SNAKE BITE/ANIMAL BITE,0,0,CHANDIGARH,2001,0,0
0,48,48,OTHER,0,29,CHANDIGARH,2001,0,19
0,0,0,OTHER RAILWAY ACCIDENTS,0,0,CHANDIGARH,2001,0,0
0,9,9,TOTAL DROWNING,0,7,CHANDIGARH,2001,0,2
0,16,16,TOTAL FALLS,0,13,CHANDIGARH,2001,0,3
0,53,53,TOTAL FIRE,0,11,CHANDIGARH,2001,0,42
0,61,61,TOTAL SUDDEN DEATHS,0,58,CHANDIGARH,2001,0,3
0,48,48,TOTAL POISONING,0,29,CHANDIGARH,2001,0,19
0,2,2,ELECTROCUTION,0,1,D & N HAVELI,2001,0,1
0,11,11,GAS CYLINDER/STOVE BURST,0,1,D & N HAVELI,2001,0,10
0,0,0,FIRE-ARMS,0,0,D & N HAVELI,2001,0,0
0,4,4,SUDDEN DEATHS(HEART ATTACKS),0,2,D & N HAVELI,2001,0,2
0,2,2,EPILEPTIC FITS/GIDDINESS,0,2,D & N HAVELI,2001,0,0
0,1,1,ABORTIONS/CHILD BIRTH,0,0,D & N HAVELI,2001,0,1
0,5,5,INFLUENCE OF ALCOHOL,0,5,D & N HAVELI,2001,0,0
0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,D & N HAVELI,2001,0,0
0,5,5,SNAKE BITE/ANIMAL BITE,0,4,D & N HAVELI,2001,0,1
0,0,0,OTHER,0,0,D & N HAVELI,2001,0,0
0,0,0,OTHER RAILWAY ACCIDENTS,0,0,D & N HAVELI,2001,0,0
0,11,13,TOTAL DROWNING,0,9,D & N HAVELI,2001,0,4
0,9,9,TOTAL FALLS,0,7,D & N HAVELI,2001,0,2
0,15,15,TOTAL FIRE,0,4,D & N HAVELI,2001,0,11
0,12,12,TOTAL SUDDEN DEATHS,0,9,D & N HAVELI,2001,0,3
0,5,5,TOTAL POISONING,0,4,D & N HAVELI,2001,0,1
0,6,6,ELECTROCUTION,0,5,DAMAN & DIU,2001,0,1
0,0,0,GAS CYLINDER/STOVE BURST,0,0,DAMAN & DIU,2001,0,0
0,0,0,FIRE-ARMS,0,0,DAMAN & DIU,2001,0,0
0,0,0,SUDDEN DEATHS(HEART ATTACKS),0,0,DAMAN & DIU,2001,0,0
0,1,1,EPILEPTIC FITS/GIDDINESS,0,1,DAMAN & DIU,2001,0,0
0,0,0,ABORTIONS/CHILD BIRTH,0,0,DAMAN & DIU,2001,0,0
0,2,2,INFLUENCE OF ALCOHOL,0,2,DAMAN & DIU,2001,0,0
0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,DAMAN & DIU,2001,0,0
0,0,0,SNAKE BITE/ANIMAL BITE,0,0,DAMAN & DIU,2001,0,0
0,0,0,OTHER,0,0,DAMAN & DIU,2001,0,0
0,0,0,OTHER RAILWAY ACCIDENTS,0,0,DAMAN & DIU,2001,0,0
0,13,13,TOTAL DROWNING,0,12,DAMAN & DIU,2001,0,1
0,6,6,TOTAL FALLS,0,6,DAMAN & DIU,2001,0,0
0,15,15,TOTAL FIRE,0,0,DAMAN & DIU,2001,0,15
0,3,3,TOTAL SUDDEN DEATHS,0,3,DAMAN & DIU,2001,0,0
0,0,0,TOTAL POISONING,0,0,DAMAN & DIU,2001,0,0
0,191,186,ELECTROCUTION,7,163,DELHI(UT),2001,7,23
2,182,178,GAS CYLINDER/STOVE BURST,7,43,DELHI(UT),2001,9,135
0,50,51,FIRE-ARMS,34,35,DELHI(UT),2001,34,16
0,189,189,SUDDEN DEATHS(HEART ATTACKS),0,176,DELHI(UT),2001,0,13
0,34,35,EPILEPTIC FITS/GIDDINESS,0,30,DELHI(UT),2001,0,5
0,14,14,ABORTIONS/CHILD BIRTH,0,0,DELHI(UT),2001,0,14
0,75,75,INFLUENCE OF ALCOHOL,0,75,DELHI(UT),2001,0,0
5,107,105,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,3,68,DELHI(UT),2001,8,37
0,14,14,SNAKE BITE/ANIMAL BITE,0,12,DELHI(UT),2001,0,2
0,137,139,OTHER,1,96,DELHI(UT),2001,1,43
0,874,874,OTHER RAILWAY ACCIDENTS,0,767,DELHI(UT),2001,0,107
0,155,163,TOTAL DROWNING,0,138,DELHI(UT),2001,0,25
1,262,254,TOTAL FALLS,13,216,DELHI(UT),2001,14,38
3,534,561,TOTAL FIRE,30,182,DELHI(UT),2001,33,379
0,312,313,TOTAL SUDDEN DEATHS,0,281,DELHI(UT),2001,0,32
5,275,275,TOTAL POISONING,5,186,DELHI(UT),2001,10,89
0,0,0,ELECTROCUTION,0,0,LAKSHADWEEP,2001,0,0
0,0,0,GAS CYLINDER/STOVE BURST,0,0,LAKSHADWEEP,2001,0,0
0,0,0,FIRE-ARMS,0,0,LAKSHADWEEP,2001,0,0
0,2,2,SUDDEN DEATHS(HEART ATTACKS),0,2,LAKSHADWEEP,2001,0,0
0,0,0,EPILEPTIC FITS/GIDDINESS,0,0,LAKSHADWEEP,2001,0,0
0,0,0,ABORTIONS/CHILD BIRTH,0,0,LAKSHADWEEP,2001,0,0
0,0,0,INFLUENCE OF ALCOHOL,0,0,LAKSHADWEEP,2001,0,0
0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,LAKSHADWEEP,2001,0,0
0,0,0,SNAKE BITE/ANIMAL BITE,0,0,LAKSHADWEEP,2001,0,0
0,0,0,OTHER,0,0,LAKSHADWEEP,2001,0,0
0,0,0,OTHER RAILWAY ACCIDENTS,0,0,LAKSHADWEEP,2001,0,0
0,3,3,TOTAL DROWNING,0,3,LAKSHADWEEP,2001,0,0
0,0,0,TOTAL FALLS,0,0,LAKSHADWEEP,2001,0,0
0,0,0,TOTAL FIRE,0,0,LAKSHADWEEP,2001,0,0
0,2,2,TOTAL SUDDEN DEATHS,0,2,LAKSHADWEEP,2001,0,0
0,0,0,TOTAL POISONING,0,0,LAKSHADWEEP,2001,0,0
0,23,24,ELECTROCUTION,0,18,PUDUCHERRY,2001,0,6
0,0,0,GAS CYLINDER/STOVE BURST,0,0,PUDUCHERRY,2001,0,0
0,0,0,FIRE-ARMS,0,0,PUDUCHERRY,2001,0,0
0,84,84,SUDDEN DEATHS(HEART ATTACKS),0,70,PUDUCHERRY,2001,0,14
0,24,24,EPILEPTIC FITS/GIDDINESS,0,18,PUDUCHERRY,2001,0,6
0,2,2,ABORTIONS/CHILD BIRTH,0,0,PUDUCHERRY,2001,0,2
0,118,118,INFLUENCE OF ALCOHOL,0,117,PUDUCHERRY,2001,0,1
0,6,6,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,3,PUDUCHERRY,2001,0,3
0,15,15,SNAKE BITE/ANIMAL BITE,0,8,PUDUCHERRY,2001,0,7
0,0,0,OTHER,0,0,PUDUCHERRY,2001,0,0
0,1,1,OTHER RAILWAY ACCIDENTS,0,1,PUDUCHERRY,2001,0,0
0,66,67,TOTAL DROWNING,0,51,PUDUCHERRY,2001,0,16
0,35,35,TOTAL FALLS,0,31,PUDUCHERRY,2001,0,4
0,48,54,TOTAL FIRE,0,10,PUDUCHERRY,2001,0,44
0,228,228,TOTAL SUDDEN DEATHS,0,205,PUDUCHERRY,2001,0,23
0,21,21,TOTAL POISONING,0,11,PUDUCHERRY,2001,0,10
