TOTAL KILLED,CASES,FEMALE KILLED,CAUSE,YEAR,MALE INJURED,MALE KILLED,TOTAL INJURED,STATE/UT,FEMALE INJURED
413,409,105,OTHER,2007,0,308,0,RAJASTHAN,0
273,273,32,RAILWAY ACCIDENTS,2007,1,241,1,RAJASTHAN,0
1677,1669,546,DROWNING,2007,0,1131,0,RAJASTHAN,0
623,626,99,FALLS,2007,14,524,16,RAJASTHAN,2
733,711,441,FIRE,2007,14,292,20,RAJASTHAN,6
765,751,99,SUDDEN DEATHS,2007,0,666,0,RAJASTHAN,0
1740,1728,516,POISONING,2007,0,1224,0,RAJASTHAN,0
5,5,0,ELECTROCUTION,2007,0,5,0,SIKKIM,0
0,0,0,GAS CYLINDER/STOVE BURST,2007,0,0,0,SIKKIM,0
0,0,0,FIRE-ARMS,2007,0,0,0,SIKKIM,0
0,0,0,SUDDEN DEATHS(HEART ATTACKS),2007,0,0,0,SIKKIM,0
1,1,0,EPILEPTIC FITS/GIDDINESS,2007,0,1,0,SIKKIM,0
0,0,0,ABORTIONS/CHILD BIRTH,2007,0,0,0,SIKKIM,0
1,1,0,INFLUENCE OF ALCOHOL,2007,0,1,0,SIKKIM,0
5,5,3,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,0,2,0,SIKKIM,0
0,0,0,SNAKE BITE/ANIMAL BITE,2007,0,0,0,SIKKIM,0
1,1,1,OTHER,2007,0,0,0,SIKKIM,0
0,0,0,RAILWAY ACCIDENTS,2007,0,0,0,SIKKIM,0
0,0,0,DROWNING,2007,0,0,0,SIKKIM,0
1,1,0,FALLS,2007,0,1,0,SIKKIM,0
0,0,0,FIRE,2007,0,0,0,SIKKIM,0
2,2,0,SUDDEN DEATHS,2007,0,2,0,SIKKIM,0
6,6,4,POISONING,2007,0,2,0,SIKKIM,0
413,287,73,ELECTROCUTION,2007,40,340,50,TAMIL NADU,10
582,413,506,GAS CYLINDER/STOVE BURST,2007,8,76,66,TAMIL NADU,58
68,54,27,FIRE-ARMS,2007,0,41,2,TAMIL NADU,2
729,510,128,SUDDEN DEATHS(HEART ATTACKS),2007,24,601,40,TAMIL NADU,16
84,66,18,EPILEPTIC FITS/GIDDINESS,2007,1,66,1,TAMIL NADU,0
6,6,6,ABORTIONS/CHILD BIRTH,2007,0,0,2,TAMIL NADU,2
93,66,5,INFLUENCE OF ALCOHOL,2007,0,88,3,TAMIL NADU,3
413,269,158,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,1,255,2,TAMIL NADU,1
579,419,209,SNAKE BITE/ANIMAL BITE,2007,19,370,37,TAMIL NADU,18
1498,1087,659,OTHER,2007,111,839,176,TAMIL NADU,65
1572,2454,251,RAILWAY ACCIDENTS,2007,0,1321,0,TAMIL NADU,0
1340,919,288,DROWNING,2007,58,1052,79,TAMIL NADU,21
505,368,68,FALLS,2007,21,437,24,TAMIL NADU,3
1881,1301,1381,FIRE,2007,55,500,210,TAMIL NADU,155
912,648,157,SUDDEN DEATHS,2007,25,755,46,TAMIL NADU,21
2646,1891,1063,POISONING,2007,163,1583,266,TAMIL NADU,103
50,49,6,ELECTROCUTION,2007,0,44,0,TRIPURA,0
0,0,0,GAS CYLINDER/STOVE BURST,2007,0,0,0,TRIPURA,0
0,0,0,FIRE-ARMS,2007,0,0,0,TRIPURA,0
86,86,25,SUDDEN DEATHS(HEART ATTACKS),2007,0,61,0,TRIPURA,0
1,1,1,EPILEPTIC FITS/GIDDINESS,2007,0,0,0,TRIPURA,0
5,5,5,ABORTIONS/CHILD BIRTH,2007,0,0,0,TRIPURA,0
12,12,0,INFLUENCE OF ALCOHOL,2007,0,12,0,TRIPURA,0
0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,0,0,0,TRIPURA,0
1,1,0,SNAKE BITE/ANIMAL BITE,2007,0,1,0,TRIPURA,0
0,0,0,OTHER,2007,0,0,0,TRIPURA,0
0,0,0,RAILWAY ACCIDENTS,2007,0,0,0,TRIPURA,0
81,81,20,DROWNING,2007,0,61,0,TRIPURA,0
3,3,0,FALLS,2007,0,3,0,TRIPURA,0
54,54,16,FIRE,2007,0,38,0,TRIPURA,0
104,104,31,SUDDEN DEATHS,2007,0,73,0,TRIPURA,0
1,1,0,POISONING,2007,0,1,0,TRIPURA,0
532,521,78,ELECTROCUTION,2007,76,454,89,UTTAR PRADESH,13
108,115,74,GAS CYLINDER/STOVE BURST,2007,9,34,30,UTTAR PRADESH,21
1289,1614,199,FIRE-ARMS,2007,624,1090,782,UTTAR PRADESH,158
269,241,48,SUDDEN DEATHS(HEART ATTACKS),2007,17,221,20,UTTAR PRADESH,3
61,71,13,EPILEPTIC FITS/GIDDINESS,2007,6,48,9,UTTAR PRADESH,3
55,47,55,ABORTIONS/CHILD BIRTH,2007,0,0,3,UTTAR PRADESH,3
162,175,4,INFLUENCE OF ALCOHOL,2007,27,158,27,UTTAR PRADESH,0
574,512,272,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,25,302,44,UTTAR PRADESH,19
116,123,35,SNAKE BITE/ANIMAL BITE,2007,12,81,16,UTTAR PRADESH,4
209,236,60,OTHER,2007,16,149,26,UTTAR PRADESH,10
2522,2585,421,RAILWAY ACCIDENTS,2007,144,2101,196,UTTAR PRADESH,52
868,1415,194,DROWNING,2007,91,674,111,UTTAR PRADESH,20
312,294,57,FALLS,2007,56,255,65,UTTAR PRADESH,9
959,964,642,FIRE,2007,94,317,180,UTTAR PRADESH,86
547,534,120,SUDDEN DEATHS,2007,50,427,59,UTTAR PRADESH,9
958,937,371,POISONING,2007,69,587,103,UTTAR PRADESH,34
36,37,3,ELECTROCUTION,2007,1,33,1,UTTARAKHAND,0
10,10,8,GAS CYLINDER/STOVE BURST,2007,0,2,0,UTTARAKHAND,0
5,5,3,FIRE-ARMS,2007,0,2,0,UTTARAKHAND,0
65,65,11,SUDDEN DEATHS(HEART ATTACKS),2007,0,54,0,UTTARAKHAND,0
5,5,1,EPILEPTIC FITS/GIDDINESS,2007,0,4,0,UTTARAKHAND,0
5,5,5,ABORTIONS/CHILD BIRTH,2007,0,0,0,UTTARAKHAND,0
24,26,0,INFLUENCE OF ALCOHOL,2007,2,24,2,UTTARAKHAND,0
89,96,24,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,7,65,11,UTTARAKHAND,4
3,3,1,SNAKE BITE/ANIMAL BITE,2007,0,2,0,UTTARAKHAND,0
16,16,5,OTHER,2007,0,11,0,UTTARAKHAND,0
48,48,5,RAILWAY ACCIDENTS,2007,0,43,0,UTTARAKHAND,0
134,163,23,DROWNING,2007,25,111,30,UTTARAKHAND,5
71,73,14,FALLS,2007,2,57,4,UTTARAKHAND,2
73,55,34,FIRE,2007,2,39,3,UTTARAKHAND,1
99,101,17,SUDDEN DEATHS,2007,2,82,2,UTTARAKHAND,0
115,122,34,POISONING,2007,7,81,11,UTTARAKHAND,4
126,134,21,ELECTROCUTION,2007,22,105,26,WEST BENGAL,4
51,65,45,GAS CYLINDER/STOVE BURST,2007,9,6,38,WEST BENGAL,29
29,37,2,FIRE-ARMS,2007,18,27,23,WEST BENGAL,5
645,835,228,SUDDEN DEATHS(HEART ATTACKS),2007,198,417,317,WEST BENGAL,119
26,26,5,EPILEPTIC FITS/GIDDINESS,2007,0,21,0,WEST BENGAL,0
30,32,30,ABORTIONS/CHILD BIRTH,2007,0,0,2,WEST BENGAL,2
81,157,0,INFLUENCE OF ALCOHOL,2007,76,81,76,WEST BENGAL,0
110,122,56,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,32,54,54,WEST BENGAL,22
206,328,80,SNAKE BITE/ANIMAL BITE,2007,86,126,145,WEST BENGAL,59
832,889,385,OTHER,2007,79,447,111,WEST BENGAL,32
1847,1842,366,RAILWAY ACCIDENTS,2007,7,1481,9,WEST BENGAL,2
447,477,141,DROWNING,2007,77,306,106,WEST BENGAL,29
157,172,47,FALLS,2007,17,110,22,WEST BENGAL,5
433,587,317,FIRE,2007,119,116,200,WEST BENGAL,81
782,1050,263,SUDDEN DEATHS,2007,274,519,395,WEST BENGAL,121
1476,1730,666,POISONING,2007,265,810,405,WEST BENGAL,140
9,9,1,ELECTROCUTION,2007,0,8,0,A & N ISLANDS,0
16,16,13,GAS CYLINDER/STOVE BURST,2007,0,3,0,A & N ISLANDS,0
0,0,0,FIRE-ARMS,2007,0,0,0,A & N ISLANDS,0
28,28,5,SUDDEN DEATHS(HEART ATTACKS),2007,0,23,0,A & N ISLANDS,0
0,0,0,EPILEPTIC FITS/GIDDINESS,2007,0,0,0,A & N ISLANDS,0
0,0,0,ABORTIONS/CHILD BIRTH,2007,0,0,0,A & N ISLANDS,0
8,8,0,INFLUENCE OF ALCOHOL,2007,0,8,0,A & N ISLANDS,0
0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,0,0,0,A & N ISLANDS,0
0,0,0,SNAKE BITE/ANIMAL BITE,2007,0,0,0,A & N ISLANDS,0
1,1,0,OTHER,2007,0,1,0,A & N ISLANDS,0
0,0,0,RAILWAY ACCIDENTS,2007,0,0,0,A & N ISLANDS,0
26,26,1,DROWNING,2007,0,25,0,A & N ISLANDS,0
12,12,2,FALLS,2007,0,10,0,A & N ISLANDS,0
16,16,13,FIRE,2007,0,3,0,A & N ISLANDS,0
36,36,5,SUDDEN DEATHS,2007,0,31,0,A & N ISLANDS,0
1,1,0,POISONING,2007,0,1,0,A & N ISLANDS,0
4,4,1,ELECTROCUTION,2007,0,3,0,CHANDIGARH,0
0,0,0,GAS CYLINDER/STOVE BURST,2007,0,0,0,CHANDIGARH,0
2,2,0,FIRE-ARMS,2007,0,2,0,CHANDIGARH,0
59,59,12,SUDDEN DEATHS(HEART ATTACKS),2007,0,47,0,CHANDIGARH,0
0,0,0,EPILEPTIC FITS/GIDDINESS,2007,0,0,0,CHANDIGARH,0
0,0,0,ABORTIONS/CHILD BIRTH,2007,0,0,0,CHANDIGARH,0
1,1,0,INFLUENCE OF ALCOHOL,2007,0,1,0,CHANDIGARH,0
3,3,2,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,0,1,0,CHANDIGARH,0
1,1,1,SNAKE BITE/ANIMAL BITE,2007,0,0,0,CHANDIGARH,0
5,5,2,OTHER,2007,0,3,0,CHANDIGARH,0
0,0,0,RAILWAY ACCIDENTS,2007,0,0,0,CHANDIGARH,0
5,5,1,DROWNING,2007,0,4,0,CHANDIGARH,0
15,15,3,FALLS,2007,0,12,0,CHANDIGARH,0
17,17,12,FIRE,2007,0,5,0,CHANDIGARH,0
60,60,12,SUDDEN DEATHS,2007,0,48,0,CHANDIGARH,0
9,9,5,POISONING,2007,0,4,0,CHANDIGARH,0
10,10,0,ELECTROCUTION,2007,0,10,0,D & N HAVELI,0
14,14,8,GAS CYLINDER/STOVE BURST,2007,0,6,0,D & N HAVELI,0
0,0,0,FIRE-ARMS,2007,0,0,0,D & N HAVELI,0
20,20,0,SUDDEN DEATHS(HEART ATTACKS),2007,0,20,0,D & N HAVELI,0
2,2,0,EPILEPTIC FITS/GIDDINESS,2007,0,2,0,D & N HAVELI,0
1,1,1,ABORTIONS/CHILD BIRTH,2007,0,0,0,D & N HAVELI,0
11,11,1,INFLUENCE OF ALCOHOL,2007,0,10,0,D & N HAVELI,0
0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,0,0,0,D & N HAVELI,0
2,2,1,SNAKE BITE/ANIMAL BITE,2007,0,1,0,D & N HAVELI,0
0,0,0,OTHER,2007,0,0,0,D & N HAVELI,0
0,0,0,RAILWAY ACCIDENTS,2007,0,0,0,D & N HAVELI,0
19,19,4,DROWNING,2007,0,15,0,D & N HAVELI,0
26,24,6,FALLS,2007,0,20,0,D & N HAVELI,0
18,18,12,FIRE,2007,0,6,0,D & N HAVELI,0
34,34,2,SUDDEN DEATHS,2007,0,32,0,D & N HAVELI,0
2,2,1,POISONING,2007,0,1,0,D & N HAVELI,0
4,4,1,ELECTROCUTION,2007,0,3,0,DAMAN & DIU,0
1,1,1,GAS CYLINDER/STOVE BURST,2007,0,0,0,DAMAN & DIU,0
0,0,0,FIRE-ARMS,2007,0,0,0,DAMAN & DIU,0
6,6,0,SUDDEN DEATHS(HEART ATTACKS),2007,0,6,0,DAMAN & DIU,0
3,3,0,EPILEPTIC FITS/GIDDINESS,2007,0,3,0,DAMAN & DIU,0
0,0,0,ABORTIONS/CHILD BIRTH,2007,0,0,0,DAMAN & DIU,0
3,3,0,INFLUENCE OF ALCOHOL,2007,0,3,0,DAMAN & DIU,0
0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,0,0,0,DAMAN & DIU,0
0,0,0,SNAKE BITE/ANIMAL BITE,2007,0,0,0,DAMAN & DIU,0
1,1,0,OTHER,2007,0,1,0,DAMAN & DIU,0
0,0,0,RAILWAY ACCIDENTS,2007,0,0,0,DAMAN & DIU,0
23,23,1,DROWNING,2007,0,22,0,DAMAN & DIU,0
10,10,1,FALLS,2007,0,9,0,DAMAN & DIU,0
9,9,6,FIRE,2007,0,3,0,DAMAN & DIU,0
12,12,0,SUDDEN DEATHS,2007,0,12,0,DAMAN & DIU,0
2,2,0,POISONING,2007,0,2,0,DAMAN & DIU,0
120,127,18,ELECTROCUTION,2007,16,102,17,DELHI(UT),1
95,76,56,GAS CYLINDER/STOVE BURST,2007,14,39,20,DELHI(UT),6
21,39,2,FIRE-ARMS,2007,18,19,21,DELHI(UT),3
191,163,20,SUDDEN DEATHS(HEART ATTACKS),2007,10,171,11,DELHI(UT),1
11,10,1,EPILEPTIC FITS/GIDDINESS,2007,2,10,2,DELHI(UT),0
19,19,19,ABORTIONS/CHILD BIRTH,2007,0,0,0,DELHI(UT),0
109,95,0,INFLUENCE OF ALCOHOL,2007,0,109,0,DELHI(UT),0
70,70,28,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,0,42,0,DELHI(UT),0
14,13,1,SNAKE BITE/ANIMAL BITE,2007,0,13,0,DELHI(UT),0
191,173,63,OTHER,2007,0,128,0,DELHI(UT),0
864,905,112,RAILWAY ACCIDENTS,2007,884,752,902,DELHI(UT),18
179,167,14,DROWNING,2007,3,165,3,DELHI(UT),0
359,337,64,FALLS,2007,31,295,39,DELHI(UT),8
362,353,193,FIRE,2007,46,169,56,DELHI(UT),10
330,287,40,SUDDEN DEATHS,2007,12,290,13,DELHI(UT),1
297,275,98,POISONING,2007,0,199,0,DELHI(UT),0
0,0,0,ELECTROCUTION,2007,0,0,0,LAKSHADWEEP,0
0,0,0,GAS CYLINDER/STOVE BURST,2007,0,0,0,LAKSHADWEEP,0
0,0,0,FIRE-ARMS,2007,0,0,0,LAKSHADWEEP,0
1,1,0,SUDDEN DEATHS(HEART ATTACKS),2007,0,1,0,LAKSHADWEEP,0
0,0,0,EPILEPTIC FITS/GIDDINESS,2007,0,0,0,LAKSHADWEEP,0
0,0,0,ABORTIONS/CHILD BIRTH,2007,0,0,0,LAKSHADWEEP,0
0,0,0,INFLUENCE OF ALCOHOL,2007,0,0,0,LAKSHADWEEP,0
0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,0,0,0,LAKSHADWEEP,0
0,0,0,SNAKE BITE/ANIMAL BITE,2007,0,0,0,LAKSHADWEEP,0
0,0,0,OTHER,2007,0,0,0,LAKSHADWEEP,0
0,0,0,RAILWAY ACCIDENTS,2007,0,0,0,LAKSHADWEEP,0
0,0,0,DROWNING,2007,0,0,0,LAKSHADWEEP,0
0,0,0,FALLS,2007,0,0,0,LAKSHADWEEP,0
0,0,0,FIRE,2007,0,0,0,LAKSHADWEEP,0
1,1,0,SUDDEN DEATHS,2007,0,1,0,LAKSHADWEEP,0
0,0,0,POISONING,2007,0,0,0,LAKSHADWEEP,0
26,26,2,ELECTROCUTION,2007,2,24,2,PUDUCHERRY,0
0,0,0,GAS CYLINDER/STOVE BURST,2007,0,0,0,PUDUCHERRY,0
0,0,0,FIRE-ARMS,2007,0,0,0,PUDUCHERRY,0
53,53,2,SUDDEN DEATHS(HEART ATTACKS),2007,0,51,0,PUDUCHERRY,0
201,201,29,EPILEPTIC FITS/GIDDINESS,2007,0,172,0,PUDUCHERRY,0
0,0,0,ABORTIONS/CHILD BIRTH,2007,0,0,0,PUDUCHERRY,0
218,218,4,INFLUENCE OF ALCOHOL,2007,0,214,0,PUDUCHERRY,0
5,5,2,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,0,3,0,PUDUCHERRY,0
20,20,8,SNAKE BITE/ANIMAL BITE,2007,0,12,0,PUDUCHERRY,0
0,0,0,OTHER,2007,0,0,0,PUDUCHERRY,0
6,6,0,RAILWAY ACCIDENTS,2007,0,6,0,PUDUCHERRY,0
88,87,6,DROWNING,2007,0,82,0,PUDUCHERRY,0
67,72,9,FALLS,2007,5,58,5,PUDUCHERRY,0
38,37,27,FIRE,2007,0,11,0,PUDUCHERRY,0
472,472,35,SUDDEN DEATHS,2007,0,437,0,PUDUCHERRY,0
27,26,10,POISONING,2007,0,17,0,PUDUCHERRY,0
