MALE KILLED,CASES,YEAR,MALE INJURED,TOTAL KILLED,STATE/UT,FEMALE KILLED,CAUSE,FEMALE INJURED,TOTAL INJURED
756,860,2008,0,860,PUNJAB,104,OTHER RAILWAY ACCIDENTS,0,0
487,518,2008,0,557,PUNJAB,70,TOTAL DROWNING,0,0
176,159,2008,0,182,PUNJAB,6,TOTAL FALLS,0,0
175,370,2008,0,385,PUNJAB,210,TOTAL FIRE,0,0
704,708,2008,0,762,PUNJAB,58,TOTAL SUDDEN DEATHS,0,0
582,689,2008,0,774,PUNJAB,192,TOTAL POISONING,0,0
545,593,2008,18,598,RAJASTHAN,53,ELECTROCUTION,3,21
41,120,2008,2,118,RAJASTHAN,77,GAS CYLINDER/STOVE BURST,1,3
3,3,2008,0,3,RAJASTHAN,0,FIRE-ARMS,0,0
417,506,2008,4,500,RAJASTHAN,83,SUDDEN DEATHS(HEART ATTACKS),2,6
45,58,2008,0,58,RAJASTHAN,13,EPILEPTIC FITS/GIDDINESS,0,0
0,22,2008,0,22,RAJASTHAN,22,ABORTIONS/CHILD BIRTH,0,0
204,202,2008,0,204,RAJASTHAN,0,INFLUENCE OF ALCOHOL,0,0
578,800,2008,1,805,RAJASTHAN,227,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,1
191,298,2008,4,298,RAJASTHAN,107,SNAKE BITE/ANIMAL BITE,1,5
413,556,2008,0,561,RAJASTHAN,148,OTHER,0,0
284,324,2008,0,325,RAJASTHAN,41,OTHER RAILWAY ACCIDENTS,0,0
1042,1362,2008,3,1403,RAJASTHAN,361,TOTAL DROWNING,3,6
493,576,2008,2,574,RAJASTHAN,81,TOTAL FALLS,0,2
314,747,2008,15,750,RAJASTHAN,436,TOTAL FIRE,11,26
666,788,2008,4,784,RAJASTHAN,118,TOTAL SUDDEN DEATHS,2,6
1211,1661,2008,5,1693,RAJASTHAN,482,TOTAL POISONING,1,6
1,1,2008,0,1,SIKKIM,0,ELECTROCUTION,0,0
0,0,2008,0,0,SIKKIM,0,GAS CYLINDER/STOVE BURST,0,0
0,0,2008,0,0,SIKKIM,0,FIRE-ARMS,0,0
1,1,2008,0,1,SIKKIM,0,SUDDEN DEATHS(HEART ATTACKS),0,0
0,0,2008,0,0,SIKKIM,0,EPILEPTIC FITS/GIDDINESS,0,0
0,0,2008,0,0,SIKKIM,0,ABORTIONS/CHILD BIRTH,0,0
3,3,2008,0,3,SIKKIM,0,INFLUENCE OF ALCOHOL,0,0
2,4,2008,0,4,SIKKIM,2,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0
0,0,2008,0,0,SIKKIM,0,SNAKE BITE/ANIMAL BITE,0,0
0,0,2008,0,0,SIKKIM,0,OTHER,0,0
0,0,2008,0,0,SIKKIM,0,OTHER RAILWAY ACCIDENTS,0,0
3,6,2008,0,6,SIKKIM,3,TOTAL DROWNING,0,0
5,9,2008,0,9,SIKKIM,4,TOTAL FALLS,0,0
2,6,2008,0,6,SIKKIM,4,TOTAL FIRE,0,0
4,4,2008,0,4,SIKKIM,0,TOTAL SUDDEN DEATHS,0,0
2,4,2008,0,4,SIKKIM,2,TOTAL POISONING,0,0
285,266,2008,42,354,TAMIL NADU,69,ELECTROCUTION,13,55
75,413,2008,8,571,TAMIL NADU,496,GAS CYLINDER/STOVE BURST,58,66
0,0,2008,0,0,TAMIL NADU,0,FIRE-ARMS,0,0
485,510,2008,0,510,TAMIL NADU,25,SUDDEN DEATHS(HEART ATTACKS),0,0
55,66,2008,1,65,TAMIL NADU,10,EPILEPTIC FITS/GIDDINESS,0,1
0,6,2008,0,6,TAMIL NADU,6,ABORTIONS/CHILD BIRTH,0,0
66,66,2008,0,66,TAMIL NADU,0,INFLUENCE OF ALCOHOL,0,0
235,269,2008,0,269,TAMIL NADU,34,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0
319,419,2008,0,419,TAMIL NADU,100,SNAKE BITE/ANIMAL BITE,0,0
847,1087,2008,0,1087,TAMIL NADU,240,OTHER,0,0
1400,1572,2008,0,1662,TAMIL NADU,262,OTHER RAILWAY ACCIDENTS,0,0
1030,922,2008,66,1359,TAMIL NADU,329,TOTAL DROWNING,19,85
320,368,2008,23,339,TAMIL NADU,19,TOTAL FALLS,6,29
535,1301,2008,56,1919,TAMIL NADU,1384,TOTAL FIRE,151,207
606,648,2008,1,647,TAMIL NADU,41,TOTAL SUDDEN DEATHS,0,1
1507,1891,2008,0,1891,TAMIL NADU,384,TOTAL POISONING,0,0
28,33,2008,0,33,TRIPURA,5,ELECTROCUTION,0,0
0,0,2008,0,0,TRIPURA,0,GAS CYLINDER/STOVE BURST,0,0
1,1,2008,0,1,TRIPURA,0,FIRE-ARMS,0,0
41,56,2008,0,56,TRIPURA,15,SUDDEN DEATHS(HEART ATTACKS),0,0
2,3,2008,0,3,TRIPURA,1,EPILEPTIC FITS/GIDDINESS,0,0
0,0,2008,0,0,TRIPURA,0,ABORTIONS/CHILD BIRTH,0,0
8,10,2008,0,10,TRIPURA,2,INFLUENCE OF ALCOHOL,0,0
1,2,2008,0,2,TRIPURA,1,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0
0,0,2008,0,0,TRIPURA,0,SNAKE BITE/ANIMAL BITE,0,0
0,0,2008,0,0,TRIPURA,0,OTHER,0,0
0,0,2008,0,0,TRIPURA,0,OTHER RAILWAY ACCIDENTS,0,0
33,47,2008,0,48,TRIPURA,15,TOTAL DROWNING,0,0
14,16,2008,0,16,TRIPURA,2,TOTAL FALLS,0,0
10,19,2008,0,19,TRIPURA,9,TOTAL FIRE,0,0
51,69,2008,0,69,TRIPURA,18,TOTAL SUDDEN DEATHS,0,0
2,3,2008,0,3,TRIPURA,1,TOTAL POISONING,0,0
485,578,2008,62,556,UTTAR PRADESH,71,ELECTROCUTION,5,67
26,145,2008,16,157,UTTAR PRADESH,131,GAS CYLINDER/STOVE BURST,20,36
1061,1489,2008,537,1197,UTTAR PRADESH,136,FIRE-ARMS,87,624
243,315,2008,7,303,UTTAR PRADESH,60,SUDDEN DEATHS(HEART ATTACKS),4,11
52,66,2008,5,67,UTTAR PRADESH,15,EPILEPTIC FITS/GIDDINESS,2,7
0,91,2008,0,91,UTTAR PRADESH,91,ABORTIONS/CHILD BIRTH,0,0
177,174,2008,15,178,UTTAR PRADESH,1,INFLUENCE OF ALCOHOL,0,15
308,472,2008,28,522,UTTAR PRADESH,214,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,16,44
77,104,2008,7,100,UTTAR PRADESH,23,SNAKE BITE/ANIMAL BITE,4,11
184,259,2008,33,255,UTTAR PRADESH,71,OTHER,13,46
2431,3027,2008,156,2897,UTTAR PRADESH,466,OTHER RAILWAY ACCIDENTS,51,207
977,1224,2008,71,1328,UTTAR PRADESH,351,TOTAL DROWNING,23,94
309,377,2008,25,369,UTTAR PRADESH,60,TOTAL FALLS,5,30
396,1092,2008,75,1127,UTTAR PRADESH,731,TOTAL FIRE,60,135
472,646,2008,27,639,UTTAR PRADESH,167,TOTAL SUDDEN DEATHS,6,33
646,916,2008,79,965,UTTAR PRADESH,319,TOTAL POISONING,33,112
26,33,2008,1,32,UTTARAKHAND,6,ELECTROCUTION,1,2
0,13,2008,0,13,UTTARAKHAND,13,GAS CYLINDER/STOVE BURST,1,1
14,6,2008,2,17,UTTARAKHAND,3,FIRE-ARMS,0,2
77,85,2008,1,85,UTTARAKHAND,8,SUDDEN DEATHS(HEART ATTACKS),0,1
9,9,2008,0,9,UTTARAKHAND,0,EPILEPTIC FITS/GIDDINESS,0,0
0,5,2008,0,5,UTTARAKHAND,5,ABORTIONS/CHILD BIRTH,0,0
47,44,2008,0,47,UTTARAKHAND,0,INFLUENCE OF ALCOHOL,0,0
102,152,2008,0,174,UTTARAKHAND,72,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0
3,3,2008,0,3,UTTARAKHAND,0,SNAKE BITE/ANIMAL BITE,0,0
6,6,2008,0,6,UTTARAKHAND,0,OTHER,0,0
22,24,2008,0,24,UTTARAKHAND,2,OTHER RAILWAY ACCIDENTS,0,0
162,181,2008,0,197,UTTARAKHAND,35,TOTAL DROWNING,0,0
66,82,2008,2,82,UTTARAKHAND,16,TOTAL FALLS,5,7
32,75,2008,2,77,UTTARAKHAND,45,TOTAL FIRE,2,4
133,143,2008,1,146,UTTARAKHAND,13,TOTAL SUDDEN DEATHS,0,1
111,161,2008,0,183,UTTARAKHAND,72,TOTAL POISONING,0,0
46,75,2008,21,57,WEST BENGAL,11,ELECTROCUTION,3,24
1,45,2008,11,16,WEST BENGAL,15,GAS CYLINDER/STOVE BURST,16,27
37,54,2008,29,40,WEST BENGAL,3,FIRE-ARMS,3,32
359,779,2008,138,577,WEST BENGAL,218,SUDDEN DEATHS(HEART ATTACKS),66,204
0,6,2008,0,6,WEST BENGAL,6,EPILEPTIC FITS/GIDDINESS,0,0
0,28,2008,0,27,WEST BENGAL,27,ABORTIONS/CHILD BIRTH,1,1
58,128,2008,74,78,WEST BENGAL,20,INFLUENCE OF ALCOHOL,0,74
30,70,2008,15,50,WEST BENGAL,20,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,14,29
126,322,2008,85,202,WEST BENGAL,76,SNAKE BITE/ANIMAL BITE,57,142
414,846,2008,50,802,WEST BENGAL,388,OTHER,33,83
1507,1890,2008,0,1890,WEST BENGAL,383,OTHER RAILWAY ACCIDENTS,0,0
401,546,2008,62,560,WEST BENGAL,159,TOTAL DROWNING,24,86
77,105,2008,21,107,WEST BENGAL,30,TOTAL FALLS,8,29
130,714,2008,129,543,WEST BENGAL,413,TOTAL FIRE,56,185
417,941,2008,212,688,WEST BENGAL,271,TOTAL SUDDEN DEATHS,67,279
763,1633,2008,215,1405,WEST BENGAL,642,TOTAL POISONING,136,351
0,1,2008,0,1,A & N ISLANDS,1,ELECTROCUTION,0,0
2,12,2008,0,12,A & N ISLANDS,10,GAS CYLINDER/STOVE BURST,0,0
0,0,2008,0,0,A & N ISLANDS,0,FIRE-ARMS,0,0
15,17,2008,0,17,A & N ISLANDS,2,SUDDEN DEATHS(HEART ATTACKS),0,0
0,0,2008,0,0,A & N ISLANDS,0,EPILEPTIC FITS/GIDDINESS,0,0
0,0,2008,0,0,A & N ISLANDS,0,ABORTIONS/CHILD BIRTH,0,0
0,0,2008,0,0,A & N ISLANDS,0,INFLUENCE OF ALCOHOL,0,0
0,0,2008,0,0,A & N ISLANDS,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0
0,0,2008,0,0,A & N ISLANDS,0,SNAKE BITE/ANIMAL BITE,0,0
13,7,2008,0,15,A & N ISLANDS,2,OTHER,0,0
0,0,2008,0,0,A & N ISLANDS,0,OTHER RAILWAY ACCIDENTS,0,0
26,26,2008,0,26,A & N ISLANDS,0,TOTAL DROWNING,0,0
25,26,2008,0,26,A & N ISLANDS,1,TOTAL FALLS,0,0
2,12,2008,0,12,A & N ISLANDS,10,TOTAL FIRE,0,0
15,17,2008,0,17,A & N ISLANDS,2,TOTAL SUDDEN DEATHS,0,0
13,7,2008,0,15,A & N ISLANDS,2,TOTAL POISONING,0,0
7,9,2008,0,9,CHANDIGARH,2,ELECTROCUTION,0,0
2,10,2008,0,10,CHANDIGARH,8,GAS CYLINDER/STOVE BURST,0,0
2,2,2008,0,2,CHANDIGARH,0,FIRE-ARMS,0,0
25,26,2008,0,26,CHANDIGARH,1,SUDDEN DEATHS(HEART ATTACKS),0,0
3,3,2008,0,3,CHANDIGARH,0,EPILEPTIC FITS/GIDDINESS,0,0
0,0,2008,0,0,CHANDIGARH,0,ABORTIONS/CHILD BIRTH,0,0
23,23,2008,0,23,CHANDIGARH,0,INFLUENCE OF ALCOHOL,0,0
4,7,2008,0,7,CHANDIGARH,3,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0
1,1,2008,0,1,CHANDIGARH,0,SNAKE BITE/ANIMAL BITE,0,0
1,1,2008,0,1,CHANDIGARH,0,OTHER,0,0
0,0,2008,0,0,CHANDIGARH,0,OTHER RAILWAY ACCIDENTS,0,0
7,8,2008,0,8,CHANDIGARH,1,TOTAL DROWNING,0,0
21,22,2008,0,22,CHANDIGARH,1,TOTAL FALLS,0,0
6,20,2008,0,20,CHANDIGARH,14,TOTAL FIRE,0,0
51,52,2008,0,52,CHANDIGARH,1,TOTAL SUDDEN DEATHS,0,0
6,9,2008,0,9,CHANDIGARH,3,TOTAL POISONING,0,0
10,10,2008,0,10,D & N HAVELI,0,ELECTROCUTION,0,0
0,0,2008,0,0,D & N HAVELI,0,GAS CYLINDER/STOVE BURST,0,0
0,0,2008,0,0,D & N HAVELI,0,FIRE-ARMS,0,0
11,13,2008,0,13,D & N HAVELI,2,SUDDEN DEATHS(HEART ATTACKS),0,0
2,2,2008,0,2,D & N HAVELI,0,EPILEPTIC FITS/GIDDINESS,0,0
0,3,2008,0,3,D & N HAVELI,3,ABORTIONS/CHILD BIRTH,0,0
10,10,2008,0,10,D & N HAVELI,0,INFLUENCE OF ALCOHOL,0,0
0,0,2008,0,0,D & N HAVELI,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0
3,3,2008,0,3,D & N HAVELI,0,SNAKE BITE/ANIMAL BITE,0,0
0,0,2008,0,0,D & N HAVELI,0,OTHER,0,0
0,0,2008,0,0,D & N HAVELI,0,OTHER RAILWAY ACCIDENTS,0,0
20,21,2008,0,21,D & N HAVELI,1,TOTAL DROWNING,0,0
16,21,2008,2,19,D & N HAVELI,3,TOTAL FALLS,0,2
2,11,2008,0,11,D & N HAVELI,9,TOTAL FIRE,0,0
23,28,2008,0,28,D & N HAVELI,5,TOTAL SUDDEN DEATHS,0,0
3,3,2008,0,3,D & N HAVELI,0,TOTAL POISONING,0,0
3,2,2008,0,3,DAMAN & DIU,0,ELECTROCUTION,0,0
1,1,2008,7,1,DAMAN & DIU,0,GAS CYLINDER/STOVE BURST,0,7
0,0,2008,0,0,DAMAN & DIU,0,FIRE-ARMS,0,0
6,7,2008,0,7,DAMAN & DIU,1,SUDDEN DEATHS(HEART ATTACKS),0,0
4,4,2008,0,4,DAMAN & DIU,0,EPILEPTIC FITS/GIDDINESS,0,0
0,0,2008,0,0,DAMAN & DIU,0,ABORTIONS/CHILD BIRTH,0,0
0,0,2008,0,0,DAMAN & DIU,0,INFLUENCE OF ALCOHOL,0,0
0,0,2008,0,0,DAMAN & DIU,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0
0,0,2008,0,0,DAMAN & DIU,0,SNAKE BITE/ANIMAL BITE,0,0
0,0,2008,0,0,DAMAN & DIU,0,OTHER,0,0
0,0,2008,0,0,DAMAN & DIU,0,OTHER RAILWAY ACCIDENTS,0,0
11,8,2008,0,12,DAMAN & DIU,1,TOTAL DROWNING,0,0
4,4,2008,0,4,DAMAN & DIU,0,TOTAL FALLS,0,0
3,6,2008,7,6,DAMAN & DIU,3,TOTAL FIRE,0,7
10,11,2008,0,11,DAMAN & DIU,1,TOTAL SUDDEN DEATHS,0,0
0,0,2008,0,0,DAMAN & DIU,0,TOTAL POISONING,0,0
150,184,2008,11,184,DELHI(UT),34,ELECTROCUTION,0,11
19,77,2008,12,81,DELHI(UT),62,GAS CYLINDER/STOVE BURST,0,12
29,55,2008,25,35,DELHI(UT),6,FIRE-ARMS,3,28
190,207,2008,2,207,DELHI(UT),17,SUDDEN DEATHS(HEART ATTACKS),0,2
14,14,2008,0,21,DELHI(UT),7,EPILEPTIC FITS/GIDDINESS,0,0
0,16,2008,0,16,DELHI(UT),16,ABORTIONS/CHILD BIRTH,0,0
111,108,2008,0,113,DELHI(UT),2,INFLUENCE OF ALCOHOL,0,0
32,52,2008,4,53,DELHI(UT),21,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,4,8
8,14,2008,2,12,DELHI(UT),4,SNAKE BITE/ANIMAL BITE,0,2
125,164,2008,0,179,DELHI(UT),54,OTHER,0,0
883,1099,2008,107,979,DELHI(UT),96,OTHER RAILWAY ACCIDENTS,13,120
122,124,2008,0,136,DELHI(UT),14,TOTAL DROWNING,0,0
283,355,2008,24,359,DELHI(UT),76,TOTAL FALLS,1,25
159,334,2008,34,356,DELHI(UT),197,TOTAL FIRE,4,38
315,345,2008,2,357,DELHI(UT),42,TOTAL SUDDEN DEATHS,0,2
168,238,2008,6,252,DELHI(UT),84,TOTAL POISONING,4,10
0,0,2008,0,0,LAKSHADWEEP,0,ELECTROCUTION,0,0
0,0,2008,0,0,LAKSHADWEEP,0,GAS CYLINDER/STOVE BURST,0,0
0,0,2008,0,0,LAKSHADWEEP,0,FIRE-ARMS,0,0
0,0,2008,0,0,LAKSHADWEEP,0,SUDDEN DEATHS(HEART ATTACKS),0,0
0,0,2008,0,0,LAKSHADWEEP,0,EPILEPTIC FITS/GIDDINESS,0,0
0,0,2008,0,0,LAKSHADWEEP,0,ABORTIONS/CHILD BIRTH,0,0
0,0,2008,0,0,LAKSHADWEEP,0,INFLUENCE OF ALCOHOL,0,0
0,0,2008,0,0,LAKSHADWEEP,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0
0,0,2008,0,0,LAKSHADWEEP,0,SNAKE BITE/ANIMAL BITE,0,0
0,0,2008,0,0,LAKSHADWEEP,0,OTHER,0,0
0,0,2008,0,0,LAKSHADWEEP,0,OTHER RAILWAY ACCIDENTS,0,0
1,1,2008,0,1,LAKSHADWEEP,0,TOTAL DROWNING,0,0
0,0,2008,0,0,LAKSHADWEEP,0,TOTAL FALLS,0,0
2,2,2008,0,2,LAKSHADWEEP,0,TOTAL FIRE,0,0
0,0,2008,0,0,LAKSHADWEEP,0,TOTAL SUDDEN DEATHS,0,0
0,0,2008,0,0,LAKSHADWEEP,0,TOTAL POISONING,0,0
19,27,2008,6,24,PUDUCHERRY,5,ELECTROCUTION,0,6
1,1,2008,0,1,PUDUCHERRY,0,GAS CYLINDER/STOVE BURST,0,0
0,0,2008,0,0,PUDUCHERRY,0,FIRE-ARMS,0,0
33,35,2008,0,35,PUDUCHERRY,2,SUDDEN DEATHS(HEART ATTACKS),0,0
236,264,2008,0,264,PUDUCHERRY,28,EPILEPTIC FITS/GIDDINESS,0,0
0,1,2008,0,1,PUDUCHERRY,1,ABORTIONS/CHILD BIRTH,0,0
261,267,2008,0,267,PUDUCHERRY,6,INFLUENCE OF ALCOHOL,0,0
0,1,2008,10,0,PUDUCHERRY,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,10
9,16,2008,0,16,PUDUCHERRY,7,SNAKE BITE/ANIMAL BITE,0,0
8,11,2008,0,11,PUDUCHERRY,3,OTHER,0,0
0,0,2008,0,0,PUDUCHERRY,0,OTHER RAILWAY ACCIDENTS,0,0
91,95,2008,0,95,PUDUCHERRY,4,TOTAL DROWNING,0,0
53,66,2008,3,62,PUDUCHERRY,9,TOTAL FALLS,0,3
10,33,2008,5,30,PUDUCHERRY,20,TOTAL FIRE,0,5
530,567,2008,0,567,PUDUCHERRY,37,TOTAL SUDDEN DEATHS,0,0
17,28,2008,10,27,PUDUCHERRY,10,TOTAL POISONING,0,10
