FEMALE KILLED,YEAR,MALE KILLED,STATE/UT,CASES,FEMALE INJURED,MALE INJURED,TOTAL INJURED,TOTAL KILLED,CAUSE
56,2011,189,PUNJAB,245,0,0,0,245,OTHER
103,2011,814,PUNJAB,934,0,0,0,917,OTHER RAILWAY ACCIDENTS
60,2011,444,PUNJAB,501,0,0,0,504,TOTAL DROWNING
14,2011,174,PUNJAB,187,1,1,2,188,TOTAL FALLS
220,2011,167,PUNJAB,387,0,2,2,387,TOTAL FIRE
54,2011,805,PUNJAB,859,0,0,0,859,TOTAL SUDDEN DEATHS
198,2011,536,PUNJAB,733,0,0,0,734,TOTAL POISONING
98,2011,625,RAJASTHAN,720,6,10,16,723,ELECTROCUTION
116,2011,45,RAJASTHAN,160,2,0,2,161,GAS CYLINDER/STOVE BURST
0,2011,6,RAJASTHAN,6,0,0,0,6,FIRE-ARMS
63,2011,428,RAJASTHAN,491,0,0,0,491,SUDDEN DEATHS(HEART ATTACKS)
33,2011,119,RAJASTHAN,153,0,1,1,152,EPILEPTIC FITS/GIDDINESS
23,2011,0,RAJASTHAN,23,0,0,0,23,ABORTIONS/CHILD BIRTH
3,2011,206,RAJASTHAN,206,0,0,0,209,INFLUENCE OF ALCOHOL
288,2011,539,RAJASTHAN,824,1,4,5,827,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.
160,2011,347,RAJASTHAN,506,0,0,0,507,SNAKE BITE/ANIMAL BITE
98,2011,258,RAJASTHAN,347,0,5,5,356,OTHER
42,2011,289,RAJASTHAN,313,0,0,0,331,OTHER RAILWAY ACCIDENTS
460,2011,1191,RAJASTHAN,1556,1,2,3,1651,TOTAL DROWNING
130,2011,615,RAJASTHAN,691,0,5,5,745,TOTAL FALLS
533,2011,317,RAJASTHAN,839,6,10,16,850,TOTAL FIRE
122,2011,753,RAJASTHAN,873,0,1,1,875,TOTAL SUDDEN DEATHS
546,2011,1144,RAJASTHAN,1677,1,9,10,1690,TOTAL POISONING
0,2011,5,SIKKIM,5,0,0,0,5,ELECTROCUTION
0,2011,0,SIKKIM,0,0,0,0,0,GAS CYLINDER/STOVE BURST
0,2011,0,SIKKIM,0,0,0,0,0,FIRE-ARMS
0,2011,0,SIKKIM,0,0,0,0,0,SUDDEN DEATHS(HEART ATTACKS)
0,2011,1,SIKKIM,1,0,0,0,1,EPILEPTIC FITS/GIDDINESS
0,2011,0,SIKKIM,0,0,0,0,0,ABORTIONS/CHILD BIRTH
0,2011,4,SIKKIM,4,0,0,0,4,INFLUENCE OF ALCOHOL
0,2011,0,SIKKIM,0,0,0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.
0,2011,0,SIKKIM,0,0,0,0,0,SNAKE BITE/ANIMAL BITE
5,2011,5,SIKKIM,10,0,0,0,10,OTHER
0,2011,0,SIKKIM,0,0,0,0,0,OTHER RAILWAY ACCIDENTS
8,2011,20,SIKKIM,28,0,0,0,28,TOTAL DROWNING
4,2011,36,SIKKIM,40,0,0,0,40,TOTAL FALLS
6,2011,0,SIKKIM,6,0,0,0,6,TOTAL FIRE
0,2011,5,SIKKIM,5,0,0,0,5,TOTAL SUDDEN DEATHS
5,2011,5,SIKKIM,10,0,0,0,10,TOTAL POISONING
55,2011,459,TAMIL NADU,491,0,7,7,514,ELECTROCUTION
481,2011,105,TAMIL NADU,632,9,5,14,586,GAS CYLINDER/STOVE BURST
0,2011,1,TAMIL NADU,1,0,0,0,1,FIRE-ARMS
131,2011,840,TAMIL NADU,1383,18,101,119,971,SUDDEN DEATHS(HEART ATTACKS)
94,2011,539,TAMIL NADU,265,5,7,12,633,EPILEPTIC FITS/GIDDINESS
29,2011,0,TAMIL NADU,29,0,0,0,29,ABORTIONS/CHILD BIRTH
19,2011,131,TAMIL NADU,414,1,19,20,150,INFLUENCE OF ALCOHOL
40,2011,128,TAMIL NADU,231,8,21,29,168,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.
184,2011,351,TAMIL NADU,670,0,0,0,535,SNAKE BITE/ANIMAL BITE
484,2011,983,TAMIL NADU,1388,8,20,28,1467,OTHER
275,2011,1563,TAMIL NADU,1830,5,32,37,1838,OTHER RAILWAY ACCIDENTS
396,2011,1557,TAMIL NADU,1711,1,24,25,1953,TOTAL DROWNING
78,2011,658,TAMIL NADU,672,3,14,17,736,TOTAL FALLS
1617,2011,751,TAMIL NADU,2346,25,33,58,2368,TOTAL FIRE
273,2011,1510,TAMIL NADU,2091,24,127,151,1783,TOTAL SUDDEN DEATHS
889,2011,1785,TAMIL NADU,2682,16,44,60,2674,TOTAL POISONING
1,2011,13,TRIPURA,14,0,0,0,14,ELECTROCUTION
1,2011,0,TRIPURA,1,0,0,0,1,GAS CYLINDER/STOVE BURST
0,2011,0,TRIPURA,0,0,0,0,0,FIRE-ARMS
2,2011,19,TRIPURA,21,0,0,0,21,SUDDEN DEATHS(HEART ATTACKS)
1,2011,0,TRIPURA,1,0,0,0,1,EPILEPTIC FITS/GIDDINESS
0,2011,0,TRIPURA,0,0,0,0,0,ABORTIONS/CHILD BIRTH
0,2011,5,TRIPURA,5,0,0,0,5,INFLUENCE OF ALCOHOL
0,2011,0,TRIPURA,0,0,0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.
1,2011,0,TRIPURA,1,0,0,0,1,SNAKE BITE/ANIMAL BITE
0,2011,0,TRIPURA,0,0,0,0,0,OTHER
0,2011,0,TRIPURA,0,0,0,0,0,OTHER RAILWAY ACCIDENTS
14,2011,31,TRIPURA,45,0,0,0,45,TOTAL DROWNING
2,2011,12,TRIPURA,14,0,0,0,14,TOTAL FALLS
8,2011,8,TRIPURA,15,0,0,0,16,TOTAL FIRE
3,2011,24,TRIPURA,27,0,0,0,27,TOTAL SUDDEN DEATHS
1,2011,0,TRIPURA,1,0,0,0,1,TOTAL POISONING
102,2011,575,UTTAR PRADESH,613,9,59,68,677,ELECTROCUTION
77,2011,35,UTTAR PRADESH,108,20,12,32,112,GAS CYLINDER/STOVE BURST
167,2011,545,UTTAR PRADESH,792,46,218,264,712,FIRE-ARMS
61,2011,226,UTTAR PRADESH,287,5,8,13,287,SUDDEN DEATHS(HEART ATTACKS)
18,2011,56,UTTAR PRADESH,76,0,4,4,74,EPILEPTIC FITS/GIDDINESS
77,2011,0,UTTAR PRADESH,80,3,0,3,77,ABORTIONS/CHILD BIRTH
7,2011,186,UTTAR PRADESH,193,0,20,20,193,INFLUENCE OF ALCOHOL
359,2011,528,UTTAR PRADESH,863,13,24,37,887,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.
32,2011,133,UTTAR PRADESH,204,11,36,47,165,SNAKE BITE/ANIMAL BITE
83,2011,186,UTTAR PRADESH,276,18,76,94,269,OTHER
536,2011,2608,UTTAR PRADESH,3938,14,61,75,3144,OTHER RAILWAY ACCIDENTS
191,2011,919,UTTAR PRADESH,1044,16,67,83,1110,TOTAL DROWNING
62,2011,261,UTTAR PRADESH,348,9,46,55,323,TOTAL FALLS
732,2011,436,UTTAR PRADESH,1178,69,116,185,1168,TOTAL FIRE
163,2011,468,UTTAR PRADESH,636,8,32,40,631,TOTAL SUDDEN DEATHS
486,2011,902,UTTAR PRADESH,1396,42,146,188,1388,TOTAL POISONING
7,2011,27,UTTARAKHAND,30,0,6,6,34,ELECTROCUTION
14,2011,3,UTTARAKHAND,23,3,5,8,17,GAS CYLINDER/STOVE BURST
3,2011,11,UTTARAKHAND,9,1,0,1,14,FIRE-ARMS
23,2011,98,UTTARAKHAND,136,4,11,15,121,SUDDEN DEATHS(HEART ATTACKS)
0,2011,2,UTTARAKHAND,2,0,0,0,2,EPILEPTIC FITS/GIDDINESS
14,2011,0,UTTARAKHAND,14,0,0,0,14,ABORTIONS/CHILD BIRTH
1,2011,17,UTTARAKHAND,18,0,0,0,18,INFLUENCE OF ALCOHOL
38,2011,42,UTTARAKHAND,82,4,4,8,80,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.
0,2011,1,UTTARAKHAND,1,0,0,0,1,SNAKE BITE/ANIMAL BITE
47,2011,46,UTTARAKHAND,66,1,2,3,93,OTHER
12,2011,44,UTTARAKHAND,54,0,0,0,56,OTHER RAILWAY ACCIDENTS
69,2011,180,UTTARAKHAND,228,35,53,88,249,TOTAL DROWNING
14,2011,89,UTTARAKHAND,95,3,5,8,103,TOTAL FALLS
32,2011,19,UTTARAKHAND,65,12,11,23,51,TOTAL FIRE
38,2011,117,UTTARAKHAND,170,4,11,15,155,TOTAL SUDDEN DEATHS
85,2011,95,UTTARAKHAND,155,5,6,11,180,TOTAL POISONING
21,2011,135,WEST BENGAL,152,5,16,21,156,ELECTROCUTION
57,2011,10,WEST BENGAL,73,8,10,18,67,GAS CYLINDER/STOVE BURST
1,2011,31,WEST BENGAL,50,4,15,19,32,FIRE-ARMS
237,2011,507,WEST BENGAL,916,61,141,202,744,SUDDEN DEATHS(HEART ATTACKS)
11,2011,19,WEST BENGAL,30,0,0,0,30,EPILEPTIC FITS/GIDDINESS
26,2011,0,WEST BENGAL,43,15,0,15,26,ABORTIONS/CHILD BIRTH
1,2011,41,WEST BENGAL,90,0,36,36,42,INFLUENCE OF ALCOHOL
118,2011,277,WEST BENGAL,404,15,38,53,395,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.
112,2011,118,WEST BENGAL,256,17,27,44,230,SNAKE BITE/ANIMAL BITE
553,2011,752,WEST BENGAL,1437,86,99,185,1305,OTHER
452,2011,1913,WEST BENGAL,2364,7,21,28,2365,OTHER RAILWAY ACCIDENTS
201,2011,514,WEST BENGAL,697,48,102,150,715,TOTAL DROWNING
29,2011,117,WEST BENGAL,140,4,15,19,146,TOTAL FALLS
347,2011,196,WEST BENGAL,539,85,165,250,543,TOTAL FIRE
275,2011,567,WEST BENGAL,1079,76,177,253,842,TOTAL SUDDEN DEATHS
786,2011,1325,WEST BENGAL,2100,119,167,286,2111,TOTAL POISONING
0,2011,4,A & N ISLANDS,4,0,0,0,4,ELECTROCUTION
1,2011,0,A & N ISLANDS,1,0,0,0,1,GAS CYLINDER/STOVE BURST
0,2011,0,A & N ISLANDS,0,0,0,0,0,FIRE-ARMS
0,2011,41,A & N ISLANDS,41,0,0,0,41,SUDDEN DEATHS(HEART ATTACKS)
0,2011,2,A & N ISLANDS,2,0,0,0,2,EPILEPTIC FITS/GIDDINESS
0,2011,0,A & N ISLANDS,0,0,0,0,0,ABORTIONS/CHILD BIRTH
0,2011,0,A & N ISLANDS,0,0,0,0,0,INFLUENCE OF ALCOHOL
0,2011,0,A & N ISLANDS,0,0,0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.
0,2011,0,A & N ISLANDS,0,0,0,0,0,SNAKE BITE/ANIMAL BITE
0,2011,0,A & N ISLANDS,0,0,0,0,0,OTHER
0,2011,0,A & N ISLANDS,0,0,0,0,0,OTHER RAILWAY ACCIDENTS
10,2011,37,A & N ISLANDS,45,0,0,0,47,TOTAL DROWNING
0,2011,8,A & N ISLANDS,8,0,0,0,8,TOTAL FALLS
12,2011,2,A & N ISLANDS,14,0,0,0,14,TOTAL FIRE
0,2011,43,A & N ISLANDS,43,0,0,0,43,TOTAL SUDDEN DEATHS
0,2011,0,A & N ISLANDS,0,0,0,0,0,TOTAL POISONING
0,2011,7,CHANDIGARH,7,0,0,0,7,ELECTROCUTION
7,2011,1,CHANDIGARH,8,0,0,0,8,GAS CYLINDER/STOVE BURST
0,2011,0,CHANDIGARH,0,0,0,0,0,FIRE-ARMS
2,2011,50,CHANDIGARH,52,0,0,0,52,SUDDEN DEATHS(HEART ATTACKS)
0,2011,1,CHANDIGARH,1,0,0,0,1,EPILEPTIC FITS/GIDDINESS
0,2011,0,CHANDIGARH,0,0,0,0,0,ABORTIONS/CHILD BIRTH
0,2011,19,CHANDIGARH,19,0,0,0,19,INFLUENCE OF ALCOHOL
1,2011,0,CHANDIGARH,1,0,0,0,1,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.
0,2011,1,CHANDIGARH,1,0,0,0,1,SNAKE BITE/ANIMAL BITE
1,2011,3,CHANDIGARH,4,0,0,0,4,OTHER
0,2011,0,CHANDIGARH,0,0,0,0,0,OTHER RAILWAY ACCIDENTS
1,2011,3,CHANDIGARH,4,0,0,0,4,TOTAL DROWNING
5,2011,15,CHANDIGARH,20,0,0,0,20,TOTAL FALLS
13,2011,2,CHANDIGARH,15,0,0,0,15,TOTAL FIRE
2,2011,70,CHANDIGARH,72,0,0,0,72,TOTAL SUDDEN DEATHS
5,2011,6,CHANDIGARH,11,0,0,0,11,TOTAL POISONING
0,2011,4,D & N HAVELI,4,0,0,0,4,ELECTROCUTION
4,2011,0,D & N HAVELI,4,0,0,0,4,GAS CYLINDER/STOVE BURST
0,2011,0,D & N HAVELI,0,0,0,0,0,FIRE-ARMS
3,2011,6,D & N HAVELI,9,0,0,0,9,SUDDEN DEATHS(HEART ATTACKS)
1,2011,1,D & N HAVELI,2,0,0,0,2,EPILEPTIC FITS/GIDDINESS
0,2011,0,D & N HAVELI,0,0,0,0,0,ABORTIONS/CHILD BIRTH
0,2011,5,D & N HAVELI,5,0,0,0,5,INFLUENCE OF ALCOHOL
0,2011,0,D & N HAVELI,0,0,0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.
1,2011,1,D & N HAVELI,2,0,0,0,2,SNAKE BITE/ANIMAL BITE
0,2011,0,D & N HAVELI,0,0,0,0,0,OTHER
0,2011,0,D & N HAVELI,0,0,0,0,0,OTHER RAILWAY ACCIDENTS
1,2011,11,D & N HAVELI,12,0,0,0,12,TOTAL DROWNING
0,2011,6,D & N HAVELI,6,0,0,0,6,TOTAL FALLS
4,2011,1,D & N HAVELI,5,0,0,0,5,TOTAL FIRE
4,2011,12,D & N HAVELI,16,0,0,0,16,TOTAL SUDDEN DEATHS
1,2011,1,D & N HAVELI,2,0,0,0,2,TOTAL POISONING
1,2011,4,DAMAN & DIU,5,0,0,0,5,ELECTROCUTION
3,2011,0,DAMAN & DIU,3,0,0,0,3,GAS CYLINDER/STOVE BURST
0,2011,0,DAMAN & DIU,0,0,0,0,0,FIRE-ARMS
0,2011,6,DAMAN & DIU,6,0,0,0,6,SUDDEN DEATHS(HEART ATTACKS)
0,2011,1,DAMAN & DIU,1,0,0,0,1,EPILEPTIC FITS/GIDDINESS
0,2011,0,DAMAN & DIU,0,0,0,0,0,ABORTIONS/CHILD BIRTH
0,2011,1,DAMAN & DIU,1,0,0,0,1,INFLUENCE OF ALCOHOL
0,2011,1,DAMAN & DIU,1,0,0,0,1,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.
0,2011,0,DAMAN & DIU,0,0,0,0,0,SNAKE BITE/ANIMAL BITE
0,2011,0,DAMAN & DIU,0,0,0,0,0,OTHER
0,2011,0,DAMAN & DIU,0,0,0,0,0,OTHER RAILWAY ACCIDENTS
0,2011,27,DAMAN & DIU,27,0,0,0,27,TOTAL DROWNING
0,2011,10,DAMAN & DIU,10,0,0,0,10,TOTAL FALLS
7,2011,4,DAMAN & DIU,11,0,0,0,11,TOTAL FIRE
0,2011,8,DAMAN & DIU,8,0,0,0,8,TOTAL SUDDEN DEATHS
0,2011,1,DAMAN & DIU,1,0,0,0,1,TOTAL POISONING
20,2011,128,DELHI(UT),161,0,28,28,148,ELECTROCUTION
74,2011,30,DELHI(UT),93,2,14,16,104,GAS CYLINDER/STOVE BURST
6,2011,35,DELHI(UT),55,1,21,22,41,FIRE-ARMS
24,2011,252,DELHI(UT),263,0,0,0,276,SUDDEN DEATHS(HEART ATTACKS)
1,2011,26,DELHI(UT),24,0,0,0,27,EPILEPTIC FITS/GIDDINESS
30,2011,0,DELHI(UT),27,0,0,0,30,ABORTIONS/CHILD BIRTH
0,2011,151,DELHI(UT),143,0,0,0,151,INFLUENCE OF ALCOHOL
16,2011,43,DELHI(UT),69,10,0,10,59,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.
7,2011,11,DELHI(UT),20,0,2,2,18,SNAKE BITE/ANIMAL BITE
48,2011,95,DELHI(UT),137,0,14,14,143,OTHER
102,2011,915,DELHI(UT),1409,37,355,392,1017,OTHER RAILWAY ACCIDENTS
27,2011,169,DELHI(UT),182,0,0,0,196,TOTAL DROWNING
96,2011,379,DELHI(UT),450,5,39,44,475,TOTAL FALLS
159,2011,150,DELHI(UT),296,5,82,87,309,TOTAL FIRE
55,2011,429,DELHI(UT),457,0,0,0,484,TOTAL SUDDEN DEATHS
79,2011,164,DELHI(UT),255,10,22,32,243,TOTAL POISONING
0,2011,0,LAKSHADWEEP,0,0,0,0,0,ELECTROCUTION
1,2011,0,LAKSHADWEEP,1,0,0,0,1,GAS CYLINDER/STOVE BURST
0,2011,0,LAKSHADWEEP,0,0,0,0,0,FIRE-ARMS
0,2011,0,LAKSHADWEEP,0,0,0,0,0,SUDDEN DEATHS(HEART ATTACKS)
0,2011,0,LAKSHADWEEP,0,0,0,0,0,EPILEPTIC FITS/GIDDINESS
0,2011,0,LAKSHADWEEP,0,0,0,0,0,ABORTIONS/CHILD BIRTH
0,2011,0,LAKSHADWEEP,0,0,0,0,0,INFLUENCE OF ALCOHOL
0,2011,0,LAKSHADWEEP,0,0,0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.
0,2011,0,LAKSHADWEEP,0,0,0,0,0,SNAKE BITE/ANIMAL BITE
0,2011,0,LAKSHADWEEP,0,0,0,0,0,OTHER
0,2011,0,LAKSHADWEEP,0,0,0,0,0,OTHER RAILWAY ACCIDENTS
0,2011,5,LAKSHADWEEP,5,0,0,0,5,TOTAL DROWNING
0,2011,1,LAKSHADWEEP,1,0,0,0,1,TOTAL FALLS
1,2011,0,LAKSHADWEEP,1,0,0,0,1,TOTAL FIRE
0,2011,0,LAKSHADWEEP,0,0,0,0,0,TOTAL SUDDEN DEATHS
0,2011,0,LAKSHADWEEP,0,0,0,0,0,TOTAL POISONING
5,2011,21,PUDUCHERRY,26,0,0,0,26,ELECTROCUTION
0,2011,0,PUDUCHERRY,0,0,0,0,0,GAS CYLINDER/STOVE BURST
0,2011,0,PUDUCHERRY,0,0,0,0,0,FIRE-ARMS
5,2011,58,PUDUCHERRY,63,0,0,0,63,SUDDEN DEATHS(HEART ATTACKS)
31,2011,251,PUDUCHERRY,282,0,0,0,282,EPILEPTIC FITS/GIDDINESS
0,2011,0,PUDUCHERRY,0,0,0,0,0,ABORTIONS/CHILD BIRTH
2,2011,224,PUDUCHERRY,226,0,0,0,226,INFLUENCE OF ALCOHOL
1,2011,1,PUDUCHERRY,2,0,0,0,2,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.
6,2011,9,PUDUCHERRY,15,0,0,0,15,SNAKE BITE/ANIMAL BITE
1,2011,2,PUDUCHERRY,3,0,0,0,3,OTHER
0,2011,6,PUDUCHERRY,6,0,0,0,6,OTHER RAILWAY ACCIDENTS
8,2011,97,PUDUCHERRY,105,0,0,0,105,TOTAL DROWNING
4,2011,44,PUDUCHERRY,50,0,2,2,48,TOTAL FALLS
35,2011,7,PUDUCHERRY,43,1,1,2,42,TOTAL FIRE
38,2011,533,PUDUCHERRY,571,0,0,0,571,TOTAL SUDDEN DEATHS
8,2011,12,PUDUCHERRY,21,254,241,495,20,TOTAL POISONING
