TOTAL KILLED,CASES,MALE INJURED,STATE/UT,MALE KILLED,TOTAL INJURED,YEAR,CAUSE,FEMALE INJURED,FEMALE KILLED
940,940,0,PUNJAB,838,0,2012,OTHER RAILWAY ACCIDENTS,0,102
507,545,22,PUNJAB,435,24,2012,TOTAL DROWNING,2,72
176,169,0,PUNJAB,157,0,2012,TOTAL FALLS,0,19
362,332,21,PUNJAB,150,35,2012,TOTAL FIRE,14,212
1062,1096,10,PUNJAB,956,13,2012,TOTAL SUDDEN DEATHS,3,106
733,754,7,PUNJAB,535,9,2012,TOTAL POISONING,2,198
836,823,6,RAJASTHAN,732,8,2012,ELECTROCUTION,2,104
226,223,0,RAJASTHAN,66,0,2012,GAS CYLINDER/STOVE BURST,0,160
7,7,0,RAJASTHAN,6,0,2012,FIRE-ARMS,0,1
609,609,0,RAJASTHAN,535,0,2012,SUDDEN DEATHS(HEART ATTACKS),0,74
173,173,0,RAJASTHAN,125,0,2012,EPILEPTIC FITS/GIDDINESS,0,48
23,23,0,RAJASTHAN,0,0,2012,ABORTIONS/CHILD BIRTH,0,23
228,228,0,RAJASTHAN,228,0,2012,INFLUENCE OF ALCOHOL,0,0
697,700,2,RAJASTHAN,464,3,2012,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,1,233
452,452,0,RAJASTHAN,295,0,2012,SNAKE BITE/ANIMAL BITE,0,157
380,380,0,RAJASTHAN,289,0,2012,OTHER,0,91
348,341,0,RAJASTHAN,310,0,2012,OTHER RAILWAY ACCIDENTS,0,38
1637,1564,3,RAJASTHAN,1225,5,2012,TOTAL DROWNING,2,412
765,755,0,RAJASTHAN,632,0,2012,TOTAL FALLS,0,133
1017,1001,2,RAJASTHAN,481,3,2012,TOTAL FIRE,1,536
1033,1033,0,RAJASTHAN,888,0,2012,TOTAL SUDDEN DEATHS,0,145
1536,1535,2,RAJASTHAN,1055,3,2012,TOTAL POISONING,1,481
2,2,0,SIKKIM,2,0,2012,ELECTROCUTION,0,0
0,0,0,SIKKIM,0,0,2012,GAS CYLINDER/STOVE BURST,0,0
0,0,0,SIKKIM,0,0,2012,FIRE-ARMS,0,0
17,17,0,SIKKIM,14,0,2012,SUDDEN DEATHS(HEART ATTACKS),0,3
2,2,0,SIKKIM,1,0,2012,EPILEPTIC FITS/GIDDINESS,0,1
0,0,0,SIKKIM,0,0,2012,ABORTIONS/CHILD BIRTH,0,0
22,22,0,SIKKIM,22,0,2012,INFLUENCE OF ALCOHOL,0,0
4,4,0,SIKKIM,1,0,2012,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,3
0,0,0,SIKKIM,0,0,2012,SNAKE BITE/ANIMAL BITE,0,0
0,0,0,SIKKIM,0,0,2012,OTHER,0,0
0,0,0,SIKKIM,0,0,2012,OTHER RAILWAY ACCIDENTS,0,0
0,0,0,SIKKIM,0,0,2012,TOTAL DROWNING,0,0
35,35,0,SIKKIM,32,0,2012,TOTAL FALLS,0,3
6,6,0,SIKKIM,4,0,2012,TOTAL FIRE,0,2
41,41,0,SIKKIM,37,0,2012,TOTAL SUDDEN DEATHS,0,4
4,4,0,SIKKIM,1,0,2012,TOTAL POISONING,0,3
506,505,0,TAMIL NADU,445,0,2012,ELECTROCUTION,0,61
502,550,27,TAMIL NADU,83,48,2012,GAS CYLINDER/STOVE BURST,21,419
5,6,1,TAMIL NADU,1,1,2012,FIRE-ARMS,0,4
1269,1262,0,TAMIL NADU,1133,0,2012,SUDDEN DEATHS(HEART ATTACKS),0,136
264,299,0,TAMIL NADU,203,0,2012,EPILEPTIC FITS/GIDDINESS,0,61
30,30,0,TAMIL NADU,0,0,2012,ABORTIONS/CHILD BIRTH,0,30
202,202,0,TAMIL NADU,193,0,2012,INFLUENCE OF ALCOHOL,0,9
237,237,0,TAMIL NADU,174,0,2012,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,63
656,664,2,TAMIL NADU,413,8,2012,SNAKE BITE/ANIMAL BITE,6,243
1996,1984,0,TAMIL NADU,1363,0,2012,OTHER,0,633
2109,2115,41,TAMIL NADU,1802,43,2012,OTHER RAILWAY ACCIDENTS,2,307
1847,1755,14,TAMIL NADU,1444,15,2012,TOTAL DROWNING,1,403
653,665,7,TAMIL NADU,571,13,2012,TOTAL FALLS,6,82
1915,1919,52,TAMIL NADU,638,126,2012,TOTAL FIRE,74,1277
1765,1793,0,TAMIL NADU,1529,0,2012,TOTAL SUDDEN DEATHS,0,236
2907,2894,2,TAMIL NADU,1963,8,2012,TOTAL POISONING,6,944
34,34,0,TRIPURA,30,0,2012,ELECTROCUTION,0,4
1,1,0,TRIPURA,0,0,2012,GAS CYLINDER/STOVE BURST,0,1
4,4,0,TRIPURA,4,0,2012,FIRE-ARMS,0,0
52,52,0,TRIPURA,45,0,2012,SUDDEN DEATHS(HEART ATTACKS),0,7
4,4,0,TRIPURA,3,0,2012,EPILEPTIC FITS/GIDDINESS,0,1
1,1,0,TRIPURA,0,0,2012,ABORTIONS/CHILD BIRTH,0,1
11,11,0,TRIPURA,11,0,2012,INFLUENCE OF ALCOHOL,0,0
0,0,0,TRIPURA,0,0,2012,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0
3,3,0,TRIPURA,1,0,2012,SNAKE BITE/ANIMAL BITE,0,2
12,12,0,TRIPURA,9,0,2012,OTHER,0,3
0,0,0,TRIPURA,0,0,2012,OTHER RAILWAY ACCIDENTS,0,0
65,64,0,TRIPURA,41,0,2012,TOTAL DROWNING,0,24
12,12,0,TRIPURA,12,0,2012,TOTAL FALLS,0,0
21,21,0,TRIPURA,13,0,2012,TOTAL FIRE,0,8
68,68,0,TRIPURA,59,0,2012,TOTAL SUDDEN DEATHS,0,9
36,36,0,TRIPURA,23,0,2012,TOTAL POISONING,0,13
419,458,47,UTTAR PRADESH,361,57,2012,ELECTROCUTION,10,58
108,100,6,UTTAR PRADESH,23,31,2012,GAS CYLINDER/STOVE BURST,25,85
748,858,266,UTTAR PRADESH,584,329,2012,FIRE-ARMS,63,164
362,367,15,UTTAR PRADESH,290,25,2012,SUDDEN DEATHS(HEART ATTACKS),10,72
65,60,5,UTTAR PRADESH,48,9,2012,EPILEPTIC FITS/GIDDINESS,4,17
39,39,0,UTTAR PRADESH,0,0,2012,ABORTIONS/CHILD BIRTH,0,39
209,220,47,UTTAR PRADESH,204,51,2012,INFLUENCE OF ALCOHOL,4,5
665,712,64,UTTAR PRADESH,384,94,2012,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,30,281
169,215,38,UTTAR PRADESH,125,66,2012,SNAKE BITE/ANIMAL BITE,28,44
286,293,57,UTTAR PRADESH,169,73,2012,OTHER,16,117
3123,3353,223,UTTAR PRADESH,2594,307,2012,OTHER RAILWAY ACCIDENTS,84,529
1075,1035,125,UTTAR PRADESH,864,156,2012,TOTAL DROWNING,31,211
395,411,55,UTTAR PRADESH,322,76,2012,TOTAL FALLS,21,73
1442,1436,140,UTTAR PRADESH,546,227,2012,TOTAL FIRE,87,896
675,686,67,UTTAR PRADESH,542,85,2012,TOTAL SUDDEN DEATHS,18,133
1207,1319,188,UTTAR PRADESH,751,264,2012,TOTAL POISONING,76,456
45,39,1,UTTARAKHAND,39,1,2012,ELECTROCUTION,0,6
91,86,2,UTTARAKHAND,35,2,2012,GAS CYLINDER/STOVE BURST,0,56
6,6,0,UTTARAKHAND,5,0,2012,FIRE-ARMS,0,1
120,117,2,UTTARAKHAND,109,2,2012,SUDDEN DEATHS(HEART ATTACKS),0,11
5,5,0,UTTARAKHAND,5,0,2012,EPILEPTIC FITS/GIDDINESS,0,0
9,9,0,UTTARAKHAND,0,0,2012,ABORTIONS/CHILD BIRTH,0,9
17,17,0,UTTARAKHAND,17,0,2012,INFLUENCE OF ALCOHOL,0,0
211,196,20,UTTARAKHAND,109,30,2012,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,10,102
28,28,0,UTTARAKHAND,18,0,2012,SNAKE BITE/ANIMAL BITE,0,10
27,27,0,UTTARAKHAND,15,0,2012,OTHER,0,12
78,70,5,UTTARAKHAND,61,11,2012,OTHER RAILWAY ACCIDENTS,6,17
187,172,15,UTTARAKHAND,162,17,2012,TOTAL DROWNING,2,25
85,86,8,UTTARAKHAND,71,11,2012,TOTAL FALLS,3,14
164,149,5,UTTARAKHAND,90,5,2012,TOTAL FIRE,0,74
151,148,2,UTTARAKHAND,131,2,2012,TOTAL SUDDEN DEATHS,0,20
266,251,20,UTTARAKHAND,142,30,2012,TOTAL POISONING,10,124
144,134,14,WEST BENGAL,108,19,2012,ELECTROCUTION,5,36
55,56,9,WEST BENGAL,6,19,2012,GAS CYLINDER/STOVE BURST,10,49
33,57,25,WEST BENGAL,32,26,2012,FIRE-ARMS,1,1
701,774,92,WEST BENGAL,519,143,2012,SUDDEN DEATHS(HEART ATTACKS),51,182
12,13,0,WEST BENGAL,5,0,2012,EPILEPTIC FITS/GIDDINESS,0,7
14,37,0,WEST BENGAL,0,15,2012,ABORTIONS/CHILD BIRTH,15,14
105,122,43,WEST BENGAL,105,43,2012,INFLUENCE OF ALCOHOL,0,0
362,332,78,WEST BENGAL,219,139,2012,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,61,143
442,303,36,WEST BENGAL,231,67,2012,SNAKE BITE/ANIMAL BITE,31,211
3467,2903,302,WEST BENGAL,2209,430,2012,OTHER,128,1258
2628,2628,0,WEST BENGAL,2104,0,2012,OTHER RAILWAY ACCIDENTS,0,524
830,812,59,WEST BENGAL,626,100,2012,TOTAL DROWNING,41,204
199,200,42,WEST BENGAL,165,53,2012,TOTAL FALLS,11,34
1283,1240,128,WEST BENGAL,331,238,2012,TOTAL FIRE,110,952
832,946,135,WEST BENGAL,629,201,2012,TOTAL SUDDEN DEATHS,66,203
4271,3538,416,WEST BENGAL,2659,636,2012,TOTAL POISONING,220,1612
1,1,0,A & N ISLANDS,1,0,2012,ELECTROCUTION,0,0
2,2,0,A & N ISLANDS,0,0,2012,GAS CYLINDER/STOVE BURST,0,2
0,0,0,A & N ISLANDS,0,0,2012,FIRE-ARMS,0,0
20,20,0,A & N ISLANDS,18,0,2012,SUDDEN DEATHS(HEART ATTACKS),0,2
4,4,0,A & N ISLANDS,4,0,2012,EPILEPTIC FITS/GIDDINESS,0,0
1,1,0,A & N ISLANDS,0,0,2012,ABORTIONS/CHILD BIRTH,0,1
0,0,0,A & N ISLANDS,0,0,2012,INFLUENCE OF ALCOHOL,0,0
2,2,0,A & N ISLANDS,1,0,2012,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,1
2,2,0,A & N ISLANDS,2,0,2012,SNAKE BITE/ANIMAL BITE,0,0
0,0,0,A & N ISLANDS,0,0,2012,OTHER,0,0
0,0,0,A & N ISLANDS,0,0,2012,OTHER RAILWAY ACCIDENTS,0,0
29,29,0,A & N ISLANDS,22,0,2012,TOTAL DROWNING,0,7
13,13,0,A & N ISLANDS,13,0,2012,TOTAL FALLS,0,0
10,10,0,A & N ISLANDS,0,0,2012,TOTAL FIRE,0,10
25,25,0,A & N ISLANDS,22,0,2012,TOTAL SUDDEN DEATHS,0,3
4,4,0,A & N ISLANDS,3,0,2012,TOTAL POISONING,0,1
3,3,0,CHANDIGARH,3,0,2012,ELECTROCUTION,0,0
3,2,0,CHANDIGARH,0,0,2012,GAS CYLINDER/STOVE BURST,0,3
0,0,0,CHANDIGARH,0,0,2012,FIRE-ARMS,0,0
43,43,0,CHANDIGARH,42,0,2012,SUDDEN DEATHS(HEART ATTACKS),0,1
1,1,0,CHANDIGARH,1,0,2012,EPILEPTIC FITS/GIDDINESS,0,0
0,0,0,CHANDIGARH,0,0,2012,ABORTIONS/CHILD BIRTH,0,0
9,9,0,CHANDIGARH,9,0,2012,INFLUENCE OF ALCOHOL,0,0
0,0,0,CHANDIGARH,0,0,2012,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0
0,0,0,CHANDIGARH,0,0,2012,SNAKE BITE/ANIMAL BITE,0,0
2,2,0,CHANDIGARH,0,0,2012,OTHER,0,2
0,0,0,CHANDIGARH,0,0,2012,OTHER RAILWAY ACCIDENTS,0,0
2,2,0,CHANDIGARH,2,0,2012,TOTAL DROWNING,0,0
29,29,0,CHANDIGARH,22,0,2012,TOTAL FALLS,0,7
11,11,0,CHANDIGARH,6,0,2012,TOTAL FIRE,0,5
53,53,0,CHANDIGARH,52,0,2012,TOTAL SUDDEN DEATHS,0,1
2,2,0,CHANDIGARH,0,0,2012,TOTAL POISONING,0,2
4,4,0,D & N HAVELI,4,0,2012,ELECTROCUTION,0,0
7,7,0,D & N HAVELI,0,0,2012,GAS CYLINDER/STOVE BURST,0,7
0,0,0,D & N HAVELI,0,0,2012,FIRE-ARMS,0,0
3,3,0,D & N HAVELI,3,0,2012,SUDDEN DEATHS(HEART ATTACKS),0,0
0,0,0,D & N HAVELI,0,0,2012,EPILEPTIC FITS/GIDDINESS,0,0
0,0,0,D & N HAVELI,0,0,2012,ABORTIONS/CHILD BIRTH,0,0
0,0,0,D & N HAVELI,0,0,2012,INFLUENCE OF ALCOHOL,0,0
0,0,0,D & N HAVELI,0,0,2012,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0
2,2,0,D & N HAVELI,0,0,2012,SNAKE BITE/ANIMAL BITE,0,2
0,0,0,D & N HAVELI,0,0,2012,OTHER,0,0
0,0,0,D & N HAVELI,0,0,2012,OTHER RAILWAY ACCIDENTS,0,0
10,10,0,D & N HAVELI,9,0,2012,TOTAL DROWNING,0,1
7,7,0,D & N HAVELI,5,0,2012,TOTAL FALLS,0,2
7,7,0,D & N HAVELI,0,0,2012,TOTAL FIRE,0,7
3,3,0,D & N HAVELI,3,0,2012,TOTAL SUDDEN DEATHS,0,0
2,2,0,D & N HAVELI,0,0,2012,TOTAL POISONING,0,2
4,4,0,DAMAN & DIU,4,1,2012,ELECTROCUTION,1,0
2,2,0,DAMAN & DIU,0,0,2012,GAS CYLINDER/STOVE BURST,0,2
0,0,0,DAMAN & DIU,0,0,2012,FIRE-ARMS,0,0
9,9,0,DAMAN & DIU,9,0,2012,SUDDEN DEATHS(HEART ATTACKS),0,0
4,4,0,DAMAN & DIU,4,0,2012,EPILEPTIC FITS/GIDDINESS,0,0
0,0,0,DAMAN & DIU,0,0,2012,ABORTIONS/CHILD BIRTH,0,0
9,9,0,DAMAN & DIU,8,0,2012,INFLUENCE OF ALCOHOL,0,1
0,0,0,DAMAN & DIU,0,0,2012,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0
0,0,0,DAMAN & DIU,0,0,2012,SNAKE BITE/ANIMAL BITE,0,0
3,3,0,DAMAN & DIU,3,0,2012,OTHER,0,0
0,0,0,DAMAN & DIU,0,0,2012,OTHER RAILWAY ACCIDENTS,0,0
25,25,0,DAMAN & DIU,23,0,2012,TOTAL DROWNING,0,2
6,6,0,DAMAN & DIU,6,0,2012,TOTAL FALLS,0,0
16,16,0,DAMAN & DIU,4,0,2012,TOTAL FIRE,0,12
22,22,0,DAMAN & DIU,21,0,2012,TOTAL SUDDEN DEATHS,0,1
3,3,0,DAMAN & DIU,3,0,2012,TOTAL POISONING,0,0
153,156,7,DELHI(UT),134,8,2012,ELECTROCUTION,1,19
67,68,27,DELHI(UT),21,35,2012,GAS CYLINDER/STOVE BURST,8,46
39,62,31,DELHI(UT),32,34,2012,FIRE-ARMS,3,7
233,231,0,DELHI(UT),204,0,2012,SUDDEN DEATHS(HEART ATTACKS),0,29
25,25,0,DELHI(UT),22,0,2012,EPILEPTIC FITS/GIDDINESS,0,3
28,28,0,DELHI(UT),0,0,2012,ABORTIONS/CHILD BIRTH,0,28
172,172,0,DELHI(UT),172,0,2012,INFLUENCE OF ALCOHOL,0,0
66,71,18,DELHI(UT),46,18,2012,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,20
8,8,0,DELHI(UT),5,0,2012,SNAKE BITE/ANIMAL BITE,0,3
130,140,9,DELHI(UT),79,10,2012,OTHER,1,51
991,1258,241,DELHI(UT),897,267,2012,OTHER RAILWAY ACCIDENTS,26,94
152,152,0,DELHI(UT),124,0,2012,TOTAL DROWNING,0,28
426,449,44,DELHI(UT),331,46,2012,TOTAL FALLS,2,95
236,246,54,DELHI(UT),118,68,2012,TOTAL FIRE,14,118
458,456,0,DELHI(UT),398,0,2012,TOTAL SUDDEN DEATHS,0,60
212,226,34,DELHI(UT),137,35,2012,TOTAL POISONING,1,75
0,0,0,LAKSHADWEEP,0,0,2012,ELECTROCUTION,0,0
0,0,0,LAKSHADWEEP,0,0,2012,GAS CYLINDER/STOVE BURST,0,0
0,0,0,LAKSHADWEEP,0,0,2012,FIRE-ARMS,0,0
3,3,0,LAKSHADWEEP,0,0,2012,SUDDEN DEATHS(HEART ATTACKS),0,3
0,0,0,LAKSHADWEEP,0,0,2012,EPILEPTIC FITS/GIDDINESS,0,0
0,0,0,LAKSHADWEEP,0,0,2012,ABORTIONS/CHILD BIRTH,0,0
0,0,0,LAKSHADWEEP,0,0,2012,INFLUENCE OF ALCOHOL,0,0
0,0,0,LAKSHADWEEP,0,0,2012,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0
0,0,0,LAKSHADWEEP,0,0,2012,SNAKE BITE/ANIMAL BITE,0,0
0,0,0,LAKSHADWEEP,0,0,2012,OTHER,0,0
0,0,0,LAKSHADWEEP,0,0,2012,OTHER RAILWAY ACCIDENTS,0,0
2,1,0,LAKSHADWEEP,2,0,2012,TOTAL DROWNING,0,0
0,0,0,LAKSHADWEEP,0,0,2012,TOTAL FALLS,0,0
0,0,0,LAKSHADWEEP,0,0,2012,TOTAL FIRE,0,0
3,3,0,LAKSHADWEEP,0,0,2012,TOTAL SUDDEN DEATHS,0,3
0,0,0,LAKSHADWEEP,0,0,2012,TOTAL POISONING,0,0
23,27,3,PUDUCHERRY,20,3,2012,ELECTROCUTION,0,3
0,0,0,PUDUCHERRY,0,0,2012,GAS CYLINDER/STOVE BURST,0,0
0,0,0,PUDUCHERRY,0,0,2012,FIRE-ARMS,0,0
63,63,0,PUDUCHERRY,54,0,2012,SUDDEN DEATHS(HEART ATTACKS),0,9
279,279,0,PUDUCHERRY,252,0,2012,EPILEPTIC FITS/GIDDINESS,0,27
1,1,0,PUDUCHERRY,0,0,2012,ABORTIONS/CHILD BIRTH,0,1
307,307,0,PUDUCHERRY,302,0,2012,INFLUENCE OF ALCOHOL,0,5
0,0,0,PUDUCHERRY,0,0,2012,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0
13,13,0,PUDUCHERRY,7,0,2012,SNAKE BITE/ANIMAL BITE,0,6
3,3,0,PUDUCHERRY,1,0,2012,OTHER,0,2
7,7,0,PUDUCHERRY,7,0,2012,OTHER RAILWAY ACCIDENTS,0,0
96,95,0,PUDUCHERRY,88,0,2012,TOTAL DROWNING,0,8
55,54,4,PUDUCHERRY,52,4,2012,TOTAL FALLS,0,3
25,25,0,PUDUCHERRY,6,0,2012,TOTAL FIRE,0,19
650,650,0,PUDUCHERRY,608,0,2012,TOTAL SUDDEN DEATHS,0,42
16,17,2,PUDUCHERRY,8,9,2012,TOTAL POISONING,7,8
