CASES,MALE KILLED,CAUSE,YEAR,FEMALE INJURED,TOTAL KILLED,STATE/UT,TOTAL INJURED,MALE INJURED,FEMALE KILLED
245,165,OTHER,2006,0,245,RAJASTHAN,0,0,80
257,221,RAILWAY ACCIDENTS,2006,1,257,RAJASTHAN,2,1,36
1500,1113,DROWNING,2006,0,1551,RAJASTHAN,1,1,438
708,574,FALLS,2006,4,709,RAJASTHAN,11,7,135
684,269,FIRE,2006,7,692,RAJASTHAN,14,7,423
752,633,SUDDEN DEATHS,2006,0,753,RAJASTHAN,0,0,120
1343,922,POISONING,2006,0,1356,RAJASTHAN,0,0,434
5,5,ELECTROCUTION,2006,0,5,SIKKIM,0,0,0
1,0,GAS CYLINDER/STOVE BURST,2006,0,1,SIKKIM,0,0,1
1,1,FIRE-ARMS,2006,0,1,SIKKIM,0,0,0
0,0,SUDDEN DEATHS(HEART ATTACKS),2006,0,0,SIKKIM,0,0,0
0,0,EPILEPTIC FITS/GIDDINESS,2006,0,0,SIKKIM,0,0,0
0,0,ABORTIONS/CHILD BIRTH,2006,0,0,SIKKIM,0,0,0
4,3,INFLUENCE OF ALCOHOL,2006,0,4,SIKKIM,0,0,1
0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2006,0,0,SIKKIM,0,0,0
0,0,SNAKE BITE/ANIMAL BITE,2006,0,0,SIKKIM,0,0,0
7,5,OTHER,2006,0,7,SIKKIM,0,0,2
0,0,RAILWAY ACCIDENTS,2006,0,0,SIKKIM,0,0,0
59,48,DROWNING,2006,0,59,SIKKIM,0,0,11
52,48,FALLS,2006,0,52,SIKKIM,0,0,4
1,0,FIRE,2006,0,1,SIKKIM,0,0,1
4,3,SUDDEN DEATHS,2006,0,4,SIKKIM,0,0,1
7,5,POISONING,2006,0,7,SIKKIM,0,0,2
331,318,ELECTROCUTION,2006,9,382,TAMIL NADU,57,48,64
477,71,GAS CYLINDER/STOVE BURST,2006,51,517,TAMIL NADU,60,9,446
62,38,FIRE-ARMS,2006,2,62,TAMIL NADU,2,0,24
589,561,SUDDEN DEATHS(HEART ATTACKS),2006,14,674,TAMIL NADU,43,29,113
76,62,EPILEPTIC FITS/GIDDINESS,2006,0,78,TAMIL NADU,1,1,16
7,0,ABORTIONS/CHILD BIRTH,2006,1,5,TAMIL NADU,1,0,5
76,82,INFLUENCE OF ALCOHOL,2006,3,86,TAMIL NADU,3,0,4
311,238,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2006,1,377,TAMIL NADU,2,1,139
483,346,SNAKE BITE/ANIMAL BITE,2006,16,530,TAMIL NADU,39,23,184
1254,784,OTHER,2006,57,1365,TAMIL NADU,190,133,581
1558,1277,RAILWAY ACCIDENTS,2006,0,1565,TAMIL NADU,0,0,288
1061,983,DROWNING,2006,18,1237,TAMIL NADU,87,69,254
425,408,FALLS,2006,3,468,TAMIL NADU,29,26,60
1502,468,FIRE,2006,136,1686,TAMIL NADU,201,65,1218
748,705,SUDDEN DEATHS,2006,18,843,TAMIL NADU,48,30,138
2181,1479,POISONING,2006,91,2416,TAMIL NADU,287,196,937
16,11,ELECTROCUTION,2006,0,16,TRIPURA,0,0,5
3,0,GAS CYLINDER/STOVE BURST,2006,0,3,TRIPURA,0,0,3
1,1,FIRE-ARMS,2006,0,1,TRIPURA,0,0,0
30,26,SUDDEN DEATHS(HEART ATTACKS),2006,0,30,TRIPURA,0,0,4
0,0,EPILEPTIC FITS/GIDDINESS,2006,0,0,TRIPURA,0,0,0
0,0,ABORTIONS/CHILD BIRTH,2006,0,0,TRIPURA,0,0,0
10,10,INFLUENCE OF ALCOHOL,2006,0,10,TRIPURA,0,0,0
0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2006,0,0,TRIPURA,0,0,0
1,1,SNAKE BITE/ANIMAL BITE,2006,0,1,TRIPURA,0,0,0
0,0,OTHER,2006,0,0,TRIPURA,0,0,0
0,0,RAILWAY ACCIDENTS,2006,0,0,TRIPURA,0,0,0
78,53,DROWNING,2006,0,79,TRIPURA,0,0,26
6,6,FALLS,2006,0,6,TRIPURA,0,0,0
17,8,FIRE,2006,0,17,TRIPURA,0,0,9
40,36,SUDDEN DEATHS,2006,0,40,TRIPURA,0,0,4
1,1,POISONING,2006,0,1,TRIPURA,0,0,0
414,383,ELECTROCUTION,2006,13,434,UTTAR PRADESH,65,52,51
159,33,GAS CYLINDER/STOVE BURST,2006,21,143,UTTAR PRADESH,33,12,110
2328,1474,FIRE-ARMS,2006,175,1650,UTTAR PRADESH,1049,874,176
241,198,SUDDEN DEATHS(HEART ATTACKS),2006,2,240,UTTAR PRADESH,4,2,42
101,77,EPILEPTIC FITS/GIDDINESS,2006,0,100,UTTAR PRADESH,1,1,23
41,0,ABORTIONS/CHILD BIRTH,2006,1,38,UTTAR PRADESH,1,0,38
152,135,INFLUENCE OF ALCOHOL,2006,0,139,UTTAR PRADESH,27,27,4
465,270,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2006,10,472,UTTAR PRADESH,25,15,202
105,71,SNAKE BITE/ANIMAL BITE,2006,5,99,UTTAR PRADESH,17,12,28
156,101,OTHER,2006,10,148,UTTAR PRADESH,31,21,47
2158,2294,RAILWAY ACCIDENTS,2006,41,2790,UTTAR PRADESH,137,96,496
627,508,DROWNING,2006,8,673,UTTAR PRADESH,38,30,165
223,166,FALLS,2006,6,213,UTTAR PRADESH,20,14,47
980,354,FIRE,2006,99,964,UTTAR PRADESH,195,96,610
535,410,SUDDEN DEATHS,2006,3,517,UTTAR PRADESH,33,30,107
839,529,POISONING,2006,31,821,UTTAR PRADESH,98,67,292
53,49,ELECTROCUTION,2006,0,53,UTTARAKHAND,0,0,4
25,9,GAS CYLINDER/STOVE BURST,2006,0,25,UTTARAKHAND,0,0,16
10,10,FIRE-ARMS,2006,0,10,UTTARAKHAND,1,1,0
51,45,SUDDEN DEATHS(HEART ATTACKS),2006,0,51,UTTARAKHAND,0,0,6
6,6,EPILEPTIC FITS/GIDDINESS,2006,0,6,UTTARAKHAND,0,0,0
1,0,ABORTIONS/CHILD BIRTH,2006,0,1,UTTARAKHAND,0,0,1
21,21,INFLUENCE OF ALCOHOL,2006,0,21,UTTARAKHAND,2,2,0
95,63,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2006,0,103,UTTARAKHAND,0,0,40
6,3,SNAKE BITE/ANIMAL BITE,2006,0,6,UTTARAKHAND,0,0,3
9,4,OTHER,2006,0,9,UTTARAKHAND,0,0,5
78,64,RAILWAY ACCIDENTS,2006,0,78,UTTARAKHAND,0,0,14
74,84,DROWNING,2006,0,99,UTTARAKHAND,0,0,15
90,79,FALLS,2006,1,91,UTTARAKHAND,1,0,12
76,23,FIRE,2006,1,75,UTTARAKHAND,3,2,52
79,72,SUDDEN DEATHS,2006,0,79,UTTARAKHAND,2,2,7
110,70,POISONING,2006,0,118,UTTARAKHAND,0,0,48
89,75,ELECTROCUTION,2006,5,91,WEST BENGAL,18,13,16
81,3,GAS CYLINDER/STOVE BURST,2006,19,50,WEST BENGAL,32,13,47
32,29,FIRE-ARMS,2006,2,31,WEST BENGAL,13,11,2
719,411,SUDDEN DEATHS(HEART ATTACKS),2006,60,534,WEST BENGAL,185,125,123
10,7,EPILEPTIC FITS/GIDDINESS,2006,0,10,WEST BENGAL,0,0,3
18,0,ABORTIONS/CHILD BIRTH,2006,0,18,WEST BENGAL,0,0,18
104,36,INFLUENCE OF ALCOHOL,2006,1,36,WEST BENGAL,107,106,0
274,134,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2006,348,227,WEST BENGAL,554,206,93
439,260,SNAKE BITE/ANIMAL BITE,2006,11,430,WEST BENGAL,29,18,170
537,296,OTHER,2006,54,520,WEST BENGAL,127,73,224
1962,1591,RAILWAY ACCIDENTS,2006,0,1982,WEST BENGAL,0,0,391
410,346,DROWNING,2006,9,447,WEST BENGAL,27,18,101
132,108,FALLS,2006,11,141,WEST BENGAL,30,19,33
648,156,FIRE,2006,216,533,WEST BENGAL,451,235,377
851,454,SUDDEN DEATHS,2006,61,598,WEST BENGAL,292,231,144
1256,693,POISONING,2006,415,1181,WEST BENGAL,719,304,488
4,3,ELECTROCUTION,2006,0,4,A & N ISLANDS,0,0,1
21,3,GAS CYLINDER/STOVE BURST,2006,0,21,A & N ISLANDS,0,0,18
0,0,FIRE-ARMS,2006,0,0,A & N ISLANDS,0,0,0
38,35,SUDDEN DEATHS(HEART ATTACKS),2006,0,38,A & N ISLANDS,0,0,3
0,0,EPILEPTIC FITS/GIDDINESS,2006,0,0,A & N ISLANDS,0,0,0
0,0,ABORTIONS/CHILD BIRTH,2006,0,0,A & N ISLANDS,0,0,0
0,0,INFLUENCE OF ALCOHOL,2006,0,0,A & N ISLANDS,0,0,0
0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2006,0,0,A & N ISLANDS,0,0,0
1,1,SNAKE BITE/ANIMAL BITE,2006,0,1,A & N ISLANDS,0,0,0
2,1,OTHER,2006,0,2,A & N ISLANDS,0,0,1
0,0,RAILWAY ACCIDENTS,2006,0,0,A & N ISLANDS,0,0,0
41,33,DROWNING,2006,0,42,A & N ISLANDS,0,0,9
6,5,FALLS,2006,0,6,A & N ISLANDS,0,0,1
21,3,FIRE,2006,0,21,A & N ISLANDS,0,0,18
38,35,SUDDEN DEATHS,2006,0,38,A & N ISLANDS,0,0,3
3,2,POISONING,2006,0,3,A & N ISLANDS,0,0,1
3,2,ELECTROCUTION,2006,0,3,CHANDIGARH,0,0,1
11,0,GAS CYLINDER/STOVE BURST,2006,0,11,CHANDIGARH,0,0,11
0,0,FIRE-ARMS,2006,0,0,CHANDIGARH,0,0,0
29,25,SUDDEN DEATHS(HEART ATTACKS),2006,0,29,CHANDIGARH,0,0,4
1,1,EPILEPTIC FITS/GIDDINESS,2006,0,1,CHANDIGARH,0,0,0
0,0,ABORTIONS/CHILD BIRTH,2006,0,0,CHANDIGARH,0,0,0
10,10,INFLUENCE OF ALCOHOL,2006,0,10,CHANDIGARH,0,0,0
0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2006,0,0,CHANDIGARH,0,0,0
0,0,SNAKE BITE/ANIMAL BITE,2006,0,0,CHANDIGARH,0,0,0
4,2,OTHER,2006,0,4,CHANDIGARH,0,0,2
0,0,RAILWAY ACCIDENTS,2006,0,0,CHANDIGARH,0,0,0
1,1,DROWNING,2006,0,1,CHANDIGARH,0,0,0
22,17,FALLS,2006,0,22,CHANDIGARH,0,0,5
17,3,FIRE,2006,0,17,CHANDIGARH,0,0,14
40,36,SUDDEN DEATHS,2006,0,40,CHANDIGARH,0,0,4
4,2,POISONING,2006,0,4,CHANDIGARH,0,0,2
10,8,ELECTROCUTION,2006,0,10,D & N HAVELI,0,0,2
12,6,GAS CYLINDER/STOVE BURST,2006,0,12,D & N HAVELI,0,0,6
0,0,FIRE-ARMS,2006,0,0,D & N HAVELI,0,0,0
15,11,SUDDEN DEATHS(HEART ATTACKS),2006,0,15,D & N HAVELI,0,0,4
7,5,EPILEPTIC FITS/GIDDINESS,2006,0,7,D & N HAVELI,0,0,2
0,0,ABORTIONS/CHILD BIRTH,2006,0,0,D & N HAVELI,0,0,0
5,4,INFLUENCE OF ALCOHOL,2006,0,5,D & N HAVELI,0,0,1
0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2006,0,0,D & N HAVELI,0,0,0
8,3,SNAKE BITE/ANIMAL BITE,2006,0,8,D & N HAVELI,0,0,5
0,0,OTHER,2006,0,0,D & N HAVELI,0,0,0
0,0,RAILWAY ACCIDENTS,2006,0,0,D & N HAVELI,0,0,0
23,24,DROWNING,2006,0,27,D & N HAVELI,0,0,3
20,16,FALLS,2006,0,20,D & N HAVELI,0,0,4
12,6,FIRE,2006,0,12,D & N HAVELI,0,0,6
27,20,SUDDEN DEATHS,2006,0,27,D & N HAVELI,0,0,7
8,3,POISONING,2006,0,8,D & N HAVELI,0,0,5
5,4,ELECTROCUTION,2006,0,5,DAMAN & DIU,0,0,1
0,0,GAS CYLINDER/STOVE BURST,2006,0,0,DAMAN & DIU,0,0,0
0,0,FIRE-ARMS,2006,0,0,DAMAN & DIU,0,0,0
10,9,SUDDEN DEATHS(HEART ATTACKS),2006,0,10,DAMAN & DIU,0,0,1
1,1,EPILEPTIC FITS/GIDDINESS,2006,0,1,DAMAN & DIU,0,0,0
0,0,ABORTIONS/CHILD BIRTH,2006,0,0,DAMAN & DIU,0,0,0
5,5,INFLUENCE OF ALCOHOL,2006,0,5,DAMAN & DIU,0,0,0
0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2006,0,0,DAMAN & DIU,0,0,0
0,0,SNAKE BITE/ANIMAL BITE,2006,0,0,DAMAN & DIU,0,0,0
0,0,OTHER,2006,0,0,DAMAN & DIU,0,0,0
0,0,RAILWAY ACCIDENTS,2006,0,0,DAMAN & DIU,0,0,0
21,21,DROWNING,2006,0,23,DAMAN & DIU,0,0,2
11,10,FALLS,2006,0,11,DAMAN & DIU,0,0,1
5,0,FIRE,2006,0,5,DAMAN & DIU,0,0,5
16,15,SUDDEN DEATHS,2006,0,16,DAMAN & DIU,0,0,1
2,1,POISONING,2006,0,2,DAMAN & DIU,0,0,1
134,114,ELECTROCUTION,2006,1,132,DELHI(UT),6,5,18
101,33,GAS CYLINDER/STOVE BURST,2006,5,113,DELHI(UT),18,13,80
24,15,FIRE-ARMS,2006,1,18,DELHI(UT),12,11,3
181,162,SUDDEN DEATHS(HEART ATTACKS),2006,0,181,DELHI(UT),0,0,19
15,14,EPILEPTIC FITS/GIDDINESS,2006,0,15,DELHI(UT),0,0,1
29,0,ABORTIONS/CHILD BIRTH,2006,0,29,DELHI(UT),0,0,29
84,82,INFLUENCE OF ALCOHOL,2006,0,83,DELHI(UT),1,1,1
99,75,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2006,0,103,DELHI(UT),1,1,28
7,6,SNAKE BITE/ANIMAL BITE,2006,0,7,DELHI(UT),0,0,1
119,80,OTHER,2006,0,121,DELHI(UT),0,0,41
924,744,RAILWAY ACCIDENTS,2006,11,853,DELHI(UT),72,61,109
175,155,DROWNING,2006,0,182,DELHI(UT),0,0,27
342,276,FALLS,2006,2,345,DELHI(UT),20,18,69
439,217,FIRE,2006,13,467,DELHI(UT),45,32,250
309,258,SUDDEN DEATHS,2006,0,308,DELHI(UT),1,1,50
226,162,POISONING,2006,0,232,DELHI(UT),1,1,70
1,1,ELECTROCUTION,2006,0,1,LAKSHADWEEP,0,0,0
0,0,GAS CYLINDER/STOVE BURST,2006,0,0,LAKSHADWEEP,0,0,0
0,0,FIRE-ARMS,2006,0,0,LAKSHADWEEP,0,0,0
0,0,SUDDEN DEATHS(HEART ATTACKS),2006,0,0,LAKSHADWEEP,0,0,0
0,0,EPILEPTIC FITS/GIDDINESS,2006,0,0,LAKSHADWEEP,0,0,0
0,0,ABORTIONS/CHILD BIRTH,2006,0,0,LAKSHADWEEP,0,0,0
0,0,INFLUENCE OF ALCOHOL,2006,0,0,LAKSHADWEEP,0,0,0
0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2006,0,0,LAKSHADWEEP,0,0,0
0,0,SNAKE BITE/ANIMAL BITE,2006,0,0,LAKSHADWEEP,0,0,0
0,0,OTHER,2006,0,0,LAKSHADWEEP,0,0,0
0,0,RAILWAY ACCIDENTS,2006,0,0,LAKSHADWEEP,0,0,0
4,2,DROWNING,2006,0,4,LAKSHADWEEP,0,0,2
0,0,FALLS,2006,0,0,LAKSHADWEEP,0,0,0
0,0,FIRE,2006,0,0,LAKSHADWEEP,0,0,0
0,0,SUDDEN DEATHS,2006,0,0,LAKSHADWEEP,0,0,0
0,0,POISONING,2006,0,0,LAKSHADWEEP,0,0,0
24,17,ELECTROCUTION,2006,0,24,PUDUCHERRY,0,0,7
0,0,GAS CYLINDER/STOVE BURST,2006,0,0,PUDUCHERRY,0,0,0
0,0,FIRE-ARMS,2006,0,0,PUDUCHERRY,0,0,0
71,66,SUDDEN DEATHS(HEART ATTACKS),2006,0,71,PUDUCHERRY,0,0,5
66,61,EPILEPTIC FITS/GIDDINESS,2006,0,66,PUDUCHERRY,0,0,5
1,0,ABORTIONS/CHILD BIRTH,2006,0,1,PUDUCHERRY,0,0,1
188,183,INFLUENCE OF ALCOHOL,2006,0,188,PUDUCHERRY,0,0,5
3,2,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2006,0,3,PUDUCHERRY,0,0,1
15,7,SNAKE BITE/ANIMAL BITE,2006,0,15,PUDUCHERRY,0,0,8
1,1,OTHER,2006,0,1,PUDUCHERRY,0,0,0
6,7,RAILWAY ACCIDENTS,2006,0,7,PUDUCHERRY,0,0,0
100,85,DROWNING,2006,0,100,PUDUCHERRY,0,0,15
38,33,FALLS,2006,0,38,PUDUCHERRY,0,0,5
50,15,FIRE,2006,3,50,PUDUCHERRY,5,2,35
326,310,SUDDEN DEATHS,2006,0,326,PUDUCHERRY,0,0,16
19,10,POISONING,2006,0,19,PUDUCHERRY,0,0,9
