TOTAL KILLED,STATE/UT,MALE KILLED,FEMALE KILLED,MALE INJURED,CAUSE,CASES,FEMALE INJURED,TOTAL INJURED,YEAR
967,PUNJAB,869,98,0,OTHER RAILWAY ACCIDENTS,967,0,0,2013
559,PUNJAB,484,75,4,TOTAL DROWNING,559,0,4,2013
232,PUNJAB,210,22,3,TOTAL FALLS,233,0,3,2013
366,PUNJAB,170,196,17,TOTAL FIRE,347,7,24,2013
1033,PUNJAB,948,85,0,TOTAL SUDDEN DEATHS,1033,0,0,2013
881,PUNJAB,670,211,4,TOTAL POISONING,883,2,6,2013
894,RAJASTHAN,764,130,8,ELECTROCUTION,889,3,11,2013
193,RAJASTHAN,43,150,3,GAS CYLINDER/STOVE BURST,190,2,5,2013
7,RAJASTHAN,7,0,0,FIRE-ARMS,7,0,0,2013
667,RAJASTHAN,569,98,0,SUDDEN DEATHS(HEART ATTACKS),667,0,0,2013
154,RAJASTHAN,116,38,0,EPILEPTIC FITS/GIDDINESS,154,0,0,2013
18,RAJASTHAN,0,18,0,ABORTIONS/CHILD BIRTH,18,0,0,2013
276,RAJASTHAN,270,6,0,INFLUENCE OF ALCOHOL,274,0,0,2013
657,RAJASTHAN,426,231,2,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,648,0,2,2013
564,RAJASTHAN,361,203,0,SNAKE BITE/ANIMAL BITE,561,0,0,2013
471,RAJASTHAN,337,134,0,OTHER,465,0,0,2013
305,RAJASTHAN,261,44,0,OTHER RAILWAY ACCIDENTS,300,0,0,2013
1642,RAJASTHAN,1248,394,3,TOTAL DROWNING,1575,2,5,2013
776,RAJASTHAN,657,119,2,TOTAL FALLS,772,0,2,2013
908,RAJASTHAN,384,524,12,TOTAL FIRE,893,6,18,2013
1115,RAJASTHAN,955,160,0,TOTAL SUDDEN DEATHS,1113,0,0,2013
1692,RAJASTHAN,1124,568,2,TOTAL POISONING,1674,0,2,2013
2,SIKKIM,2,0,0,ELECTROCUTION,2,0,0,2013
0,SIKKIM,0,0,0,GAS CYLINDER/STOVE BURST,0,0,0,2013
0,SIKKIM,0,0,0,FIRE-ARMS,0,0,0,2013
5,SIKKIM,4,1,0,SUDDEN DEATHS(HEART ATTACKS),5,0,0,2013
0,SIKKIM,0,0,0,EPILEPTIC FITS/GIDDINESS,0,0,0,2013
0,SIKKIM,0,0,0,ABORTIONS/CHILD BIRTH,0,0,0,2013
14,SIKKIM,13,1,0,INFLUENCE OF ALCOHOL,14,0,0,2013
0,SIKKIM,0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,0,2013
0,SIKKIM,0,0,0,SNAKE BITE/ANIMAL BITE,0,0,0,2013
0,SIKKIM,0,0,0,OTHER,0,0,0,2013
0,SIKKIM,0,0,0,OTHER RAILWAY ACCIDENTS,0,0,0,2013
39,SIKKIM,31,8,0,TOTAL DROWNING,39,0,0,2013
58,SIKKIM,46,12,0,TOTAL FALLS,58,0,0,2013
10,SIKKIM,4,6,0,TOTAL FIRE,10,0,0,2013
19,SIKKIM,17,2,0,TOTAL SUDDEN DEATHS,19,0,0,2013
0,SIKKIM,0,0,0,TOTAL POISONING,0,0,0,2013
526,TAMIL NADU,460,66,0,ELECTROCUTION,519,0,0,2013
596,TAMIL NADU,144,452,6,GAS CYLINDER/STOVE BURST,623,39,45,2013
0,TAMIL NADU,0,0,0,FIRE-ARMS,0,0,0,2013
1493,TAMIL NADU,1322,171,0,SUDDEN DEATHS(HEART ATTACKS),1492,0,0,2013
705,TAMIL NADU,554,151,0,EPILEPTIC FITS/GIDDINESS,705,0,0,2013
45,TAMIL NADU,0,45,0,ABORTIONS/CHILD BIRTH,45,0,0,2013
432,TAMIL NADU,425,7,0,INFLUENCE OF ALCOHOL,432,0,0,2013
211,TAMIL NADU,153,58,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,210,0,0,2013
610,TAMIL NADU,384,226,0,SNAKE BITE/ANIMAL BITE,610,0,0,2013
1889,TAMIL NADU,1336,553,0,OTHER,1876,0,0,2013
1971,TAMIL NADU,1694,277,60,OTHER RAILWAY ACCIDENTS,1978,3,63,2013
1717,TAMIL NADU,1421,296,10,TOTAL DROWNING,1679,3,13,2013
969,TAMIL NADU,845,124,14,TOTAL FALLS,977,2,16,2013
1969,TAMIL NADU,758,1211,42,TOTAL FIRE,2001,54,96,2013
2675,TAMIL NADU,2301,374,0,TOTAL SUDDEN DEATHS,2674,0,0,2013
2714,TAMIL NADU,1877,837,0,TOTAL POISONING,2700,0,0,2013
21,TRIPURA,17,4,0,ELECTROCUTION,21,0,0,2013
0,TRIPURA,0,0,0,GAS CYLINDER/STOVE BURST,0,0,0,2013
1,TRIPURA,1,0,0,FIRE-ARMS,1,0,0,2013
50,TRIPURA,39,11,0,SUDDEN DEATHS(HEART ATTACKS),50,0,0,2013
16,TRIPURA,13,3,0,EPILEPTIC FITS/GIDDINESS,16,0,0,2013
2,TRIPURA,0,2,0,ABORTIONS/CHILD BIRTH,2,0,0,2013
7,TRIPURA,7,0,0,INFLUENCE OF ALCOHOL,7,0,0,2013
0,TRIPURA,0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,0,2013
1,TRIPURA,0,1,0,SNAKE BITE/ANIMAL BITE,1,0,0,2013
23,TRIPURA,13,10,0,OTHER,23,0,0,2013
0,TRIPURA,0,0,0,OTHER RAILWAY ACCIDENTS,0,0,0,2013
63,TRIPURA,41,22,0,TOTAL DROWNING,63,0,0,2013
11,TRIPURA,8,3,0,TOTAL FALLS,11,0,0,2013
35,TRIPURA,12,23,0,TOTAL FIRE,35,0,0,2013
75,TRIPURA,59,16,0,TOTAL SUDDEN DEATHS,75,0,0,2013
34,TRIPURA,18,16,0,TOTAL POISONING,34,0,0,2013
619,UTTAR PRADESH,539,80,59,ELECTROCUTION,639,9,68,2013
133,UTTAR PRADESH,34,99,8,GAS CYLINDER/STOVE BURST,124,17,25,2013
720,UTTAR PRADESH,595,125,265,FIRE-ARMS,832,41,306,2013
375,UTTAR PRADESH,306,69,14,SUDDEN DEATHS(HEART ATTACKS),384,5,19,2013
60,UTTAR PRADESH,50,10,4,EPILEPTIC FITS/GIDDINESS,56,1,5,2013
67,UTTAR PRADESH,0,67,0,ABORTIONS/CHILD BIRTH,77,4,4,2013
233,UTTAR PRADESH,228,5,23,INFLUENCE OF ALCOHOL,245,0,23,2013
569,UTTAR PRADESH,333,236,30,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,563,12,42,2013
193,UTTAR PRADESH,143,50,16,SNAKE BITE/ANIMAL BITE,208,6,22,2013
383,UTTAR PRADESH,250,133,47,OTHER,392,19,66,2013
3367,UTTAR PRADESH,2831,536,200,OTHER RAILWAY ACCIDENTS,3341,37,237,2013
1331,UTTAR PRADESH,1062,269,112,TOTAL DROWNING,1301,27,139,2013
437,UTTAR PRADESH,379,58,37,TOTAL FALLS,470,9,46,2013
1334,UTTAR PRADESH,437,897,87,TOTAL FIRE,1327,94,181,2013
735,UTTAR PRADESH,584,151,41,TOTAL SUDDEN DEATHS,762,10,51,2013
1275,UTTAR PRADESH,829,446,102,TOTAL POISONING,1299,44,146,2013
63,UTTARAKHAND,54,9,22,ELECTROCUTION,39,0,22,2013
11,UTTARAKHAND,6,5,0,GAS CYLINDER/STOVE BURST,11,0,0,2013
6,UTTARAKHAND,5,1,2,FIRE-ARMS,8,0,2,2013
165,UTTARAKHAND,142,23,5,SUDDEN DEATHS(HEART ATTACKS),168,0,5,2013
8,UTTARAKHAND,5,3,0,EPILEPTIC FITS/GIDDINESS,8,0,0,2013
3,UTTARAKHAND,0,3,0,ABORTIONS/CHILD BIRTH,3,0,0,2013
42,UTTARAKHAND,42,0,0,INFLUENCE OF ALCOHOL,38,0,0,2013
105,UTTARAKHAND,70,35,3,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,96,1,4,2013
2,UTTARAKHAND,1,1,0,SNAKE BITE/ANIMAL BITE,2,0,0,2013
115,UTTARAKHAND,64,51,4,OTHER,112,0,4,2013
59,UTTARAKHAND,52,7,5,OTHER RAILWAY ACCIDENTS,67,3,8,2013
146,UTTARAKHAND,118,28,20,TOTAL DROWNING,132,4,24,2013
80,UTTARAKHAND,68,12,9,TOTAL FALLS,78,4,13,2013
116,UTTARAKHAND,48,68,1,TOTAL FIRE,107,0,1,2013
218,UTTARAKHAND,189,29,5,TOTAL SUDDEN DEATHS,217,0,5,2013
222,UTTARAKHAND,135,87,7,TOTAL POISONING,210,1,8,2013
177,WEST BENGAL,140,37,11,ELECTROCUTION,172,2,13,2013
66,WEST BENGAL,14,52,4,GAS CYLINDER/STOVE BURST,60,12,16,2013
39,WEST BENGAL,38,1,20,FIRE-ARMS,56,4,24,2013
443,WEST BENGAL,342,101,86,SUDDEN DEATHS(HEART ATTACKS),469,32,118,2013
11,WEST BENGAL,7,4,7,EPILEPTIC FITS/GIDDINESS,13,0,7,2013
15,WEST BENGAL,0,15,0,ABORTIONS/CHILD BIRTH,33,14,14,2013
23,WEST BENGAL,22,1,2,INFLUENCE OF ALCOHOL,23,0,2,2013
319,WEST BENGAL,182,137,18,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,294,29,47,2013
695,WEST BENGAL,382,313,25,SNAKE BITE/ANIMAL BITE,512,19,44,2013
2752,WEST BENGAL,1810,942,179,OTHER,2066,41,220,2013
2783,WEST BENGAL,2218,565,37,OTHER RAILWAY ACCIDENTS,2784,18,55,2013
859,WEST BENGAL,645,214,58,TOTAL DROWNING,820,24,82,2013
165,WEST BENGAL,146,19,35,TOTAL FALLS,176,10,45,2013
1070,WEST BENGAL,271,799,66,TOTAL FIRE,992,56,122,2013
492,WEST BENGAL,371,121,95,TOTAL SUDDEN DEATHS,538,46,141,2013
3776,WEST BENGAL,2383,1393,222,TOTAL POISONING,2876,89,311,2013
6,A & N ISLANDS,4,2,0,ELECTROCUTION,5,0,0,2013
0,A & N ISLANDS,0,0,0,GAS CYLINDER/STOVE BURST,0,0,0,2013
0,A & N ISLANDS,0,0,0,FIRE-ARMS,0,0,0,2013
31,A & N ISLANDS,27,4,0,SUDDEN DEATHS(HEART ATTACKS),31,0,0,2013
4,A & N ISLANDS,4,0,0,EPILEPTIC FITS/GIDDINESS,4,0,0,2013
0,A & N ISLANDS,0,0,0,ABORTIONS/CHILD BIRTH,0,0,0,2013
0,A & N ISLANDS,0,0,0,INFLUENCE OF ALCOHOL,0,0,0,2013
6,A & N ISLANDS,3,3,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,5,0,0,2013
1,A & N ISLANDS,1,0,0,SNAKE BITE/ANIMAL BITE,1,0,0,2013
0,A & N ISLANDS,0,0,0,OTHER,0,0,0,2013
0,A & N ISLANDS,0,0,0,OTHER RAILWAY ACCIDENTS,0,0,0,2013
46,A & N ISLANDS,39,7,0,TOTAL DROWNING,43,0,0,2013
8,A & N ISLANDS,6,2,0,TOTAL FALLS,8,0,0,2013
7,A & N ISLANDS,1,6,0,TOTAL FIRE,7,0,0,2013
35,A & N ISLANDS,31,4,0,TOTAL SUDDEN DEATHS,35,0,0,2013
7,A & N ISLANDS,4,3,0,TOTAL POISONING,6,0,0,2013
2,CHANDIGARH,2,0,0,ELECTROCUTION,2,0,0,2013
4,CHANDIGARH,1,3,0,GAS CYLINDER/STOVE BURST,4,0,0,2013
0,CHANDIGARH,0,0,0,FIRE-ARMS,0,0,0,2013
47,CHANDIGARH,43,4,0,SUDDEN DEATHS(HEART ATTACKS),47,0,0,2013
4,CHANDIGARH,4,0,0,EPILEPTIC FITS/GIDDINESS,4,0,0,2013
4,CHANDIGARH,0,4,0,ABORTIONS/CHILD BIRTH,4,0,0,2013
20,CHANDIGARH,20,0,0,INFLUENCE OF ALCOHOL,20,0,0,2013
2,CHANDIGARH,1,1,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2,0,0,2013
1,CHANDIGARH,0,1,0,SNAKE BITE/ANIMAL BITE,1,0,0,2013
7,CHANDIGARH,5,2,0,OTHER,7,0,0,2013
0,CHANDIGARH,0,0,0,OTHER RAILWAY ACCIDENTS,0,0,0,2013
1,CHANDIGARH,1,0,0,TOTAL DROWNING,1,0,0,2013
32,CHANDIGARH,27,5,0,TOTAL FALLS,32,0,0,2013
20,CHANDIGARH,6,14,0,TOTAL FIRE,20,0,0,2013
75,CHANDIGARH,67,8,0,TOTAL SUDDEN DEATHS,75,0,0,2013
14,CHANDIGARH,8,6,0,TOTAL POISONING,14,0,0,2013
3,D & N HAVELI,3,0,0,ELECTROCUTION,3,0,0,2013
11,D & N HAVELI,4,7,0,GAS CYLINDER/STOVE BURST,11,0,0,2013
0,D & N HAVELI,0,0,0,FIRE-ARMS,0,0,0,2013
3,D & N HAVELI,3,0,0,SUDDEN DEATHS(HEART ATTACKS),3,0,0,2013
0,D & N HAVELI,0,0,0,EPILEPTIC FITS/GIDDINESS,0,0,0,2013
1,D & N HAVELI,0,1,0,ABORTIONS/CHILD BIRTH,1,0,0,2013
0,D & N HAVELI,0,0,0,INFLUENCE OF ALCOHOL,0,0,0,2013
3,D & N HAVELI,1,2,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,3,0,0,2013
1,D & N HAVELI,1,0,0,SNAKE BITE/ANIMAL BITE,1,0,0,2013
1,D & N HAVELI,1,0,0,OTHER,1,0,0,2013
0,D & N HAVELI,0,0,0,OTHER RAILWAY ACCIDENTS,0,0,0,2013
13,D & N HAVELI,10,3,0,TOTAL DROWNING,13,0,0,2013
8,D & N HAVELI,7,1,0,TOTAL FALLS,8,0,0,2013
12,D & N HAVELI,4,8,0,TOTAL FIRE,12,0,0,2013
4,D & N HAVELI,3,1,0,TOTAL SUDDEN DEATHS,4,0,0,2013
5,D & N HAVELI,3,2,0,TOTAL POISONING,5,0,0,2013
4,DAMAN & DIU,4,0,0,ELECTROCUTION,4,0,0,2013
14,DAMAN & DIU,5,9,0,GAS CYLINDER/STOVE BURST,14,0,0,2013
0,DAMAN & DIU,0,0,0,FIRE-ARMS,0,0,0,2013
8,DAMAN & DIU,8,0,0,SUDDEN DEATHS(HEART ATTACKS),8,0,0,2013
3,DAMAN & DIU,3,0,0,EPILEPTIC FITS/GIDDINESS,3,0,0,2013
2,DAMAN & DIU,0,2,0,ABORTIONS/CHILD BIRTH,3,0,0,2013
1,DAMAN & DIU,1,0,0,INFLUENCE OF ALCOHOL,2,0,0,2013
0,DAMAN & DIU,0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,0,2013
0,DAMAN & DIU,0,0,0,SNAKE BITE/ANIMAL BITE,0,0,0,2013
0,DAMAN & DIU,0,0,0,OTHER,0,0,0,2013
0,DAMAN & DIU,0,0,0,OTHER RAILWAY ACCIDENTS,0,0,0,2013
26,DAMAN & DIU,25,1,0,TOTAL DROWNING,26,0,0,2013
6,DAMAN & DIU,4,2,0,TOTAL FALLS,5,0,0,2013
16,DAMAN & DIU,6,10,0,TOTAL FIRE,16,0,0,2013
14,DAMAN & DIU,12,2,0,TOTAL SUDDEN DEATHS,16,0,0,2013
3,DAMAN & DIU,3,0,0,TOTAL POISONING,3,0,0,2013
119,DELHI(UT),106,13,17,ELECTROCUTION,125,1,18,2013
35,DELHI(UT),6,29,15,GAS CYLINDER/STOVE BURST,41,6,21,2013
21,DELHI(UT),19,2,25,FIRE-ARMS,43,3,28,2013
220,DELHI(UT),187,33,0,SUDDEN DEATHS(HEART ATTACKS),220,0,0,2013
3,DELHI(UT),2,1,0,EPILEPTIC FITS/GIDDINESS,3,0,0,2013
11,DELHI(UT),0,11,0,ABORTIONS/CHILD BIRTH,11,0,0,2013
65,DELHI(UT),65,0,0,INFLUENCE OF ALCOHOL,65,0,0,2013
53,DELHI(UT),35,18,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,52,0,0,2013
12,DELHI(UT),9,3,5,SNAKE BITE/ANIMAL BITE,18,2,7,2013
54,DELHI(UT),36,18,15,OTHER,68,0,15,2013
926,DELHI(UT),826,100,325,OTHER RAILWAY ACCIDENTS,1285,34,359,2013
172,DELHI(UT),154,18,1,TOTAL DROWNING,159,0,1,2013
381,DELHI(UT),313,68,62,TOTAL FALLS,423,10,72,2013
202,DELHI(UT),120,82,65,TOTAL FIRE,192,13,78,2013
299,DELHI(UT),254,45,0,TOTAL SUDDEN DEATHS,299,0,0,2013
124,DELHI(UT),84,40,21,TOTAL POISONING,144,2,23,2013
0,LAKSHADWEEP,0,0,0,ELECTROCUTION,0,0,0,2013
0,LAKSHADWEEP,0,0,0,GAS CYLINDER/STOVE BURST,0,0,0,2013
0,LAKSHADWEEP,0,0,0,FIRE-ARMS,0,0,0,2013
1,LAKSHADWEEP,1,0,1,SUDDEN DEATHS(HEART ATTACKS),1,0,1,2013
1,LAKSHADWEEP,1,0,1,EPILEPTIC FITS/GIDDINESS,1,0,1,2013
0,LAKSHADWEEP,0,0,0,ABORTIONS/CHILD BIRTH,0,0,0,2013
0,LAKSHADWEEP,0,0,0,INFLUENCE OF ALCOHOL,0,0,0,2013
0,LAKSHADWEEP,0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,0,2013
0,LAKSHADWEEP,0,0,0,SNAKE BITE/ANIMAL BITE,0,0,0,2013
0,LAKSHADWEEP,0,0,0,OTHER,0,0,0,2013
0,LAKSHADWEEP,0,0,0,OTHER RAILWAY ACCIDENTS,0,0,0,2013
1,LAKSHADWEEP,1,0,1,TOTAL DROWNING,1,0,1,2013
0,LAKSHADWEEP,0,0,0,TOTAL FALLS,0,0,0,2013
0,LAKSHADWEEP,0,0,0,TOTAL FIRE,0,0,0,2013
2,LAKSHADWEEP,2,0,2,TOTAL SUDDEN DEATHS,2,0,2,2013
0,LAKSHADWEEP,0,0,0,TOTAL POISONING,0,0,0,2013
25,PUDUCHERRY,22,3,4,ELECTROCUTION,29,0,4,2013
5,PUDUCHERRY,0,5,0,GAS CYLINDER/STOVE BURST,5,0,0,2013
0,PUDUCHERRY,0,0,0,FIRE-ARMS,0,0,0,2013
71,PUDUCHERRY,66,5,0,SUDDEN DEATHS(HEART ATTACKS),71,0,0,2013
258,PUDUCHERRY,217,41,0,EPILEPTIC FITS/GIDDINESS,258,0,0,2013
1,PUDUCHERRY,0,1,0,ABORTIONS/CHILD BIRTH,1,0,0,2013
226,PUDUCHERRY,220,6,0,INFLUENCE OF ALCOHOL,226,0,0,2013
10,PUDUCHERRY,4,6,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,10,0,0,2013
8,PUDUCHERRY,5,3,0,SNAKE BITE/ANIMAL BITE,8,0,0,2013
1,PUDUCHERRY,1,0,0,OTHER,1,0,0,2013
11,PUDUCHERRY,7,4,0,OTHER RAILWAY ACCIDENTS,11,0,0,2013
104,PUDUCHERRY,95,9,0,TOTAL DROWNING,101,0,0,2013
55,PUDUCHERRY,48,7,1,TOTAL FALLS,56,0,1,2013
14,PUDUCHERRY,4,10,2,TOTAL FIRE,16,0,2,2013
556,PUDUCHERRY,503,53,0,TOTAL SUDDEN DEATHS,556,0,0,2013
21,PUDUCHERRY,12,9,3,TOTAL POISONING,20,0,3,2013
